date,PV1-0.time-based_0-pv_gen,Wind1-0.time-based_0-wind_gen,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-dump,Controller1-0.time-based_0-res_load,EV1-0.time-based_0-soc,EV2-0.time-based_0-soc,EV3-0.time-based_0-soc,EV4-0.time-based_0-soc,EV5-0.time-based_0-soc,Battery1-0.time-based_0-soc,EV1-0.time-based_0-demand,EV2-0.time-based_0-demand,EV3-0.time-based_0-demand,EV4-0.time-based_0-demand,EV5-0.time-based_0-demand,CSV_EV_presence-0.time-based_0-ev1,CSV_EV_presence-0.time-based_0-ev4,CSV_EV_presence-0.time-based_0-ev3,CSV_EV_presence-0.time-based_0-ev2,CSV_EV_presence-0.time-based_0-ev5
2012-07-01 06:15:00,2.9585389846729004,0.10691664877803644,-0.32000000000000006,-7.6145443665490635,7.934544366549064,0,0,50.41666666666667,0,0,50,0,0,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 06:30:00,6.173597659928834,0.05204578119217298,-0.32000000000000006,-4.454356558878992,4.774356558878992,0,0,55.00000000000001,0,0,50,0,0,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 06:45:00,11.912994405914636,0.03244372002647193,0.32000000000000006,0.6254381259411075,-0.9454381259411075,0,0,59.58333333333334,0,0,50,0,0,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 07:00:00,15.236208966940243,0.029391497496474583,0.32000000000000006,3.9456004644367173,-4.265600464436718,0,0,64.16666666666667,0,0,50,0,0,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 07:15:00,12.438528476366095,0.023027024705232428,0.32000000000000006,1.1415555010713272,-1.4615555010713273,0,0,68.75,0,0,50,0,0,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 07:30:00,14.961875852133929,0.024740517186381775,0.32000000000000006,3.6666163693203107,-3.986616369320311,0,0,73.33333333333333,0,0,50,0,0,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 07:45:00,16.410589186175173,0.03202509657729851,-0.32000000000000006,-5.237385717247527,5.557385717247527,0,4.583333333333333,77.91666666666666,0,0,50,0,11,11,0,0,0.0,0.0,1.0,1.0,1.0
2012-07-01 08:00:00,20.896409221160415,0.0441305934070254,-0.32000000000000006,-0.7394601854325595,1.0594601854325596,0,9.166666666666666,82.49999999999999,0,0,50,0,11,11,0,0,1.0,0.0,1.0,1.0,1.0
2012-07-01 08:15:00,22.597274929123728,0.037988061983232145,0.32000000000000006,0.3152629911069591,-0.6352629911069592,0,13.75,87.08333333333331,0,0,50,0,11,11,0,0,1.0,0.0,1.0,1.0,1.0
2012-07-01 08:30:00,21.722206100161983,0.03892987240041636,-0.23886402743760016,-0.0,0.23886402743760016,0,18.333333333333332,91.66666666666664,0,0,50,0,11,11,0,0,1.0,0.0,1.0,1.0,1.0
