date,Battery-0.Battery_0-soc,Battery-0.Battery_0-p_out,Battery-0.Battery_0-flag,Fuelcell-0.fc_0-q_product,Electrolyser-0.electrolyser_0-q_product,H2storage-0.h2storage_0-h2_soc,H2storage-1.h2storage_0-h2_soc,HeatStorage-0.qstorage_0-t_int,HeatStorage-1.qstorage_0-t_int,HeatNetwork-0.Heatnetwork_0-t_int,HeatStorage-0.qstorage_0-q_loss,HeatStorage-1.qstorage_0-q_loss,HeatNetwork-0.Heatnetwork_0-q_loss,HeatStorage-0.qstorage_0-q_soc,HeatStorage-1.qstorage_0-q_soc,HeatStorage-2.qstorage_0-q_soc,ElectricityNetwork-0.Elenetwork_0-p_in[0],ElectricityNetwork-0.Elenetwork_0-p_in[1],ElectricityNetwork-0.Elenetwork_0-p_in[2],ElectricityNetwork-0.Elenetwork_0-p_out[0],ElectricityNetwork-0.Elenetwork_0-p_out[1],ElectricityNetwork-0.Elenetwork_0-p_tot,ElectricityNetwork-0.Elenetwork_0-p_in[3],ElectricityNetwork-0.Elenetwork_0-p_out[2],ElectricityNetwork-0.Elenetwork_0-p_out[3],H2Valve-0.H2valve_0-h2_elec,H2Valve-0.H2valve_0-h2_stor,H2Valve-0.H2valve_0-h2_fc,H2Valve-0.H2valve_0-h2_elec_stor,H2Valve-0.H2valve_0-h2_stor_fc,H2Valve-0.H2valve_0-h2_elec_net,H2Valve-0.H2valve_0-h2_fc_net,H2Valve-0.H2valve_0-h2_stor_net,Qvalve-0.Qvalve_0-q_eboiler,Qvalve-0.Qvalve_0-q_stor,Qvalve-0.Qvalve_0-q_eboiler_stor,Qvalve-0.Qvalve_0-q_eboiler_net,Qvalve-0.Qvalve_0-q_stor_net,H2Network-0.Gasnetwork_0-flow_in[0],H2Network-0.Gasnetwork_0-flow_in[1],H2Network-0.Gasnetwork_0-flow_out[0],H2Network-0.Gasnetwork_0-p_int,H2Network-0.Gasnetwork_0-flow_tot,H2Network-0.Gasnetwork_0-flow_out[1],H2Network-0.Gasnetwork_0-flow_out[2],H2Network-0.Gasnetwork_0-flow_out[3],H2Network-0.Gasnetwork_0-flow_in[2],H2Network-0.Gasnetwork_0-flow_out[4],HeatNetwork-0.Heatnetwork_0-q_in[0],HeatNetwork-0.Heatnetwork_0-q_in[1],HeatNetwork-0.Heatnetwork_0-q_out[0],HeatNetwork-0.Heatnetwork_0-q_out[1],HeatNetwork-0.Heatnetwork_0-q_out[2],HeatNetwork-0.Heatnetwork_0-q_out[3],HeatNetwork-0.Heatnetwork_0-q_in[2],HeatNetwork-0.Heatnetwork_0-q_in[3]
2012-01-01 08:15:00,20.252,8.959059857745629,0,35.83192807749585,4.5,90.0,76.078,520.1509290289677,520.0130871025941,1242.7964000773286,103.67285682620737,25.90377934467166,70698.48000579965,80.0,79.95,20.009,0.0,57.67826737499685,200.0,124.792603,8.959059857745629,-1687.3762602499926,179.15964038747924,46.549539440923965,1455.576320537744,0.0639408234473133,0.0,0.1990662670971991,0.0,0.0,0.0639408234473133,0.1990662670971991,0.0,3200.0,33.59737973029315,33.59737973029315,3166.402620269707,0.0,0.0639408234473133,0.0,0.1990662670971991,-0.0443818224880188,-3.6819309642979454,0.3532705443647895,1.707533148780903,1.5018535322779931,0.0,0.1,4.5,35.83192807749585,213.73342659981725,-71.25801053316209,130.4744987698047,171.55830841789492,203.34654787073413,4487.769639471567
2012-01-01 08:30:00,20.252,8.959059857745629,0,40.16224377594399,4.5,90.0,80.778,520.1514085459703,520.0194511678967,1300.920185918357,103.67299536305016,25.902009721390595,75057.76394387678,80.001,79.953,20.008,0.0,57.52581388384299,200.0,128.81924650000002,8.959059857745629,-1894.07922023982,200.81121887971992,50.18742885363085,1707.2931069335575,0.0639408234473133,0.0,0.2231235765330221,0.0,0.0,0.0639408234473133,0.2231235765330221,0.0,3200.0,-136.0273402315064,0.0,3200.0,136.0273402315064,0.0639408234473133,0.0,0.2231235765330221,-0.0436291297242962,-3.619487318724324,0.3318662370419212,1.930580302236754,1.2292299749051192,0.0169279458236746,0.1,4.5,40.16224377594399,348.6200054552351,57.835292284626505,128.44931928468793,165.10482288790752,252.91200014540792,5164.9886829429015
2012-01-01 08:45:00,20.252,8.959059857745629,0,33.49332923923051,4.5,84.263,83.708,520.151726563084,520.0063872616917,1361.249710346349,103.67322133011406,25.90275947017065,79582.47827597619,80.001,79.948,20.006,0.0,50.38031619402345,200.0,111.08692575,8.959059857745629,-1965.892950994139,167.46664619615254,49.485821459480135,1736.0344001612068,0.0639408234473133,-0.1078583323830814,0.1860740513290583,0.0,0.1078583323830814,0.0639408234473133,0.0782157189459769,0.0,3200.0,-182.3969071264173,0.0,3200.0,182.3969071264173,0.0639408234473133,0.0,0.0782157189459769,-0.0404835581175008,-3.358529637173433,0.2739931264976104,1.7430490238417735,1.3707262537445486,0.0,0.0623359394657061,4.5,33.49332923923051,231.2058327697873,-61.97364839572106,147.4416610676126,160.60471319778426,210.8637754055612,5251.938283835146
2012-01-01 09:00:00,20.252,8.959059857745629,0,39.06066041257354,4.5,68.306,87.907,520.1518623889883,520.0068306302953,1422.496186790013,103.6733711921483,25.90122041497962,84175.964009251,80.001,79.948,20.006,0.0,39.67119426376527,200.0,59.82605225,8.959059857745629,-1914.2540453260813,195.3033020628677,36.86733673777832,1766.0236398779216,0.0639408234473133,-0.3,0.2170036689587418,0.0,0.2170036689587418,0.0639408234473133,0.0,0.0829963310412581,3200.0,-53.25201744759868,0.0,3200.0,53.25201744759868,0.0639408234473133,0.0829963310412581,0.0,-0.036458110301448,-3.0245771285063703,0.3081929459627814,1.5638240888897,1.532558296860098,0.2175857687423072,0.0893422473979869,4.5,39.06066041257354,98.748589176648,4.029240990099117,131.4886782857902,120.41552575329436,248.8818391650848,5342.663234997806
2012-01-01 09:15:00,20.252,8.959059857745629,0,43.84613370395122,4.5,52.349,90.0,520.151676034713,520.0193193886785,1486.021122495852,103.67343519859776,25.90127264811268,88940.3341871889,80.001,79.952,20.005,5.822661553687708,39.67119426376527,200.0,75.676164,8.959059857745629,-1857.3240587750183,219.23066851975608,28.883209428595062,1734.8252398039333,0.0639408234473133,-0.3,0.2435896316886178,0.0,0.2435896316886178,0.0639408234473133,0.0,0.0564103683113821,3200.0,-166.68841232607275,0.0,3200.0,166.68841232607275,0.0639408234473133,0.0564103683113821,0.0,-0.0319503083818251,-2.650608360701443,0.1821569872323341,1.5601413663827086,1.3548741180625066,0.2764937025138927,0.044531914893617,4.5,43.84613370395122,-70.7234369499135,113.49521996006686,89.75188661667082,74.66350415294565,294.55590066436446,5348.737768765585
2012-01-01 09:30:00,20.252,8.959059857745629,0,48.72728028812753,4.5,36.392,90.0,520.151297388351,520.0459241266833,1548.5034109293592,103.6733473812144,25.902743945297257,93626.50581970194,80.0,79.962,20.004,10.18437437325123,40.38884686854567,200.0,72.2379315,8.959059857745629,-1788.102084048243,243.63640144063763,21.811863288626995,1705.0200214049778,0.0639408234473133,-0.3,0.2707071127118196,0.0,0.2707071127118196,0.0639408234473133,0.0,0.0292928872881804,3200.0,-152.8265396158802,0.0,3200.0,152.8265396158802,0.0639408234473133,0.0292928872881804,0.0,-0.0344585968124886,-2.85869681499472,0.0847631180987168,1.4875410005655256,1.6236295669732237,0.1481251493381289,0.0,4.5,48.72728028812753,-143.70033669911453,241.7782856543488,43.246868119459215,116.16712273577762,300.460026649784,5256.843614992023
2012-01-01 09:45:00,20.252,8.959059857745629,0,56.63671683586793,4.5,20.435,90.0,520.1512026943807,520.0847609788253,1609.177077367728,103.67316894832008,25.90587824215226,98177.0308025796,80.0,79.976,20.004,13.091890621460363,36.43439505734685,16.937477041121987,49.3418005,8.959059857745629,-1923.6834075832835,283.1835841793396,3.716432852299686,1702.9184106481894,0.0639408234473133,-0.3,0.3146484268659328,0.0,0.3,0.0639408234473133,0.0146484268659328,0.0,3200.0,1.983972121340787,1.983972121340787,3198.01602787866,0.0,0.0639408234473133,0.0,0.0146484268659328,-0.030234623344541,-2.5082745512806066,0.068805817840728,1.2779586602208788,1.485949022080728,0.1897256944700997,0.0,4.5,56.63671683586793,-35.93737267427749,352.94117647058823,20.83670368157504,160.5609406563873,340.06313695641586,5353.049756876026
2012-01-01 10:00:00,20.252,8.959059857745629,0,50.41624484118943,4.5,10.0,90.0,520.1509555565353,520.1182127831611,1668.8079977093546,103.6731243248378,25.91045360100393,102649.3498282016,80.0,79.988,20.004,12.360815840561967,37.91436503304856,17.62547961247092,57.318436,8.959059857745629,-1916.044239244549,252.0812242059471,44.32710694937903,1642.0073106039915,0.0639408234473133,-0.196178,0.280090249117719,0.0,0.196178,0.0639408234473133,0.083912249117719,0.0,3200.0,95.79668866334934,95.79668866334934,3104.2033113366506,0.0,0.0639408234473133,0.0,0.083912249117719,-0.0330914421985734,-2.7452772070614,0.0,1.5240259017489686,1.7234394129791708,0.4222182064217695,0.0,4.5,50.41624484118943,-93.79145069380247,304.0029901018222,13.232235362453997,187.019119087697,295.154066208082,5264.764172405559
2012-01-01 10:15:00,20.252,8.959059857745629,0,57.32520364845879,4.5,10.0,90.0,520.15091527157,520.1451839378786,1726.7667222848831,103.6730078638719,25.914394548857075,106996.25417136624,80.0,79.998,20.005,17.445016122325804,40.02894837919985,200.0,56.24040325,8.959059857745629,-1681.848617224516,286.6260182422939,6.39718420055388,1663.0553362803953,0.0639408234473133,0.0,0.3184733536025488,0.0,0.0,0.0639408234473133,0.3184733536025488,0.0,3200.0,209.7797222475469,209.7797222475469,2990.220277752453,0.0,0.0639408234473133,0.0,0.3184733536025488,-0.0358506645253891,-2.9741832220234383,0.0,1.6788368737695225,1.7772765318950277,0.6232251110183338,0.0,4.5,57.32520364845879,-15.28857437542774,245.1082039804676,0.0,236.48285620859764,262.09737417636825,5227.741921093319
2012-01-01 10:30:00,20.252,8.959059857745629,0,59.07148193898571,0.0,10.0,90.0,520.1505575482862,520.1840207900207,1784.9300791408853,103.67298888002928,25.91757201316405,111358.5059355664,80.0,80.012,20.006,27.59428710894288,27.04585824808941,12.572971293016767,52.73219075,8.959059857745629,-1928.22164858566,295.3574096949285,0.0,1710.868549535522,0.0,0.0,0.3281748996610317,0.0,0.0,0.0,0.3281748996610317,0.0,3200.0,293.05988894323343,293.05988894323343,2906.9401110567665,0.0,0.0,0.0,0.3281748996610317,-0.0380861117041948,-3.159636674028909,0.0545141554003159,1.4561304070358725,1.9066054906273184,0.473425530113893,0.0,0.0,59.07148193898571,-135.75980517722047,352.94117647058823,0.0,239.6413209388625,216.8648160893684,5378.040671750079
