date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-desired_out,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-soc,H2Buffer1-0.time-based_0-h2_out
2012-01-01 00:00:00,0.0,173.33333333333334,100.0,0.0,0.0,100.0,0,36680.880188102965,80.0,100.0
2012-01-01 00:15:00,0.0,173.33333333333334,173.33333333333334,100.0,0.0,173.33333333333334,0,36754.21352143628,79.96001549965145,173.33333333333334
2012-01-01 00:30:00,211.66666666666663,173.33333333333334,200.0,173.33333333333337,0.0,385.0,0,36854.213521436286,79.90549118099432,200.0
2012-01-01 00:45:00,211.66666666666663,0.0,200.0,90.04329004329004,109.95670995670994,211.66666666666663,0,36954.21352143629,79.85096686233719,200.0
2012-01-01 01:00:00,211.66666666666663,258.0,200.0,0.0,200.0,469.6666666666666,0,37054.2135214363,79.79644254368006,200.0
2012-01-01 01:15:00,0.0,0.0,0.0,109.86515259048971,90.1348474095103,0.0,0,36954.21352143629,79.85096686233719,0.0
2012-01-01 01:30:00,0.0,193.5,193.5,0.0,0.0,193.5,0,37047.7135214363,79.79998662439277,193.5
2012-01-01 01:45:00,271.0,193.5,200.0,193.5,0.0,464.5,0,37147.71352143631,79.74546230573564,200.0
2012-01-01 02:00:00,0.0,0.0,0.0,83.31539289558665,116.68460710441336,0.0,0,37047.7135214363,79.79998662439277,0.0
2012-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,36947.71352143629,79.8545109430499,0.0
2012-01-01 02:30:00,160.5,153.5,200.0,0.0,0.0,314.0,0,37047.7135214363,79.79998662439277,200.0
2012-01-01 02:45:00,160.5,153.5,200.0,97.77070063694268,102.22929936305734,314.0,0,37147.71352143631,79.74546230573564,200.0
2012-01-01 03:00:00,0.0,153.5,153.5,97.77070063694268,102.22929936305734,153.5,0,37201.21352143631,79.71629179525408,153.5
2012-01-01 03:15:00,0.0,153.5,153.5,153.5,0.0,153.5,0,37254.71352143631,79.68712128477252,153.5
2012-01-01 03:30:00,164.5,0.0,164.5,153.5,0.0,164.5,0,37319.21352143632,79.65195309923867,164.5
2012-01-01 03:45:00,164.5,0.0,164.5,0.0,164.5,164.5,0,37383.71352143632,79.61678491370482,164.5
2012-01-01 04:00:00,164.5,0.0,164.5,0.0,164.5,164.5,0,37448.21352143632,79.58161672817097,164.5
2012-01-01 04:15:00,164.5,158.5,200.0,0.0,164.5,323.0,0,37548.21352143632,79.52709240951384,200.0
2012-01-01 04:30:00,0.0,158.5,158.5,98.14241486068111,101.85758513931889,158.5,0,37606.71352143632,79.49519568309942,158.5
2012-01-01 04:45:00,0.0,158.5,158.5,158.5,0.0,158.5,0,37665.21352143632,79.46329895668501,158.5
2012-01-01 05:00:00,0.0,158.5,158.5,158.5,0.0,158.5,0,37723.71352143631,79.43140223027059,158.5
2012-01-01 05:15:00,165.0,0.0,165.0,158.5,0.0,165.0,0,37788.71352143631,79.39596142314346,165.0
2012-01-01 05:30:00,165.0,162.25,200.0,0.0,165.0,327.25,0,37888.71352143632,79.34143710448633,200.0
2012-01-01 05:45:00,0.0,162.25,162.25,99.15966386554622,100.84033613445378,162.25,0,37950.96352143631,79.30749571612228,162.25
2012-01-01 06:00:00,181.0,162.25,200.0,162.25,0.0,343.25,0,38050.96352143631,79.25297139746515,200.0
2012-01-01 06:15:00,181.0,162.25,200.0,94.5375091041515,105.46249089584852,343.25,0,38150.96352143632,79.19844707880802,200.0
2012-01-01 06:30:00,181.0,0.0,181.0,94.5375091041515,105.46249089584852,181.0,0,38231.96352143631,79.15428238069575,181.0
2012-01-01 06:45:00,0.0,0.0,0.0,0.0,181.0,0.0,0,38131.96352143631,79.20880669935288,0.0
2012-01-01 07:00:00,146.25,0.0,146.25,0.0,0.0,146.25,0,38178.2135214363,79.18358920197396,146.25
2012-01-01 07:15:00,146.25,213.5,200.0,0.0,146.25,359.75,0,38278.2135214363,79.12906488331683,200.0
2012-01-01 07:30:00,146.25,213.5,200.0,118.69353717859626,81.30646282140376,359.75,0,38378.21352143632,79.0745405646597,200.0
2012-01-01 07:45:00,146.25,220.0,200.0,118.69353717859626,81.30646282140376,366.25,0,38478.21352143632,79.02001624600257,200.0
2012-01-01 08:00:00,180.0,220.0,200.0,120.13651877133108,79.86348122866895,400.0,0,38578.21352143632,78.96549192734544,200.0
2012-01-01 08:15:00,180.0,232.0,200.0,110.0,90.0,412.0,0,38678.21352143633,78.91096760868831,200.0
2012-01-01 08:30:00,0.0,273.0,200.0,112.62135922330096,87.37864077669903,273.0,0,38778.21352143634,78.85644329003118,200.0
2012-01-01 08:45:00,150.66666666666666,192.0,200.0,200.0,0.0,342.66666666666663,0,38878.21352143634,78.80191897137405,200.0
2012-01-01 09:00:00,150.66666666666666,192.0,200.0,112.06225680933852,87.9377431906615,342.66666666666663,0,38978.21352143635,78.74739465271692,200.0
2012-01-01 09:15:00,150.66666666666666,192.0,200.0,112.06225680933852,87.9377431906615,342.66666666666663,0,39078.21352143635,78.69287033405979,200.0
2012-01-01 09:30:00,168.5,0.0,168.5,112.06225680933852,87.9377431906615,168.5,0,39146.713521436366,78.65552117577965,168.5
2012-01-01 09:45:00,168.5,0.0,168.5,0.0,168.5,168.5,0,39215.21352143637,78.61817201749952,168.5
