date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,thermolyzer1-0.time-based_0-h_gen,H2storage1-0.time-based_0-h2_out,H2storage2-0.time-based_0-h2_out,H2storage1-0.time-based_0-h2_in,H2storage2-0.time-based_0-h2_in,H2joint1-0.time-based_0-out,H2joint2-0.time-based_0-out
2012-01-01 11:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 11:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 11:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 11:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 12:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 12:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 12:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 12:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 13:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 13:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 13:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 13:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 14:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 14:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 14:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 14:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 15:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 15:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 15:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 15:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 16:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 16:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 16:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 16:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 17:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 17:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 17:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 17:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 18:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 18:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 18:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 18:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 19:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 19:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 19:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 19:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 20:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 20:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 20:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 20:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 21:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 21:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 21:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 21:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 22:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 22:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 22:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 22:45:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 23:00:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 23:15:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
2012-01-01 23:30:00,60.0,40.0,1.5217391304347827,0.0,0.0,0.0,20.0,1.5217391304347827,0.0
