date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-dump,H2_controller-0.time-based_0-desired_out,H2Buffer1-0.time-based_0-soc,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-free_capacity
2012-01-01 00:00:00,0.0,86.66666666666667,0.0,0.0,0.0,100.0,86.66666666666667,80.0,0.0,200.0
2012-01-01 00:15:00,0.0,86.66666666666667,86.66666666666667,86.66666666666669,0.0,213.3333333333333,86.66666666666667,91.33333333333331,86.66666666666667,86.66666666666671
2012-01-01 00:30:00,90.71428571428572,86.66666666666667,86.66666666666667,86.66666666666669,0.0,213.3333333333333,177.38095238095238,91.33333333333331,86.66666666666667,86.66666666666671
2012-01-01 00:45:00,90.71428571428572,86.66666666666667,177.38095238095238,86.66666666666667,90.71428571428572,0.0,177.38095238095238,82.26190476190476,177.38095238095238,177.3809523809524
2012-01-01 01:00:00,90.71428571428572,86.66666666666667,177.38095238095238,86.66666666666667,90.71428571428572,0.0,177.38095238095238,84.52380952380952,177.38095238095238,154.76190476190482
2012-01-01 01:15:00,90.71428571428572,86.66666666666667,177.38095238095238,86.66666666666667,90.71428571428572,0.0,177.38095238095238,86.78571428571428,177.38095238095238,132.14285714285722
2012-01-01 01:30:00,90.71428571428572,0.0,177.38095238095238,86.66666666666667,90.71428571428572,190.4761904761904,90.71428571428572,89.04761904761904,177.38095238095238,109.52380952380965
2012-01-01 01:45:00,90.71428571428572,0.0,90.71428571428572,0.0,90.71428571428572,209.2857142857143,90.71428571428572,90.92857142857144,90.71428571428572,90.7142857142857
2012-01-01 02:00:00,90.71428571428572,0.0,90.71428571428572,0.0,90.71428571428572,209.2857142857143,90.71428571428572,90.92857142857144,90.71428571428572,90.7142857142857
2012-01-01 02:15:00,94.0,95.4,90.71428571428572,0.0,90.71428571428572,209.2857142857143,189.4,90.92857142857144,90.71428571428572,90.7142857142857
2012-01-01 02:30:00,94.0,95.4,189.4,95.4,94.0,0.0,189.4,81.06,189.4,189.4
2012-01-01 02:45:00,94.0,95.4,189.4,95.4,94.0,0.0,189.4,82.12,189.4,178.79999999999995
2012-01-01 03:00:00,94.0,95.4,189.4,95.4,94.0,0.0,189.4,83.18,189.4,168.19999999999993
2012-01-01 03:15:00,94.0,95.4,189.4,95.4,94.0,0.0,189.4,84.24000000000001,189.4,157.5999999999999
2012-01-01 03:30:00,0.0,0.0,189.4,95.4,94.0,153.0000000000001,0.0,85.30000000000001,189.4,146.9999999999999
2012-01-01 03:45:00,0.0,0.0,0.0,0.0,0.0,300.0,0.0,100.0,0.0,0.0
2012-01-01 04:00:00,90.33333333333331,108.0,0.0,0.0,0.0,300.0,198.3333333333333,100.0,0.0,0.0
2012-01-01 04:15:00,90.33333333333331,108.0,198.3333333333333,108.0,90.33333333333331,0.0,198.3333333333333,80.16666666666667,198.3333333333333,198.3333333333333
2012-01-01 04:30:00,90.33333333333331,0.0,198.3333333333333,108.0,90.33333333333331,103.33333333333344,90.33333333333331,80.33333333333334,198.3333333333333,196.66666666666657
2012-01-01 04:45:00,110.0,0.0,90.33333333333331,0.0,90.33333333333331,209.66666666666669,110.0,90.96666666666668,90.33333333333331,90.33333333333331
2012-01-01 05:00:00,110.0,0.0,110.0,0.0,110.0,190.0,110.0,89.0,110.0,110.0
2012-01-01 05:15:00,0.0,96.75,110.0,0.0,110.0,190.0,96.75,89.0,110.0,110.0
2012-01-01 05:30:00,0.0,96.75,96.75,96.75,0.0,203.25000000000003,96.75,90.325,96.75,96.74999999999996
2012-01-01 05:45:00,80.25,96.75,96.75,96.75,0.0,203.25000000000003,177.0,90.325,96.75,96.74999999999996
2012-01-01 06:00:00,80.25,96.75,177.0,96.75,80.25,0.0,177.0,82.3,177.0,177.00000000000003
2012-01-01 06:15:00,80.25,0.0,177.0,96.75,80.25,145.99999999999994,80.25,84.6,177.0,154.00000000000006
2012-01-01 06:30:00,80.25,0.0,80.25,0.0,80.25,219.75,80.25,91.975,80.25,80.25000000000006
2012-01-01 06:45:00,0.0,0.0,80.25,0.0,80.25,219.75,0.0,91.975,80.25,80.25000000000006
2012-01-01 07:00:00,0.0,87.71428571428571,0.0,0.0,0.0,300.0,87.71428571428571,100.0,0.0,0.0
2012-01-01 07:15:00,82.8,87.71428571428571,87.71428571428571,87.71428571428571,0.0,212.28571428571428,170.5142857142857,91.22857142857144,87.71428571428571,87.71428571428572
2012-01-01 07:30:00,82.8,87.71428571428571,170.5142857142857,87.7142857142857,82.79999999999998,0.0,170.5142857142857,82.94857142857143,170.5142857142857,170.51428571428573
2012-01-01 07:45:00,82.8,87.71428571428571,170.5142857142857,87.7142857142857,82.79999999999998,0.0,170.5142857142857,85.89714285714285,170.5142857142857,141.02857142857147
2012-01-01 08:00:00,82.8,87.71428571428571,170.5142857142857,87.7142857142857,82.79999999999998,188.4571428571428,170.5142857142857,88.84571428571428,170.5142857142857,111.5428571428572
2012-01-01 08:15:00,82.8,87.71428571428571,170.5142857142857,87.7142857142857,82.79999999999998,0.0,170.5142857142857,82.94857142857143,170.5142857142857,170.51428571428573
2012-01-01 08:30:00,0.0,87.71428571428571,170.5142857142857,87.7142857142857,82.79999999999998,158.97142857142853,87.71428571428571,85.89714285714285,170.5142857142857,141.02857142857147
2012-01-01 08:45:00,0.0,0.0,87.71428571428571,87.71428571428571,0.0,212.28571428571428,0.0,91.22857142857144,87.71428571428571,87.71428571428572
