date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-dump,H2_controller-0.time-based_0-desired_out,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-soc
2012-01-01 00:00:00,0.0,173.33333333333334,100.0,0.0,0.0,0,100.0,52428.17139259524,100.0,80.0
2012-01-01 00:15:00,0.0,173.33333333333334,173.33333333333334,100.0,0.0,0,173.33333333333334,52501.50472592856,173.33333333333334,79.9720252179752
2012-01-01 00:30:00,211.66666666666663,173.33333333333334,200.0,173.33333333333337,0.0,0,385.0,52601.50472592856,200.0,79.93387778794138
2012-01-01 00:45:00,211.66666666666663,0.0,200.0,90.04329004329004,109.95670995670994,0,211.66666666666663,52701.50472592856,200.0,79.89573035790757
2012-01-01 01:00:00,211.66666666666663,258.0,200.0,0.0,200.0,0,469.6666666666666,52801.50472592856,200.0,79.85758292787375
2012-01-01 01:15:00,0.0,0.0,0.0,109.86515259048971,90.1348474095103,0,0.0,52701.50472592856,0.0,79.89573035790757
2012-01-01 01:30:00,0.0,193.5,193.5,0.0,0.0,0,193.5,52795.00472592855,193.5,79.86006251082595
2012-01-01 01:45:00,271.0,193.5,200.0,193.5,0.0,0,464.5,52895.00472592854,200.0,79.82191508079214
2012-01-01 02:00:00,0.0,0.0,0.0,83.31539289558665,116.68460710441336,0,0.0,52795.00472592855,0.0,79.86006251082595
2012-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0,0.0,52695.00472592855,0.0,79.89820994085977
2012-01-01 02:30:00,160.5,153.5,200.0,0.0,0.0,0,314.0,52795.00472592855,200.0,79.86006251082595
2012-01-01 02:45:00,160.5,153.5,200.0,97.77070063694268,102.22929936305734,0,314.0,52895.00472592854,200.0,79.82191508079214
2012-01-01 03:00:00,0.0,153.5,153.5,97.77070063694268,102.22929936305734,0,153.5,52948.50472592853,153.5,79.80150620572405
2012-01-01 03:15:00,0.0,153.5,153.5,153.5,0.0,0,153.5,53002.00472592851,153.5,79.78109733065597
2012-01-01 03:30:00,164.5,0.0,164.5,153.5,0.0,0,164.5,53066.50472592852,164.5,79.75649223828415
2012-01-01 03:45:00,164.5,0.0,164.5,0.0,164.5,0,164.5,53131.00472592852,164.5,79.73188714591234
2012-01-01 04:00:00,164.5,0.0,164.5,0.0,164.5,0,164.5,53195.50472592853,164.5,79.70728205354052
2012-01-01 04:15:00,164.5,158.5,200.0,0.0,164.5,0,323.0,53295.50472592853,200.0,79.66913462350671
2012-01-01 04:30:00,0.0,158.5,158.5,98.14241486068111,101.85758513931889,0,158.5,53354.004725928535,158.5,79.64681837693692
2012-01-01 04:45:00,0.0,158.5,158.5,158.5,0.0,0,158.5,53412.50472592855,158.5,79.62450213036713
2012-01-01 05:00:00,0.0,158.5,158.5,158.5,0.0,0,158.5,53471.00472592856,158.5,79.60218588379735
2012-01-01 05:15:00,165.0,0.0,165.0,158.5,0.0,0,165.0,53536.00472592855,165.0,79.57739005427537
2012-01-01 05:30:00,165.0,162.25,200.0,0.0,165.0,0,327.25,53636.00472592855,200.0,79.53924262424155
2012-01-01 05:45:00,0.0,162.25,162.25,99.15966386554622,100.84033613445378,0,162.25,53698.254725928535,162.25,79.51549584904551
2012-01-01 06:00:00,181.0,162.25,200.0,162.25,0.0,0,343.25,53798.254725928535,200.0,79.47734841901169
2012-01-01 06:15:00,181.0,162.25,200.0,94.5375091041515,105.46249089584852,0,343.25,53898.25472592853,200.0,79.43920098897787
2012-01-01 06:30:00,181.0,0.0,181.0,94.5375091041515,105.46249089584852,0,181.0,53979.254725928535,181.0,79.40830157065048
2012-01-01 06:45:00,0.0,0.0,0.0,0.0,181.0,0,0.0,53879.254725928535,0.0,79.4464490006843
2012-01-01 07:00:00,146.25,0.0,146.25,0.0,0.0,0,146.25,53925.50472592854,146.25,79.42880581429365
2012-01-01 07:15:00,146.25,213.5,200.0,0.0,146.25,0,359.75,54025.50472592854,200.0,79.39065838425984
2012-01-01 07:30:00,146.25,213.5,200.0,118.69353717859626,81.30646282140376,0,359.75,54125.50472592854,200.0,79.35251095422602
2012-01-01 07:45:00,146.25,220.0,200.0,118.69353717859626,81.30646282140376,0,366.25,54225.50472592854,200.0,79.3143635241922
2012-01-01 08:00:00,180.0,220.0,200.0,120.13651877133108,79.86348122866895,0,400.0,54325.50472592854,200.0,79.27621609415839
2012-01-01 08:15:00,180.0,232.0,200.0,110.0,90.0,0,412.0,54425.504725928535,200.0,79.23806866412457
2012-01-01 08:30:00,0.0,273.0,200.0,112.62135922330096,87.37864077669903,0,273.0,54525.504725928535,200.0,79.19992123409075
2012-01-01 08:45:00,150.66666666666666,192.0,200.0,200.0,0.0,0,342.66666666666663,54625.50472592854,200.0,79.16177380405693
2012-01-01 09:00:00,150.66666666666666,192.0,200.0,112.06225680933852,87.9377431906615,0,342.66666666666663,54725.50472592854,200.0,79.12362637402312
2012-01-01 09:15:00,150.66666666666666,192.0,200.0,112.06225680933852,87.9377431906615,0,342.66666666666663,54825.504725928535,200.0,79.0854789439893
2012-01-01 09:30:00,168.5,0.0,168.5,112.06225680933852,87.9377431906615,0,168.5,54894.00472592853,168.5,79.05934795441614
2012-01-01 09:45:00,168.5,0.0,168.5,0.0,168.5,0,168.5,54962.50472592852,168.5,79.03321696484298
