iter,fitness,solution
1,600.0,600.0
2,599.0,599.0
3,598.0,598.0
4,594.0,594.0
5,578.0,578.0
6,514.0,514.0
7,141258.0,258.0
8,513.9224446330052,513.9224446330052
9,513.8449362769627,513.8449362769627
10,27385.92246813848,385.92246813848135
11,513.743799923569,513.743799923569
12,513.6428235223771,513.6428235223771
13,449.78264583042915,449.78264583042915
14,449.7574569418414,449.7574569418414
15,449.7322879262831,449.7322879262831
16,4417.8273780323825,417.8273780323822
17,449.6898134026545,449.6898134026545
18,449.6474519764049,449.6474519764049
19,433.73741500439354,433.73741500439354
20,432.73741500439354,432.73741500439354
21,428.73741500439354,428.73741500439354
22,8412.737415004394,412.73741500439354
23,428.73207960749426,428.73207960749426
24,428.72674776899737,428.72674776899737
25,420.7320813866954,420.7320813866954
26,5415.45514875782,415.4551487578203
27,420.72982166140747,420.72982166140747
28,4418.092021416996,418.0920214169966
29,420.72860432933135,420.72860432933135
30,1419.410168031614,419.4101680316138
31,420.72831464623096,420.72831464623096
32,1419.728314646231,419.72831464623096
33,420.72814795122156,420.72814795122156
34,420.22814797900884,420.22814797900884
35,419.8982438209485,419.8982438209485
36,1419.7860889292851,419.78608892928526
37,419.89823691184205,419.89823691184205
38,1419.8421618724462,419.8421618724462
39,419.8982348156071,419.8982348156071
40,3418.898234815607,418.8982348156071
41,419.8981792567796,419.8981792567796
