iter,fitness,solution
1,241162.5,162.5
2,238163.91,163.91
3,177228.77,228.7699999999999
4,97310.6424590164,310.64245901639316
5,99307.57224180328,307.5722418032784
6,97310.64243541524,310.6424354152427
7,98309.10732680887,309.1073268088669
8,97310.6424000143,310.6424000143036
9,97309.8748575116,309.87485751160017
10,98309.36828624556,309.3682862455679
11,97309.87485328017,309.87485328017635
12,97309.62156912102,309.62156912102864
13,97309.45440231414,309.45440231413875
14,100306.38418510102,306.384185101024
15,97309.4543865879,309.4543865878963
16,99307.91927798142,307.9192779814195
17,97309.45436496609,309.45436496609733
18,98308.68681852592,308.68681852592226
19,97309.45435612262,309.454356122619
20,98309.07058585038,309.07058585037896
21,97309.45435243817,309.4543524381723
22,98309.26246877595,309.26246877594536
23,97309.45435151739,309.4543515173819
24,98309.3584100546,309.35841005459883
25,97309.45435128722,309.4543512872244
26,98309.4063806479,309.40638064789766
27,97309.4543512297,309.4543512296901
28,98309.42440231414,309.4244023141388
29,97309.45440230964,309.4544023096386
30,98309.43940230964,309.43940230963864
31,97309.454402304,309.45440230401346
32,97309.44690230627,309.44690230626355
33,98309.44195230839,309.44195230839546
34,97309.44690230586,309.4469023058598
35,98309.44279380795,309.4427938079436
