iter,fitness,solution
1,475.0,475.0
2,474.0,474.0
3,473.0,473.0
4,469.0,469.0
5,453.0,453.0
6,24389.0,389.0
7,452.9715368288364,452.9715368288364
8,452.94309897762497,452.94309897762497
9,420.97154948881246,420.97154948881246
10,420.96444868318605,420.96444868318605
11,420.9573510318719,420.9573510318719
12,13404.978675515937,404.97867551593595
13,420.95407687803163,420.95407687803163
14,7412.964739790981,412.9647397909809
15,420.9492852307845,420.9492852307845
16,4416.956253382456,416.9562533824568
17,420.94776697393263,420.94776697393263
18,419.94776697393263,419.94776697393263
19,5415.947766973933,415.94776697393263
20,419.9472335623566,419.9472335623566
21,4417.947233633489,417.947233633489
22,419.9465337002452,419.9465337002452
23,2418.946800384358,418.946800384358
24,419.9462838668654,419.9462838668654
25,1419.4465004983708,419.4465004983709
26,419.9461589921438,419.9461589921438
27,1419.6963089386056,419.6963089386057
28,419.9461069776888,419.9461069776888
29,1419.8212027580048,419.8212027580047
30,419.94609397760416,419.94609397760416
31,1419.883647067959,419.8836470679588
