iter,fitness,solution
1,537.5,537.5
2,536.5,536.5
3,535.5,535.5
4,531.5,531.5
5,515.5,515.5
6,451.5,451.5
7,201195.5,195.5
8,451.4456004087785,451.4456004087785
9,451.3912239470782,451.3912239470782
10,86323.44561197354,323.4456119735391
11,451.3594775752083,451.3594775752083
12,451.3277469607687,451.3277469607687
13,26387.386679467152,387.3866794671539
14,451.30152254164227,451.30152254164227
15,451.27531963586966,451.27531963586966
16,1419.3309995515117,419.33099955151175
17,451.1043128623088,451.1043128623088
18,450.93513707808205,450.93513707808205
19,435.1330683147969,435.1330683147969
20,435.0913383625125,435.0913383625125
21,435.04982881611926,435.04982881611926
22,427.1904141838155,427.1904141838155
