iter,fitness,solution
1,63350.0,350.0
2,63349.63,349.63
3,63349.26,349.26
4,64347.78,347.78
5,63349.259864786254,349.25986478625134
6,63348.51986479861,348.51986479861034
7,64348.03154254847,348.0315425484712
8,63348.519816317006,348.51981631700926
9,64348.27567207923,348.2756720792305
10,63348.51979793408,348.51979793408043
11,64348.39773316876,348.39773316875613
12,63348.51979425828,348.5197942582817
13,304100.0,100.0
14,64348.50396628028,348.5039662802834
15,63348.519794242835,348.5197942428325
16,63348.511880253835,348.51188025383334
17,64348.506657029975,348.50665702997725
18,63348.51188024829,348.5118802482887
19,63348.507544976805,348.5075449768042
20,304100.0,100.0
21,64348.49171856026,348.4917185602609
22,63348.50754496136,348.507544961358
23,64348.49963175309,348.4996317530864
24,63348.50754494205,348.5075449420504
25,64348.50358834564,348.50358834563764
26,63348.50754493722,348.50754493722354
27,64348.1375449768,348.1375449768042
28,63348.50753653247,348.5075365324661
29,64348.32254037541,348.32254037541435
30,63348.507533663316,348.50753366331645
31,64348.41503596403,348.41503596403544
32,63348.50753102504,348.5075310250375
33,64348.46128323073,348.46128323073
