date,Battery-0.Battery_0-p_out,Battery-0.Battery_0-soc,Wind-0.wind_0-wind_gen,PV-0.pv_0-pv_gen,Load-0.load_0-load_dem,Controller-0.ctrl_0-flow2b,Controller-0.ctrl_0-flow2e,Controller-0.ctrl_0-h2_out,Electrolyser-0.electrolyser_0-h2_gen,Fuelcell-0.fc_0-fc_gen,H2storage-0.h2storage_0-eleh2_in,H2storage-0.h2storage_0-fuelh2_out,H2storage-0.h2storage_0-h2_soc
2012-06-01 00:00:00,-61.68768724549981,17.858,35.76452525450019,0.0,97.4522125,-61.68768724549981,0,0,0,0.0,0,0.0,50
2012-06-01 00:15:00,-61.68768724549981,17.858,30.101308509079523,0.0,94.5569605,-64.45565199092047,0,0,0,0.0,0,0.0,50
2012-06-01 00:30:00,-61.68768724549981,17.858,32.33016156040354,0.0,97.95850775,-65.62834618959647,0,0,0,0.0,0,0.0,50
2012-06-01 00:45:00,-61.68768724549981,17.858,31.917001586796687,0.0,97.17626025,-65.25925866320331,0,0,0,0.0,0,0.0,50
2012-06-01 01:00:00,-61.68768724549981,17.858,31.71174818810342,0.0,100.652273,-68.94052481189658,0,0,0,0.0,0,0.0,50
2012-06-01 01:15:00,-61.68768724549981,17.858,22.861674995762083,0.0,81.96689074999999,-59.1052157542379,0,0,0,0.0,0,0.0,50
2012-06-01 01:30:00,-61.68768724549981,17.858,21.72824990104048,0.0,76.67834800000001,-54.950098098959536,0,0,0,0.0,0,0.0,50
2012-06-01 01:45:00,-61.68768724549981,17.858,22.61555860937605,0.0,76.4726895,-53.85713089062395,0,0,0,0.0,0,0.0,50
2012-06-01 02:00:00,-61.68768724549981,17.858,21.569456987831963,0.0,51.94858425,-30.37912726216804,0,0,0,0.0,0,0.0,50
2012-06-01 02:15:00,-61.68768724549981,17.858,24.721304640046643,0.0,34.9237685,-10.202463859953358,0,0,0,0.0,0,0.0,50
2012-06-01 02:30:00,-61.68768724549981,17.858,27.695674065146253,0.0,42.44526975,-14.749595684853748,0,0,0,0.0,0,0.0,50
2012-06-01 02:45:00,-61.68768724549981,17.858,21.64875638280169,0.0,43.43508675,-21.786330367198307,0,0,0,0.0,0,0.0,50
2012-06-01 03:00:00,-61.68768724549981,17.858,21.96789756851643,0.0,36.857875,-14.889977431483567,0,0,0,0.0,0,0.0,50
2012-06-01 03:15:00,-61.68768724549981,17.858,24.721304640046643,0.0,16.113101500000003,8.60820314004664,0,0,0,0.0,0,0.0,50
2012-06-01 03:30:00,-61.68768724549981,17.858,24.98244303490758,0.0,21.25230025,3.730142784907578,0,0,0,0.0,0,0.0,50
2012-06-01 03:45:00,-61.68768724549981,17.858,23.27582579700007,0.0,14.60111425,8.67471154700007,0,0,0,0.0,0,0.0,50
2012-06-01 04:00:00,-61.68768724549981,17.858,15.260444374942017,0.0,15.0572875,0.2031568749420138,0,0,0,0.0,0,0.0,50
2012-06-01 04:15:00,-61.68768724549981,17.858,9.93713339977328,0.0,24.605057,-14.66792360022672,0,0,0,0.0,0,0.0,50
2012-06-01 04:30:00,-61.68768724549981,17.858,8.933567437692412,0.0,21.654398500000003,-12.72083106230759,0,0,0,0.0,0,0.0,50
2012-06-01 04:45:00,-61.68768724549981,17.858,8.164610758280814,0.0,20.62347875,-12.458867991719186,0,0,0,0.0,0,0.0,50
2012-06-01 05:00:00,-61.68768724549981,17.858,9.842943191700192,0.0,26.04364325,-16.20070005829981,0,0,0,0.0,0,0.0,50
2012-06-01 05:15:00,-61.68768724549981,17.858,11.526929247793102,17.701372389566405,30.962541,-1.7342393626404906,0,0,0,0.0,0,0.0,50
2012-06-01 05:30:00,-61.68768724549981,17.858,12.11023949286952,31.125634031392703,43.76605225,-0.5301787257377768,0,0,0,0.0,0,0.0,50
2012-06-01 05:45:00,-61.68768724549981,17.858,13.39279978905828,213.06564549874648,26.824248500000003,199.6341967878048,0,0,0,0.0,0,0.0,50
2012-06-01 06:00:00,-61.68768724549981,17.858,16.48674222623513,57.79288200280834,31.45552925,42.824094979043466,0,0,0,0.0,0,0.0,50
2012-06-01 06:15:00,-61.68768724549981,17.858,17.707503965089543,33.3835124700914,38.8828835,12.208132935180942,0,0,0,0.0,0,0.0,50
2012-06-01 06:30:00,-61.68768724549981,17.858,21.41143961844171,342.8453139927262,47.9189945,316.3377591111679,0,0,0,0.0,0,0.0,50
2012-06-01 06:45:00,-61.68768724549981,17.858,15.76908467740246,77.89516063586485,64.99497775,28.66926756326731,0,0,0,0.0,0,0.0,50
2012-06-01 07:00:00,-61.68768724549981,17.858,10.27152856889632,157.341222169919,56.325227,111.28752373881532,0,0,0,0.0,0,0.0,50
2012-06-01 07:15:00,-61.68768724549981,17.858,6.544704998982271,380.35450349582845,57.7793925,329.1198159948108,0,0,0,0.0,0,0.0,50
2012-06-01 07:30:00,-61.68768724549981,17.858,6.725155590333484,88.03271624025432,33.589716,61.16815583058781,0,0,0,0.0,0,0.0,50
2012-06-01 07:45:00,-61.68768724549981,17.858,4.884960659625227,297.229849363282,44.90621975,257.2085902729072,0,0,0,0.0,0,0.0,50
2012-06-01 08:00:00,-61.68768724549981,17.858,4.159096893698424,118.5350513965194,53.05677225,69.63737604021782,0,0,0,0.0,0,0.0,50
2012-06-01 08:15:00,-61.68768724549981,17.858,6.22808199708421,52.40132464873126,55.587279,3.0421276458154765,0,0,0,0.0,0,0.0,50
2012-06-01 08:30:00,-61.68768724549981,17.858,5.402499425605091,447.0993475478892,64.03148025,388.47036672349424,0,0,0,0.0,0,0.0,50
2012-06-01 08:45:00,-61.68768724549981,17.858,5.03358025576729,96.91474617404022,54.40968775,47.53863867980751,0,0,0,0.0,0,0.0,50
2012-06-01 09:00:00,-61.68768724549981,17.858,6.40269109177492,135.52077638405348,46.131764,95.7917034758284,0,0,0,0.0,0,0.0,50
2012-06-01 09:15:00,-61.68768724549981,17.858,9.380910430615764,483.36389810224654,52.717708,440.0271005328623,0,0,0,0.0,0,0.0,50
2012-06-01 09:30:00,-61.68768724549981,17.858,7.877920314617755,72.43200766533042,56.45302025,23.85690772994817,0,0,0,0.0,0,0.0,50
2012-06-01 09:45:00,-61.68768724549981,17.858,6.946037494284026,134.59077411215878,41.0425445,100.4942671064428,0,0,0,0.0,0,0.0,50
2012-06-01 10:00:00,-61.68768724549981,17.858,16.288903442535922,473.8899765233873,21.042413,469.1364669659232,0,0,0,0.0,0,0.0,50
2012-06-01 10:15:00,-61.68768724549981,17.858,12.164222650555097,162.57075852589827,60.00360800000001,114.73137317645336,0,0,0,0.0,0,0.0,50
2012-06-01 10:30:00,-61.68768724549981,17.858,16.887212597474946,108.14868458055828,171.430568,-46.394670821966784,0,0,0,0.0,0,0.0,50
2012-06-01 10:45:00,-61.68768724549981,17.858,17.43118903045535,579.9161254834177,176.40641100000002,420.94090351387297,0,0,0,0.0,0,0.0,50
2012-06-01 11:00:00,-61.68768724549981,17.858,28.07162834452437,131.648996949136,152.382524,7.338101293660401,0,0,0,0.0,0,0.0,50
2012-06-01 11:15:00,-61.68768724549981,17.858,23.863996085028973,130.3877079411406,147.30110925,6.950594776169595,0,0,0,0.0,0,0.0,50
2012-06-01 11:30:00,-61.68768724549981,17.858,29.21987365128263,160.61860915594409,162.21558975,27.62289305722672,0,0,0,0.0,0,0.0,50
2012-06-01 11:45:00,-61.68768724549981,17.858,39.1975133945928,194.93116412649263,173.7816785,60.34699902108542,0,0,0,0.0,0,0.0,50
2012-06-01 12:00:00,-61.68768724549981,17.858,29.31694956424336,243.59209991259948,173.65506275,99.2539867268428,0,0,0,0.0,0,0.0,50
2012-06-01 12:15:00,-61.68768724549981,17.858,26.406287061109243,210.3702065196653,69.79713125,166.9793623307745,0,0,0,0.0,0,0.0,50
2012-06-01 12:30:00,-61.68768724549981,17.858,23.69494833721988,191.32254094703305,45.8287375,169.18875178425287,0,0,0,0.0,0,0.0,50
2012-06-01 12:45:00,-61.68768724549981,17.858,23.359251616667443,264.1150014385639,42.80469825,244.66955480523137,0,0,0,0.0,0,0.0,50
