iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[1.]
7,[-0.73]
8,[1.]
9,[1.]
10,[0.57]
11,[1.]
12,[1.]
13,[1.]
14,[1.]
15,[1.]
16,[0.79]
17,[1.]
18,[1.]
19,[0.91]
20,[1.]
21,[1.]
22,[1.]
23,[0.87]
24,[1.]
24,[0.99999997]
25,[0.93]
26,[1.]
26,[0.99999998]
27,[0.96]
28,[1.]
28,[0.99999999]
29,[0.99]
30,[1.]
30,[0.99999999]
31,[1.]
31,[1.]
32,[0.99]
33,[1.]
34,[0.99]
35,[1.]
35,[1.]
36,[1.]
36,[1.]
37,[0.99]
38,[1.]
38,[1.]
39,[0.99]
40,[1.]
40,[1.]
41,[0.99]
42,[1.]
42,[1.]
43,[0.99]
44,[1.]
45,[0.98]
46,[1.]
46,[1.]
47,[0.99]
48,[1.]
48,[1.]
49,[0.99]
50,[1.]
50,[1.]
51,[0.99]
52,[1.]
52,[1.]
53,[0.99]
54,[1.]
54,[1.]
55,[0.99]
56,[1.]
56,[1.]
57,[1.]
57,[1.]
