0.1,0.06,-220.65510088672096
0.1,0.08,-221.811405481531
0.1,0.1,-235.62749822144033
0.1,0.12,-236.52736999610585
0.1,0.14,-222.98826442647868
0.1,0.16,-185.77260085770993
0.16,0.0,-183.19612996463306
0.16,0.02,-183.19612996463306
0.16,0.04,-198.87806868436408
0.16,0.06,-201.06549624760987
0.16,0.08,-205.70524594355192
0.16,0.1,-209.38930353538638
0.28,0.0,-154.78069903660088
0.28,0.02,-154.78069903660088
0.28,0.04,-168.40102505497137
0.28,0.06,-170.5884526182172
0.28,0.08,-174.184953607294
0.28,0.1,-166.1444010997573
0.38,0.06,-170.5884526182172
0.38,0.08,-174.184953607294
0.38,0.1,-166.1444010997573
0.38,0.12,-147.59570366227516
0.38,0.14,-140.53018369103904
0.38,0.16,-119.64922016393945
