0.08,0.0,-201.13345709081446
0.08,0.02,-201.13345709081446
0.08,0.04,-211.39324514749276
0.08,0.06,-212.99345051265277
0.08,0.08,-214.23047275606746
0.08,0.1,-234.01683704038794
0.22,0.06,-175.2311412356821
0.22,0.08,-178.82804222475892
0.22,0.1,-173.8125757172222
0.22,0.12,-150.70417726093044
0.22,0.14,-141.55754223395994
0.22,0.16,-119.83940524930564
0.34,0.06,-170.5884526182172
0.34,0.08,-174.184953607294
0.34,0.1,-166.1444010997573
0.34,0.12,-147.59570366227516
0.34,0.14,-140.53018369103904
0.34,0.16,-119.64922016393945
