iter,grad
1,[-137.87709516    0.        ]
2,[  0.         -17.18102563]
3,[  0.         -17.18102563]
4,[86.06778724  0.        ]
5,[-670.78617013    0.        ]
6,[85.32595518  0.        ]
7,[86.06778724  0.        ]
8,[86.06778724  0.        ]
9,[86.06778724  0.        ]
10,[86.06778724  0.        ]
11,[86.06778724  0.        ]
12,[86.06778724  0.        ]
13,[86.06778724  0.        ]
13,[86.06778724  0.        ]
13,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
14,[86.06778724  0.        ]
15,[0. 0.]
16,[-84.94845711   0.        ]
17,[68.6570761  0.       ]
18,[85.32595518  0.        ]
19,[86.06778724  0.        ]
20,[86.06778724  0.        ]
21,[86.06778724  0.        ]
22,[86.06778724  0.        ]
23,[86.06778724  0.        ]
24,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
25,[86.06778724  0.        ]
