iter,grad
1,[-34.46927379   0.        ]
2,[ 0.         -4.29525641]
3,[ 0.         -4.29525641]
4,[21.51694681  0.        ]
5,[-167.69654253    0.        ]
6,[21.33148879  0.        ]
7,[21.51694681  0.        ]
8,[21.51694681  0.        ]
9,[21.51694681  0.        ]
10,[21.51694681  0.        ]
11,[21.51694681  0.        ]
12,[21.51694681  0.        ]
13,[21.51694681  0.        ]
13,[21.51694681  0.        ]
13,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
14,[21.51694681  0.        ]
15,[0. 0.]
16,[-21.23711428   0.        ]
17,[17.16426903  0.        ]
18,[21.33148879  0.        ]
19,[21.51694681  0.        ]
20,[21.51694681  0.        ]
21,[21.51694681  0.        ]
22,[21.51694681  0.        ]
23,[21.51694681  0.        ]
24,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
25,[21.51694681  0.        ]
