label;comp_type;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;eta_s_char;eta_s_char_set;eta_s_char_param;pr;pr_set;pr_var;igva;igva_set;igva_var;char_map_eta_s;char_map_eta_s_set;char_map_eta_s_param;char_map_eta_s_group;char_map_pr;char_map_pr_set;char_map_pr_param;char_map_pr_group
compressor;Compressor;[];[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;7297.941518605683;False;False;0.8099999999998108;True;False;0x00000221CA90BE50;False;m;2.0106660686331317;False;False;0;False;False;0x00000221CA90B8E0;False;nan;default;0x00000221CA90B2E0;False;nan;default
compressor 2;Compressor;[];[];[];[];[];['eta_s'];['eta_s_char'];nan;False;False;7436.954360339684;False;False;0.8000000000003189;True;False;0x00000221CA90BD60;False;m;2.0;True;False;0;False;False;0x00000221CA91BF70;False;nan;default;0x00000221CA91BE80;False;nan;default
