iter,fitness,timestep,solution
1,-22.982602863494172,11:01:57.894,0.244135,0.244135
2,-13.903423449281533,11:03:27.657,0.244135,-1.54947
3,-14.868879934822145,11:04:30.079,0.244135,-0.20307903578252734
4,-29.67321068024637,11:05:30.440,0.244135,0.17385149009734058
5,-39.96411934912371,11:06:28.841,0.244135,0.10870408779659024
6,-17.359073795676366,11:07:27.192,0.244135,-0.047187473992968576
7,-44.21666822548253,11:08:25.542,0.244135,0.08078441963398572
8,-39.30453440671642,11:09:22.927,0.244135,-0.003677030159804112
9,-43.2670001771205,11:10:22.450,0.244135,0.06292745518785944
10,-44.21666822548253,11:11:19.811,0.244135,0.08078441963398572
11,-12.168918338301168,11:12:18.295,-1.54947,-1.54947
12,-14.476808533759604,11:13:18.765,-0.23109867433526526,-0.35116787640888014
13,-45.96826241534498,11:14:17.245,0.1577176185258569,0.002237405056407085
14,-40.49645361022516,11:15:15.728,0.09148139587415358,-0.02309040970948577
15,-45.96826241534498,11:16:14.162,0.1541009282379812,0.0008544327489643101
16,-45.96826241534498,11:17:13.610,0.15696460664665263,0.0019494637362431737
17,-45.96826241534498,11:18:12.954,0.15755870565906174,0.00217663897565896
18,-45.96826241534498,11:19:12.325,0.15768408213694926,0.00222458120546625
19,-45.96826241534498,11:20:11.688,0.1577105411292707,0.0022346987579108246
20,-45.96826241534498,11:21:11.077,0.15771612493802378,0.0022368339290924624
21,-45.96826241534498,11:22:09.446,0.15771730332455539,0.0022372845277920956
22,-45.96826241534498,11:23:11.838,0.1577175520069296,0.00223737962048998
23,-12.428008457789467,11:31:19.119,-1.54947,2.03774
24,-21.837171878135635,11:32:14.464,-0.2951518899786518,0.5421997675574537
25,-57.70812807511959,11:33:10.835,0.06870322676270561,0.10837045303251372
26,-54.98545465105973,11:34:05.178,0.12252957488571575,0.04419257938126753
27,-54.09399652106263,11:35:03.550,0.03332720474884557,0.09105524207190101
28,-53.32516517439971,11:35:59.929,0.07992477286239452,0.06657510647283046
29,-54.90652347790413,11:36:56.370,0.11611695285367316,0.0475614645665943
30,-54.90279986071063,11:37:56.772,0.12139997675076519,0.04478601626296622
31,-54.98545465105973,11:38:52.227,0.12241494292945923,0.0442528015333401
32,-54.98545465105973,11:39:44.592,0.12250538337785494,0.04420528844349446
33,-54.98545465105973,11:40:36.016,0.12252446959857166,0.04419526145517437
34,-54.98545465105973,11:41:26.410,0.12252849748463049,0.04419314539631358
35,-54.98545465105973,11:42:52.075,0.12252952690222067,0.04419260458950293
36,-12.168918338301168,11:49:53.611,-1.54947,-1.54947
37,-12.168918338301168,11:50:43.025,-0.305893980184152,-0.3641583544920297
38,-41.7928450759372,11:51:34.501,0.05428081134959031,-0.02085857384285826
39,-54.19510798435739,11:52:28.181,0.115817778873653,0.03779524632835932
40,-54.90279986071063,11:53:19.686,0.12168107256139847,0.04338383132708522
41,-54.98545465105973,11:54:10.078,0.12242606480149092,0.044093918980693564
42,-54.98545465105973,11:55:02.484,0.12250750344726284,0.04417154204007208
43,-54.98545465105973,11:55:53.893,0.1225249170102483,0.04418813973789477
44,-54.98545465105973,11:56:45.411,0.12252859190475071,0.04419164245520381
45,-54.98545465105973,11:57:37.857,0.12252936744101604,0.04419238165582537
