iter,grad
1,[7.4091056 0.       ]
2,[0. 0.]
3,[-17.27598693   0.        ]
4,[-18.72982581   0.        ]
5,[11.00061732  0.        ]
6,[17.91197285  0.        ]
7,[10.10112343  0.        ]
8,[17.91197285  0.        ]
9,[0. 0.]
10,[0. 0.]
11,[-23.03656975   0.        ]
12,[12.04800168  0.        ]
13,[17.91197285  0.        ]
14,[17.91197285  0.        ]
15,[17.91197285  0.        ]
16,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
17,[17.91197285  0.        ]
