generation,solution,fitness
7,"[34.64669934675442, 40.78369552162571, 50.36257320284913, 55.11674062724447, 63.952758543823506]",[24.807027022987903]
7,"[36.741456057055665, 32.00348486257539, 38.60212624506758, 57.07098162850996, 51.95571384364643]",[20.62053981456744]
7,"[36.53827800798112, 33.17223382181171, 42.44432427451393, 59.35003358398584, 48.006968290710454]",[22.31526299110696]
7,"[36.36042919856612, 34.19720317147331, 42.93563199957248, 56.95562404022531, 50.47767207564037]",[22.31526299110696]
7,"[36.800183344604555, 32.1765647259487, 41.714657160010354, 57.901442822375955, 48.21293281462891]",[20.907611471618385]
7,"[36.66228532949331, 32.33853706028405, 39.53379403538092, 56.97491383133489, 47.14717322254009]",[20.907611471618385]
7,"[36.74648286866577, 32.8496618511221, 38.40635680980999, 56.17362267152465, 46.340887319568935]",[20.907611471618385]
7,"[40.31048503072272, 45.37968734148488, 46.08376581493686, 65.84519854428113, 36.8695576145608]",[25.813255292307776]
7,"[35.95087292652597, 33.143711874549744, 49.579654574932945, 59.73878272616542, 50.860912568869175]",[24.807027022987903]
8,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
8,"[36.741456057055665, 32.00348486257539, 38.60212624506758, 57.07098162850996, 51.95571384364643]",[20.62053981456744]
8,"[36.53827800798112, 33.17223382181171, 42.44432427451393, 59.35003358398584, 48.006968290710454]",[22.31526299110696]
8,"[36.36042919856612, 34.19720317147331, 42.93563199957248, 56.95562404022531, 50.47767207564037]",[22.31526299110696]
8,"[36.800183344604555, 32.1765647259487, 41.714657160010354, 57.901442822375955, 48.21293281462891]",[20.907611471618385]
8,"[36.66228532949331, 32.33853706028405, 39.53379403538092, 56.97491383133489, 47.14717322254009]",[20.907611471618385]
8,"[37.576988412518894, 31.034876290577007, 41.863498848130455, 55.394093840362196, 51.53970898652372]",[18.4622783932396]
8,"[40.31048503072272, 45.37968734148488, 46.08376581493686, 65.84519854428113, 36.8695576145608]",[25.813255292307776]
8,"[36.9174128665014, 32.97572724142482, 38.450304084609925, 59.4031002735758, 47.29627279780715]",[20.907611471618385]
9,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
9,"[36.741456057055665, 32.00348486257539, 38.60212624506758, 57.07098162850996, 51.95571384364643]",[20.62053981456744]
9,"[36.53827800798112, 33.17223382181171, 42.44432427451393, 59.35003358398584, 48.006968290710454]",[22.31526299110696]
9,"[37.585260078077816, 31.848175596600157, 39.71317213200905, 56.45020249995078, 51.41174424936834]",[18.4622783932396]
9,"[36.800183344604555, 32.1765647259487, 41.714657160010354, 57.901442822375955, 48.21293281462891]",[20.907611471618385]
9,"[36.66228532949331, 32.33853706028405, 39.53379403538092, 56.97491383133489, 47.14717322254009]",[20.907611471618385]
9,"[37.576988412518894, 31.034876290577007, 41.863498848130455, 55.394093840362196, 51.53970898652372]",[18.4622783932396]
9,"[40.31048503072272, 45.37968734148488, 46.08376581493686, 65.84519854428113, 36.8695576145608]",[25.813255292307776]
9,"[37.86558849780411, 32.90881560134316, 42.573472966545346, 56.4031002735758, 50.926078555144635]",[20.62053981456744]
10,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
10,"[36.741456057055665, 32.00348486257539, 38.60212624506758, 57.07098162850996, 51.95571384364643]",[20.62053981456744]
10,"[37.14358534941337, 32.464512830079116, 38.66625347213058, 57.73478331915783, 49.98339268114925]",[20.907611471618385]
10,"[37.585260078077816, 31.848175596600157, 39.71317213200905, 56.45020249995078, 51.41174424936834]",[18.4622783932396]
10,"[36.800183344604555, 32.1765647259487, 41.714657160010354, 57.901442822375955, 48.21293281462891]",[20.907611471618385]
10,"[36.81880259280567, 32.44574979626971, 40.42106420520528, 55.82325055343368, 51.567199006449144]",[20.62053981456744]
10,"[37.576988412518894, 31.034876290577007, 41.863498848130455, 55.394093840362196, 51.53970898652372]",[18.4622783932396]
10,"[38.80326174630052, 34.33742390119771, 43.04293002696122, 60.9112384829476, 46.65140540956491]",[22.712834699717632]
10,"[37.86558849780411, 32.90881560134316, 42.573472966545346, 56.4031002735758, 50.926078555144635]",[20.62053981456744]
11,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
11,"[36.741456057055665, 32.00348486257539, 38.60212624506758, 57.07098162850996, 51.95571384364643]",[20.62053981456744]
11,"[38.056709069564974, 32.25761302354348, 37.215122740642606, 57.10085782428815, 50.46959660795499]",[20.62053981456744]
11,"[37.585260078077816, 31.848175596600157, 39.71317213200905, 56.45020249995078, 51.41174424936834]",[18.4622783932396]
11,"[36.800183344604555, 32.1765647259487, 41.714657160010354, 57.901442822375955, 48.21293281462891]",[20.907611471618385]
11,"[36.81880259280567, 32.44574979626971, 40.42106420520528, 55.82325055343368, 51.567199006449144]",[20.62053981456744]
11,"[37.576988412518894, 31.034876290577007, 41.863498848130455, 55.394093840362196, 51.53970898652372]",[18.4622783932396]
11,"[37.64096267595241, 31.347757637862045, 40.81541480775933, 57.9112384829476, 48.53414285413279]",[20.907611471618385]
11,"[37.86558849780411, 32.90881560134316, 42.573472966545346, 56.4031002735758, 50.926078555144635]",[20.62053981456744]
12,"[34.64385766312992, 40.79991426086035, 38.4676909317243, 55.59885905924727, 54.87482004642088]",[22.31526299110696]
12,"[36.741456057055665, 32.00348486257539, 38.60212624506758, 57.07098162850996, 51.95571384364643]",[20.62053981456744]
12,"[38.056709069564974, 32.25761302354348, 37.215122740642606, 57.10085782428815, 50.46959660795499]",[20.62053981456744]
12,"[37.585260078077816, 31.848175596600157, 39.71317213200905, 56.45020249995078, 51.41174424936834]",[18.4622783932396]
12,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
12,"[36.44682266985551, 31.270803400921736, 40.85680561698786, 55.31783141198476, 52.132171702879056]",[18.01606113303419]
12,"[37.576988412518894, 31.034876290577007, 41.863498848130455, 55.394093840362196, 51.53970898652372]",[18.4622783932396]
12,"[37.20481414977308, 30.54018551931621, 40.003637618812554, 55.70456207797037, 50.2943205423797]",[18.4622783932396]
