generation,solution,fitness
1,"[36.119941307320985, 69.40214436792388, 53.43555775223257, 60.97987726295555, 11.389360752297867]",[1192.0335089113291]
1,"[33.71593972369823, 4.240103688278561, 63.230858641570265, 61.01672517614813, 51.68929817911132]",[1193.8763432119304]
1,"[32.22642943725383, 70.80341920782558, 60.76831277843079, 55.18508666017414, 13.273222606118345]",[1191.7726251434237]
1,"[34.01744960838777, 22.209683736046255, 38.30721950915336, 58.47917527963173, 21.25972723445706]",[1194.3860992243783]
1,"[38.730381841946176, 10.183051827599053, 21.326559343070926, 57.49542764940537, 33.29310884784362]",[1193.6823801196663]
1,"[40.63693557532315, 14.57618609756026, 37.53911400419365, 60.88621853293064, 3.390880128559834]",[1193.5862489625797]
1,"[38.682993370915824, 12.448261029172281, 4.748766287925404, 66.2332830588, 70.49113841444283]",[1192.0554914901545]
1,"[40.89237082928107, 22.23680514965606, 7.130064322466023, 62.263495397682355, 32.13113204299089]",[1193.2842134244202]
1,"[33.342420583292565, 36.147914438122726, 2.510362041410943, 65.63980603118173, 18.890938656801236]",[1193.1828066781604]
2,"[32.30765588068995, 71.21973888148875, 5.362978138604419, 55.57806142272651, 13.273222606118345]",[1191.209025496087]
2,"[32.22642943725383, 70.80341920782558, 60.76831277843079, 55.18508666017414, 13.273222606118345]",[1191.7726251434237]
2,"[32.22642943725383, 70.80341920782558, 60.76831277843079, 57.03256540758389, 13.231796937659555]",[1191.9828037903646]
2,"[36.119941307320985, 69.40214436792388, 53.43555775223257, 60.97987726295555, 11.389360752297867]",[1192.0335089113291]
2,"[38.682993370915824, 12.448261029172281, 4.748766287925404, 66.2332830588, 70.49113841444283]",[1192.0554914901545]
2,"[38.682993370915824, 12.448261029172281, 4.748766287925404, 66.69127994158008, 70.49113841444283]",[1192.0554914901545]
2,"[36.119941307320985, 70.7647763255474, 61.145799737210154, 60.9707442144144, 6.241016860789089]",[1192.287681404181]
2,"[32.22642943725383, 67.96859266487016, 53.05807079338368, 55.19422034165725, 13.273222606118345]",[1192.7226157539537]
2,"[33.342420583292565, 38.03059264607843, 2.510362041410943, 65.2348364611745, 18.932364325260124]",[1192.9756150572337]
3,"[32.30765588068995, 71.81745989172062, 4.8187607452217085, 55.57806142272651, 13.273222606118345]",[1191.2046518893656]
3,"[32.30765588068995, 71.21973888148875, 5.362978138604419, 55.57806142272651, 13.273222606118345]",[1191.209025496087]
