Player,Sell,Buy,Total Costs,Total Revenue
prosumer_s1_3,[],"[['2012-04-15 00:00:00', 67.6969475, 0.5, 15.445045635219273, 0.5], ['2012-04-15 00:00:00', 52.25190186478072, 0.5, 15.445045635219273, 0.5], ['2012-04-15 00:15:00', 77.77300774999999, 0.5, 6.542737492813075, 0.5], ['2012-04-15 00:15:00', 71.23027025718692, 0.5, 6.542737492813075, 0.5], ['2012-04-15 00:30:00', 67.42285724999999, 0.5, 22.31157883369289, 0.5], ['2012-04-15 00:30:00', 45.1112784163071, 0.5, 22.31157883369289, 0.5], ['2012-04-15 00:45:00', 72.922606, 0.5, 14.174742086337815, 0.5], ['2012-04-15 00:45:00', 58.74786391366219, 0.5, 14.174742086337815, 0.5], ['2012-04-15 01:00:00', 76.4356795, 0.5, 6.123544783644661, 0.5], ['2012-04-15 01:00:00', 70.31213471635535, 0.5, 6.123544783644661, 0.5], ['2012-04-15 01:15:00', 63.74248374999999, 0.5, 14.065875110213852, 0.5], ['2012-04-15 01:15:00', 49.67660863978614, 0.5, 14.065875110213852, 0.5], ['2012-04-15 01:30:00', 73.13793874999999, 0.5, 12.362553856278339, 0.5], ['2012-04-15 01:30:00', 60.77538489372165, 0.5, 12.362553856278339, 0.5], ['2012-04-15 01:45:00', 76.6581375, 0.5, 3.7875721042837824, 0.5], ['2012-04-15 01:45:00', 72.87056539571621, 0.5, 3.7875721042837824, 0.5], ['2012-04-15 02:00:00', 43.44673825, 0.5, 43.44673825, 0.5], ['2012-04-15 02:15:00', 45.869702, 0.5, 42.64109965269652, 0.5], ['2012-04-15 02:15:00', 3.228602347303479, 0.5, 3.228602347303479, 0.5], ['2012-04-15 02:30:00', 51.6792105, 0.5, 32.63653474281306, 0.5], ['2012-04-15 02:30:00', 19.04267575718694, 0.5, 19.04267575718694, 0.5], ['2012-04-15 02:45:00', 47.59176025000001, 0.5, 35.94026505684714, 0.5], ['2012-04-15 02:45:00', 11.651495193152869, 0.5, 11.651495193152869, 0.5], ['2012-04-15 03:00:00', 45.360210249999994, 0.5, 40.140282356278334, 0.5], ['2012-04-15 03:00:00', 5.21992789372166, 0.5, 5.21992789372166, 0.5], ['2012-04-15 03:15:00', 50.844773, 0.5, 30.17372827923427, 0.5], ['2012-04-15 03:15:00', 20.671044720765735, 0.5, 20.671044720765735, 0.5], ['2012-04-15 03:30:00', 57.466514999999994, 0.5, 20.528285535471575, 0.5], ['2012-04-15 03:30:00', 36.93822946452842, 0.5, 20.528285535471575, 0.5], ['2012-04-15 03:45:00', 57.0680875, 0.5, 20.368279837626396, 0.5], ['2012-04-15 03:45:00', 36.6998076623736, 0.5, 20.368279837626396, 0.5], ['2012-04-15 04:00:00', 64.706025, 0.5, 10.159545973221043, 0.5], ['2012-04-15 04:00:00', 54.546479026778954, 0.5, 10.159545973221043, 0.5], ['2012-04-15 04:15:00', 73.267899, 0.5, 0.8737552937429456, 0.5], ['2012-04-15 04:15:00', 72.39414370625705, 0.5, 0.8737552937429456, 0.5], ['2012-04-15 04:30:00', 44.883975, 0.5, 31.996631063847836, 0.5], ['2012-04-15 04:30:00', 12.887343936152163, 0.5, 12.887343936152163, 0.5], ['2012-04-15 04:45:00', 50.53870175, 0.5, 26.52686158684638, 0.5], ['2012-04-15 04:45:00', 24.01184016315362, 0.5, 24.01184016315362, 0.5], ['2012-04-15 05:00:00', 54.88442525, 0.5, 17.113508696698553, 0.5], ['2012-04-15 05:00:00', 37.77091655330145, 0.5, 17.113508696698553, 0.5], ['2012-04-15 05:15:00', 50.263486750000006, 0.5, 28.29242531487518, 0.5], ['2012-04-15 05:15:00', 21.971061435124824, 0.5, 21.971061435124824, 0.5], ['2012-04-15 05:30:00', 44.83253475, 0.5, 34.47570338895911, 0.5], ['2012-04-15 05:30:00', 10.35683136104089, 0.5, 10.35683136104089, 0.5], ['2012-04-15 05:45:00', 56.650393, 0.5, 25.908831283644666, 0.5], ['2012-04-15 05:45:00', 30.741561716355335, 0.5, 25.908831283644666, 0.5], ['2012-04-15 06:00:00', 58.4286395, 0.5, 13.039900001539294, 0.5], ['2012-04-15 06:00:00', 45.38873949846071, 0.5, 13.039900001539294, 0.5], ['2012-04-15 06:15:00', 40.933919050417884, 0.5, 20.484512331903396, 0.5], ['2012-04-15 06:15:00', 20.44940671851449, 0.5, 20.44940671851449, 0.5], ['2012-04-15 07:30:00', 5.291662525604515, 0.5, 5.291662525604515, 0.5], ['2012-04-15 12:30:00', 12.086277445993858, 0.5, 4.137033175719026, 0.5], ['2012-04-15 12:30:00', 7.949244270274832, 0.5, 4.137033175719026, 0.5]]",116.92778168453961,0
prosumer_s1_4,"[['2012-04-15 00:00:00', 15.445045635219273, 0.01, 15.445045635219273, 0.5], ['2012-04-15 00:15:00', 6.542737492813075, 0.01, 6.542737492813075, 0.5], ['2012-04-15 00:30:00', 22.31157883369289, 0.01, 22.31157883369289, 0.5], ['2012-04-15 00:45:00', 14.174742086337815, 0.01, 14.174742086337815, 0.5], ['2012-04-15 01:00:00', 6.123544783644661, 0.01, 6.123544783644661, 0.5], ['2012-04-15 01:15:00', 14.065875110213852, 0.01, 14.065875110213852, 0.5], ['2012-04-15 01:30:00', 12.362553856278339, 0.01, 12.362553856278339, 0.5], ['2012-04-15 01:45:00', 3.7875721042837824, 0.01, 3.7875721042837824, 0.5], ['2012-04-15 02:00:00', 47.729463258393814, 0.01, 43.44673825, 0.5], ['2012-04-15 02:00:00', 4.282725008393811, 0.01, 4.282725008393811, 0.33], ['2012-04-15 02:15:00', 42.64109965269652, 0.01, 42.64109965269652, 0.5], ['2012-04-15 02:30:00', 32.63653474281306, 0.01, 32.63653474281306, 0.5], ['2012-04-15 02:45:00', 35.94026505684714, 0.01, 35.94026505684714, 0.5], ['2012-04-15 03:00:00', 40.140282356278334, 0.01, 40.140282356278334, 0.5], ['2012-04-15 03:15:00', 30.17372827923427, 0.01, 30.17372827923427, 0.5], ['2012-04-15 03:30:00', 20.528285535471575, 0.01, 20.528285535471575, 0.5], ['2012-04-15 03:45:00', 20.368279837626396, 0.01, 20.368279837626396, 0.5], ['2012-04-15 04:00:00', 10.159545973221043, 0.01, 10.159545973221043, 0.5], ['2012-04-15 04:15:00', 0.8737552937429456, 0.01, 0.8737552937429456, 0.5], ['2012-04-15 04:30:00', 31.996631063847836, 0.01, 31.996631063847836, 0.5], ['2012-04-15 04:45:00', 26.52686158684638, 0.01, 26.52686158684638, 0.5], ['2012-04-15 05:00:00', 17.113508696698553, 0.01, 17.113508696698553, 0.5], ['2012-04-15 05:15:00', 28.29242531487518, 0.01, 28.29242531487518, 0.5], ['2012-04-15 05:30:00', 34.47570338895911, 0.01, 34.47570338895911, 0.5], ['2012-04-15 05:45:00', 25.908831283644666, 0.01, 25.908831283644666, 0.5], ['2012-04-15 06:00:00', 13.039900001539294, 0.01, 13.039900001539294, 0.5], ['2012-04-15 06:15:00', 20.484512331903396, 0.01, 20.484512331903396, 0.5], ['2012-04-15 07:30:00', 14.883329893243129, 0.01, 5.291662525604515, 0.5], ['2012-04-15 07:30:00', 9.591667367638614, 0.01, 5.291662525604515, 0.33], ['2012-04-15 07:30:00', 4.300004842034099, 0.01, 4.300004842034099, 0.19], ['2012-04-15 12:30:00', 4.137033175719026, 0.01, 4.137033175719026, 0.5]]",[],0,73.36779148280809
prosumer_s1_0,"[['2012-04-15 00:00:00', 15.445045635219273, 0.05, 15.445045635219273, 0.5], ['2012-04-15 00:15:00', 6.542737492813075, 0.05, 6.542737492813075, 0.5], ['2012-04-15 00:30:00', 22.31157883369289, 0.05, 22.31157883369289, 0.5], ['2012-04-15 00:45:00', 14.174742086337815, 0.05, 14.174742086337815, 0.5], ['2012-04-15 01:00:00', 6.123544783644661, 0.05, 6.123544783644661, 0.5], ['2012-04-15 01:15:00', 14.065875110213852, 0.05, 14.065875110213852, 0.5], ['2012-04-15 01:30:00', 12.362553856278339, 0.05, 12.362553856278339, 0.5], ['2012-04-15 01:45:00', 3.7875721042837824, 0.05, 3.7875721042837824, 0.5], ['2012-04-15 02:00:00', 47.729463258393814, 0.05, 39.16401324160619, 0.33], ['2012-04-15 02:00:00', 8.565450016787622, 0.05, 8.565450016787622, 0.19], ['2012-04-15 02:15:00', 42.64109965269652, 0.05, 3.228602347303479, 0.5], ['2012-04-15 02:15:00', 39.41249730539304, 0.05, 39.41249730539304, 0.33], ['2012-04-15 02:30:00', 32.63653474281306, 0.05, 19.04267575718694, 0.5], ['2012-04-15 02:30:00', 13.59385898562612, 0.05, 13.59385898562612, 0.33], ['2012-04-15 02:45:00', 35.94026505684714, 0.05, 11.651495193152869, 0.5], ['2012-04-15 02:45:00', 24.28876986369427, 0.05, 24.28876986369427, 0.33], ['2012-04-15 03:00:00', 40.140282356278334, 0.05, 5.21992789372166, 0.5], ['2012-04-15 03:00:00', 34.92035446255667, 0.05, 34.92035446255667, 0.33], ['2012-04-15 03:15:00', 30.17372827923427, 0.05, 20.671044720765735, 0.5], ['2012-04-15 03:15:00', 9.502683558468533, 0.05, 9.502683558468533, 0.33], ['2012-04-15 03:30:00', 20.528285535471575, 0.05, 20.528285535471575, 0.5], ['2012-04-15 03:45:00', 20.368279837626396, 0.05, 20.368279837626396, 0.5], ['2012-04-15 04:00:00', 10.159545973221043, 0.05, 10.159545973221043, 0.5], ['2012-04-15 04:15:00', 0.8737552937429456, 0.05, 0.8737552937429456, 0.5], ['2012-04-15 04:30:00', 31.996631063847836, 0.05, 12.887343936152163, 0.5], ['2012-04-15 04:30:00', 19.109287127695673, 0.05, 19.109287127695673, 0.33], ['2012-04-15 04:45:00', 26.52686158684638, 0.05, 24.01184016315362, 0.5], ['2012-04-15 04:45:00', 2.515021423692758, 0.05, 2.515021423692758, 0.33], ['2012-04-15 05:00:00', 17.113508696698553, 0.05, 17.113508696698553, 0.5], ['2012-04-15 05:15:00', 28.29242531487518, 0.05, 21.971061435124824, 0.5], ['2012-04-15 05:15:00', 6.321363879750358, 0.05, 6.321363879750358, 0.33], ['2012-04-15 05:30:00', 34.47570338895911, 0.05, 10.35683136104089, 0.5], ['2012-04-15 05:30:00', 24.118872027918222, 0.05, 24.118872027918222, 0.33], ['2012-04-15 05:45:00', 25.908831283644666, 0.05, 25.908831283644666, 0.5], ['2012-04-15 06:00:00', 13.039900001539294, 0.05, 13.039900001539294, 0.5], ['2012-04-15 06:15:00', 20.484512331903396, 0.05, 20.44940671851449, 0.5], ['2012-04-15 06:15:00', 0.035105613388907386, 0.05, 0.035105613388907386, 0.33], ['2012-04-15 07:30:00', 14.883329893243129, 0.05, 0.9916576835704163, 0.19], ['2012-04-15 12:30:00', 4.137033175719026, 0.05, 4.137033175719026, 0.5]]",[],0,62.57909078695772
prosumer_s1_1,[],"[['2012-04-15 02:00:00', 43.44673825, 0.33, 4.282725008393811, 0.33], ['2012-04-15 02:00:00', 39.16401324160619, 0.33, 39.16401324160619, 0.33], ['2012-04-15 02:15:00', 45.869702, 0.33, 39.41249730539304, 0.33], ['2012-04-15 02:30:00', 51.6792105, 0.33, 13.59385898562612, 0.33], ['2012-04-15 02:45:00', 47.59176025000001, 0.33, 24.28876986369427, 0.33], ['2012-04-15 03:00:00', 45.360210249999994, 0.33, 34.92035446255667, 0.33], ['2012-04-15 03:15:00', 50.844773, 0.33, 9.502683558468533, 0.33], ['2012-04-15 04:30:00', 44.883975, 0.33, 19.109287127695673, 0.33], ['2012-04-15 04:45:00', 50.53870175, 0.33, 2.515021423692758, 0.33], ['2012-04-15 05:15:00', 50.263486750000006, 0.33, 6.321363879750358, 0.33], ['2012-04-15 05:30:00', 44.83253475, 0.33, 24.118872027918222, 0.33], ['2012-04-15 06:15:00', 40.933919050417884, 0.33, 0.035105613388907386, 0.33], ['2012-04-15 07:30:00', 5.291662525604515, 0.33, 5.291662525604515, 0.33]]",18.3608877394626,0
prosumer_s1_5,[],"[['2012-04-15 02:00:00', 43.44673825, 0.19, 8.565450016787622, 0.19], ['2012-04-15 07:30:00', 5.291662525604515, 0.19, 4.300004842034099, 0.19], ['2012-04-15 07:30:00', 0.9916576835704163, 0.19, 0.9916576835704163, 0.19]]",0.6582128457636265,0
