date,Wind-0.wind_0-wind_gen,PV-0.pv_0-pv_gen,Load-0.load_0-load_dem,Controller-0.ctrl_0-flow2b,Controller-0.ctrl_0-flow2e,Controller-0.ctrl_0-dump,Electrolyser-0.electro_0-h2_gen,Battery-0.Battery_0-p_out,Battery-0.Battery_0-p_in,Battery-0.Battery_0-mod,Battery-0.Battery_0-flag,Battery-0.Battery_0-soc,H2storage-0.h2storage_0-h2_given,H2storage-0.h2storage_0-h2_stored,H2storage-0.h2storage_0-h2_soc,Fuelcell-0.fc_0-fc_gen
2012-06-15 19:15:00,123.46529625,31.07245908740739,7.286346857412429,-85.10649030518017,0,0,0,-85.10649030518017,-85.10649030518017,-1,0,82.57,0,0,50.181,0.0
2012-06-15 19:30:00,118.00361275,34.451035957525825,5.246667841508008,-78.30590895096617,0,0,0,-78.30590895096617,-78.30590895096617,-1,0,79.851,0,0,50.181,0.0
2012-06-15 19:45:00,80.91290675,35.79151488354564,6.835001713489768,-38.2863901529646,0,0,0,-38.2863901529646,-38.2863901529646,-1,0,78.522,0,0,50.181,0.0
2012-06-15 20:00:00,170.2336385,29.80096211354301,7.3248310044582645,-133.10784538199874,0,0,0,-133.10784538199874,-133.10784538199874,-1,0,73.9,0,0,50.181,0.0
2012-06-15 20:15:00,149.90389725,12.175737741572048,8.164610758280814,-129.56354875014713,0,0,0,-129.56354875014713,-129.56354875014713,-1,0,69.401,0,0,50.181,0.0
2012-06-15 20:30:00,114.50646075,3.3852442596007943,8.373592486581403,-102.7476240038178,0,0,0,-102.7476240038178,-102.7476240038178,-1,0,65.833,0,0,50.181,0.0
2012-06-15 20:45:00,52.488628250000005,0.6774491577956447,5.593533097076465,-46.217645995127896,0,0,0,-46.217645995127896,-46.217645995127896,-1,0,64.228,0,0,50.181,0.0
2012-06-15 21:00:00,47.934946,0.0,5.6907158806714575,-42.24423011932854,0,0,0,-42.24423011932854,-42.24423011932854,-1,0,62.761,0,0,50.181,0.0
2012-06-15 21:15:00,48.02836,0.0,3.7998764514597534,-44.22848354854025,0,0,0,-44.22848354854025,-44.22848354854025,-1,0,61.225,0,0,50.181,0.0
2012-06-15 21:30:00,43.73464725,0.0,3.6767800308544376,-40.057867219145564,0,0,0,-40.057867219145564,-40.057867219145564,-1,0,59.834,0,0,50.181,0.0
2012-06-15 21:45:00,49.288413750000004,0.0,5.625803400995804,-43.6626103490042,0,0,0,-43.6626103490042,-43.6626103490042,-1,0,58.318,0,0,50.181,0.0
2012-06-15 22:00:00,62.337769,0.0,7.247997742322717,-55.089771257677285,0,0,0,-55.089771257677285,-55.089771257677285,-1,0,56.405,0,0,50.181,0.0
2012-06-15 22:15:00,56.6816275,0.0,7.1717036587536,-49.5099238412464,0,0,0,-49.5099238412464,-49.5099238412464,-1,0,54.686,0,0,50.181,0.0
2012-06-15 22:30:00,57.895142250000006,0.0,10.319903035455583,-47.575239214544425,0,0,0,-47.575239214544425,-47.575239214544425,-1,0,53.034,0,0,50.181,0.0
2012-06-15 22:45:00,73.15360799999999,0.0,8.500676898420279,-64.65293110157971,0,0,0,-64.65293110157971,-64.65293110157971,-1,0,50.789,0,0,50.181,0.0
2012-06-15 23:00:00,71.20718875,0.0,7.797259644066991,-63.40992910593301,0,0,0,-63.40992910593301,-63.40992910593301,-1,0,48.587,0,0,50.181,0.0
2012-06-15 23:15:00,67.95616225,0.0,6.124856236809833,-61.83130601319017,0,0,0,-61.83130601319017,-61.83130601319017,-1,0,46.44,0,0,50.181,0.0
2012-06-15 23:30:00,89.475626,0.0,3.9003085848763313,-85.57531741512368,0,0,0,-85.57531741512368,-85.57531741512368,-1,0,43.469,0,0,50.181,0.0
2012-06-15 23:45:00,97.284114,0.0,4.2926766827773415,-92.99143731722266,0,0,0,-92.99143731722266,-92.99143731722266,-1,0,40.24,0,0,50.181,0.0
2012-06-16,86.93439175,0.0,3.6767800308544376,-83.25761171914557,0,0,0,-83.25761171914557,-83.25761171914557,-1,0,37.349,0,0,50.181,0.0
2012-06-16 00:15:00,84.14061724999999,0.0,2.706094547850211,-81.43452270214978,0,0,0,-81.43452270214978,-81.43452270214978,-1,0,34.521,0,0,50.181,0.0
2012-06-16 00:30:00,73.4788775,0.0,2.493573985578409,-70.98530351442159,0,0,0,-70.98530351442159,-70.98530351442159,-1,0,32.056,0,0,50.181,0.0
2012-06-16 00:45:00,76.54455325,0.0,0,-76.54455325,0,0,0,-76.54455325,-76.54455325,-1,0,29.398,0,0,50.181,0.0
2012-06-16 01:00:00,73.7871105,0.0,0,-73.7871105,0,0,0,-73.7871105,-73.7871105,-1,0,26.836,0,0,50.181,0.0
2012-06-16 01:15:00,68.87293875,0.0,0,-68.87293875,0,0,0,-68.87293875,-68.87293875,-1,0,24.445,0,0,50.181,0.0
2012-06-16 01:30:00,37.34574175,0.0,0,-37.34574175,0,0,0,-37.34574175,-37.34574175,-1,0,23.148,0,0,50.181,0.0
2012-06-16 01:45:00,56.280290750000006,0.0,0,-56.280290750000006,0,0,0,-56.280290750000006,-56.280290750000006,-1,0,21.194,0,0,50.181,0.0
2012-06-16 02:00:00,74.35328375,0.0,0,-74.35328375,0,0,0,-74.35328375,-74.35328375,-1,0,18.612,0,0,50.181,0.0
2012-06-16 02:15:00,72.38947950000001,0.0,0,-72.38947950000001,0,0,0,-72.38947950000001,-72.38947950000001,-1,0,16.098,0,0,50.181,0.0
2012-06-16 02:30:00,45.576466,0.0,0,-45.576466,0,0,0,-45.576466,-45.576466,-1,0,14.515,0,0,50.181,0.0
2012-06-16 02:45:00,51.62708725,0.0,0,-51.62708725,0,0,0,-51.62708725,-51.62708725,-1,0,12.722,0,0,50.181,0.0
2012-06-16 03:00:00,50.9221485,0.0,0,-50.9221485,0,0,0,-50.9221485,-50.9221485,-1,0,10.954,0,0,50.181,0.0
2012-06-16 03:15:00,51.09361075,0.0,0,-51.09361075,0,0,0,-33.92000000000002,-51.09361075,-1,-1,10,0,0,50.181,0.0
2012-06-16 03:30:00,48.27472,0.0,0,0,0,0,0,0,0,0,-1,10,-2.7227704455724764,0,50.175,12.068680000000002
2012-06-16 03:45:00,42.69328,0.0,2.4191439283795004,0,0,0,0,0,0,0,-1,10,-2.271524877135956,0,50.17,10.068534017905124
2012-06-16 04:00:00,42.781717750000006,0.0,6.124856236809833,0,0,0,0,0,0,0,-1,10,-2.0675048794805515,0,50.166,9.164215378297545
2012-06-16 04:15:00,40.24550525,0.0,11.895903988778628,0,0,0,0,0,0,0,-1,10,-1.5989622820767837,0,50.163,7.087400315305343
2012-06-16 04:30:00,42.175641999999996,0.0,16.82002217537144,0,0,0,0,0,0,0,-1,10,-1.4300970008250735,0,50.16,6.338904956157138
2012-06-16 04:45:00,15.775869750000002,2.0804429722419533,18.625666961216446,4.930240183458398,0,0,0,4.930240183458398,4.930240183458398,1,0,10.139,0,0,50.16,0.0
2012-06-16 05:00:00,18.64736075,5.540964719859814,19.132953344845646,6.02655731470546,0,0,0,6.02655731470546,6.02655731470546,1,0,10.308,0,0,50.16,0.0
