Player_id,Received_supply_bids,Accepted_supply_bids,Received_demand_bids,Accepted_demand_bids,Total_costs,Total_revenue
prosumer_s1_0,"[['2012-04-15 00:30:00', 0.8386156691692015, 0.07], ['2012-04-15 00:45:00', 0.9681776616931212, 0.07], ['2012-04-15 01:00:00', 1.046631286413966, 0.07], ['2012-04-15 01:15:00', 1.344169125639589, 0.07], ['2012-04-15 01:30:00', 0.755090852710615, 0.07], ['2012-04-15 01:45:00', 0.35245231316675874, 0.07], ['2012-04-15 02:00:00', 0.8869586593251007, 0.07], ['2012-04-15 02:15:00', 0.3960151807162138, 0.07], ['2012-04-15 02:30:00', 0.6314966710381502, 0.07], ['2012-04-15 03:15:00', 0.11364120871363026, 0.07], ['2012-04-15 03:30:00', 0.7193727158055596, 0.07], ['2012-04-15 03:45:00', 0.05770815274297769, 0.07], ['2012-04-15 04:00:00', 0.40908722884009796, 0.07], ['2012-04-15 04:30:00', 0.4552963150023026, 0.07], ['2012-04-15 04:45:00', 0.08576493145335151, 0.07], ['2012-04-15 05:00:00', 0.26432983676860244, 0.07], ['2012-04-15 05:15:00', 0.33174435082074405, 0.07], ['2012-04-15 15:45:00', 0.0021917676916387574, 0.07], ['2012-04-15 16:00:00', 0.3925510582435773, 0.07], ['2012-04-15 16:15:00', 0.0790031857539466, 0.1], ['2012-04-15 16:15:00', 0.6276722802763915, 0.07], ['2012-04-15 16:30:00', 0.07331704771146907, 0.1], ['2012-04-15 16:30:00', 0.800148755315484, 0.07], ['2012-04-15 16:45:00', 0.11929497693751456, 0.07]]",[],"[['2012-04-15 02:45:00', 0.13488646772083435, 0.12], ['2012-04-15 03:00:00', 0.28154505244054295, 0.12], ['2012-04-15 04:15:00', 0.14059893047972327, 0.12], ['2012-04-15 05:30:00', 0.4156786942345154, 0.12], ['2012-04-15 05:45:00', 0.30605251191648275, 0.12], ['2012-04-15 06:00:00', 0.42817505951597923, 0.12], ['2012-04-15 06:15:00', 1.0036219471450227, 0.12], ['2012-04-15 06:30:00', 0.956732568358079, 0.12], ['2012-04-15 06:45:00', 1.076360392282083, 0.12], ['2012-04-15 07:00:00', 1.7373620710641875, 0.12], ['2012-04-15 07:15:00', 2.570296614666389, 0.12], ['2012-04-15 07:30:00', 2.830797314885054, 0.12], ['2012-04-15 07:45:00', 2.9975123064689337, 0.12], ['2012-04-15 08:00:00', 2.9738741652107095, 0.12], ['2012-04-15 08:15:00', 2.822354236921018, 0.12], ['2012-04-15 08:30:00', 2.5376304423008085, 0.12], ['2012-04-15 08:45:00', 2.596973270824603, 0.12], ['2012-04-15 09:00:00', 2.6018621427716986, 0.12], ['2012-04-15 09:15:00', 2.380802138609323, 0.12], ['2012-04-15 09:30:00', 2.6366372012132038, 0.12], ['2012-04-15 09:45:00', 2.570078753507111, 0.12], ['2012-04-15 10:00:00', 2.346996602453941, 0.12], ['2012-04-15 10:15:00', 1.9844767953864948, 0.12], ['2012-04-15 10:30:00', 1.7785446126786635, 0.12], ['2012-04-15 10:45:00', 1.6246311220371166, 0.12], ['2012-04-15 11:00:00', 1.895709006270085, 0.12], ['2012-04-15 11:15:00', 1.572660746990846, 0.12], ['2012-04-15 11:30:00', 1.2152396073397675, 0.12], ['2012-04-15 11:45:00', 1.1477623588127652, 0.12], ['2012-04-15 12:00:00', 2.232564604103861, 0.12], ['2012-04-15 12:15:00', 1.5926522154698874, 0.12], ['2012-04-15 12:30:00', 1.8130355229176507, 0.12], ['2012-04-15 12:45:00', 2.317538636613604, 0.12], ['2012-04-15 13:00:00', 1.965270085623088, 0.12], ['2012-04-15 13:15:00', 2.24641583943116, 0.12], ['2012-04-15 13:30:00', 1.2212652634168468, 0.12], ['2012-04-15 13:45:00', 0.8747074357326232, 0.12], ['2012-04-15 14:00:00', 0.682957663147912, 0.12], ['2012-04-15 14:15:00', 0.5064505761990938, 0.12], ['2012-04-15 14:30:00', 0.13446966434751584, 0.12], ['2012-04-15 14:45:00', 0.44327547337816453, 0.12], ['2012-04-15 15:00:00', 0.6310889611275816, 0.12], ['2012-04-15 15:15:00', 0.45216131834547824, 0.12], ['2012-04-15 15:30:00', 0.6920766457597645, 0.12], ['2012-04-15 17:00:00', 0.5124633628611219, 0.12], ['2012-04-15 17:15:00', 0.8455988213940007, 0.12], ['2012-04-15 17:30:00', 1.4828471943056285, 0.12], ['2012-04-15 17:45:00', 1.786692547359083, 0.12], ['2012-04-15 18:00:00', 2.4650479410507637, 0.12], ['2012-04-15 18:15:00', 1.8327681780881921, 0.12], ['2012-04-15 18:30:00', 1.548911236479638, 0.12], ['2012-04-15 18:45:00', 1.2711146315856339, 0.12], ['2012-04-15 19:00:00', 1.5883442997231147, 0.12], ['2012-04-15 19:15:00', 1.4024424089771972, 0.12], ['2012-04-15 19:30:00', 1.491005347454622, 0.12], ['2012-04-15 19:45:00', 1.3793339949681547, 0.12], ['2012-04-15 20:00:00', 1.3762531975237144, 0.12], ['2012-04-15 20:15:00', 0.5941389195940449, 0.12], ['2012-04-15 20:30:00', 0.09069584010619092, 0.12], ['2012-04-15 20:45:00', 0.557892188766559, 0.12], ['2012-04-15 21:00:00', 0.6126315643286939, 0.12], ['2012-04-15 21:15:00', 1.2146071171155364, 0.12], ['2012-04-15 21:30:00', 1.1804191243450748, 0.12], ['2012-04-15 21:45:00', 0.5683181965339573, 0.12], ['2012-04-15 22:00:00', 1.1332045706515292, 0.12], ['2012-04-15 22:15:00', 0.7521512040317747, 0.12], ['2012-04-15 22:30:00', 1.036746144989567, 0.12], ['2012-04-15 22:45:00', 1.0093826692945385, 0.12], ['2012-04-15 23:00:00', 1.0174004714899694, 0.12], ['2012-04-15 23:15:00', 1.4520545672073337, 0.12], ['2012-04-15 23:30:00', 1.1790633736461813, 0.12], ['2012-04-15 23:45:00', 1.8756658766549916, 0.12]]","[['2012-04-15 13:30:00', 0.9067398979516019, 0.12], ['2012-04-15 14:00:00', 0.37286428304110686, 0.12], ['2012-04-15 15:00:00', 0.41858640919294887, 0.12], ['2012-04-15 15:30:00', 0.024367569391155586, 0.12]]",0.2067069791492176,0
prosumer_s1_1,"[['2012-04-15 10:00:00', 0.03475163707830675, 0.27], ['2012-04-15 10:15:00', 0.48457367393053874, 0.27], ['2012-04-15 10:30:00', 0.18124516931249124, 0.27], ['2012-04-15 10:45:00', 0.4099035839579592, 0.27], ['2012-04-15 11:00:00', 0.05497888122443395, 0.27], ['2012-04-15 11:45:00', 0.12190891387771541, 0.27], ['2012-04-15 12:15:00', 1.0699945342418196, 0.27], ['2012-04-15 12:30:00', 0.036281298836457365, 0.27], ['2012-04-15 13:00:00', 0.860763128701177, 0.27], ['2012-04-15 13:15:00', 0.09186754574818012, 0.27], ['2012-04-15 13:30:00', 1.069504819381806, 0.27], ['2012-04-15 13:45:00', 1.0879207744945474, 0.27], ['2012-04-15 14:00:00', 0.462531212914181, 0.27], ['2012-04-15 14:15:00', 0.5939642567512212, 0.27], ['2012-04-15 14:30:00', 0.9853947771206022, 0.27], ['2012-04-15 14:45:00', 0.4466149935611725, 0.27], ['2012-04-15 15:15:00', 0.11418993745282013, 0.27], ['2012-04-15 15:30:00', 0.023316611512278484, 0.27], ['2012-04-15 15:45:00', 0.7370646332488084, 0.27], ['2012-04-15 16:00:00', 0.04659699380781723, 0.27]]","[['2012-04-15 12:15:00', 0.1497059100264777, 0.27], ['2012-04-15 13:00:00', 0.7475164751702265, 0.27], ['2012-04-15 13:45:00', 0.434261314456168, 0.27]]","[['2012-04-15 00:30:00', 1.387059461578826, 0.2], ['2012-04-15 00:45:00', 1.3439770148993784, 0.2], ['2012-04-15 01:00:00', 1.2022079233802296, 0.2], ['2012-04-15 01:15:00', 1.298902795708699, 0.2], ['2012-04-15 01:30:00', 1.1912618157114676, 0.2], ['2012-04-15 01:45:00', 0.5478387503088712, 0.2], ['2012-04-15 02:00:00', 0.9464524535237988, 0.2], ['2012-04-15 02:15:00', 1.4217528853706152, 0.2], ['2012-04-15 02:30:00', 1.3517531798115066, 0.2], ['2012-04-15 02:45:00', 1.9945192296575536, 0.2], ['2012-04-15 03:00:00', 1.8457075276073265, 0.2], ['2012-04-15 03:15:00', 1.165404898644914, 0.2], ['2012-04-15 03:30:00', 1.249629195582107, 0.2], ['2012-04-15 03:45:00', 0.981753535133859, 0.2], ['2012-04-15 04:00:00', 0.8315252904720342, 0.2], ['2012-04-15 04:15:00', 0.5680162543047735, 0.2], ['2012-04-15 04:30:00', 0.9789489255319632, 0.2], ['2012-04-15 04:45:00', 1.395606463557547, 0.2], ['2012-04-15 05:00:00', 1.5886973637060722, 0.2], ['2012-04-15 05:15:00', 1.641143942784606, 0.2], ['2012-04-15 05:30:00', 1.939845991946344, 0.2], ['2012-04-15 05:45:00', 1.28510265104569, 0.2], ['2012-04-15 06:00:00', 1.917516048879304, 0.2], ['2012-04-15 06:15:00', 1.9243740586675573, 0.2], ['2012-04-15 06:30:00', 2.194203004688454, 0.2], ['2012-04-15 06:45:00', 1.7700254792962298, 0.2], ['2012-04-15 07:00:00', 1.6660406581906781, 0.2], ['2012-04-15 07:15:00', 0.9767458365574727, 0.2], ['2012-04-15 07:30:00', 0.9107453794622314, 0.2], ['2012-04-15 07:45:00', 0.9405383142281833, 0.2], ['2012-04-15 08:00:00', 0.20293394581748414, 0.2], ['2012-04-15 08:15:00', 0.42576794249607663, 0.2], ['2012-04-15 08:30:00', 0.5114509436824322, 0.2], ['2012-04-15 08:45:00', 0.24419262906293115, 0.2], ['2012-04-15 09:00:00', 0.15473637973356336, 0.2], ['2012-04-15 09:15:00', 0.33619567698349295, 0.2], ['2012-04-15 09:30:00', 0.4100843738002047, 0.2], ['2012-04-15 09:45:00', 0.2644690333354963, 0.2], ['2012-04-15 11:15:00', 0.28800370630771743, 0.2], ['2012-04-15 11:30:00', 0.29404137596939495, 0.2], ['2012-04-15 12:00:00', 0.17606612469041583, 0.2], ['2012-04-15 12:45:00', 0.02167973138414081, 0.2], ['2012-04-15 15:00:00', 0.3206905052897302, 0.2], ['2012-04-15 16:15:00', 0.10429821860448141, 0.2], ['2012-04-15 16:30:00', 0.6528537454073102, 0.2], ['2012-04-15 16:45:00', 1.2778993367608944, 0.2], ['2012-04-15 17:00:00', 1.2186521562955588, 0.2], ['2012-04-15 17:15:00', 0.47223069613011603, 0.2], ['2012-04-15 17:30:00', 0.05167353398968566, 0.2], ['2012-04-15 17:45:00', 0.8766400582590234, 0.2], ['2012-04-15 18:00:00', 1.0618676522973944, 0.2], ['2012-04-15 18:15:00', 1.4140741088591913, 0.2], ['2012-04-15 18:30:00', 0.865513341445385, 0.2], ['2012-04-15 18:45:00', 1.143639045910068, 0.2], ['2012-04-15 19:00:00', 0.5964489504072135, 0.2], ['2012-04-15 19:15:00', 1.0403938225099583, 0.2], ['2012-04-15 19:30:00', 0.6958638147788367, 0.2], ['2012-04-15 19:45:00', 0.5, 0.2], ['2012-04-15 20:00:00', 1.056358247763444, 0.2], ['2012-04-15 20:15:00', 1.3527402287360497, 0.2], ['2012-04-15 20:30:00', 1.9869850482529412, 0.2], ['2012-04-15 20:45:00', 2.580573061326508, 0.2], ['2012-04-15 21:00:00', 2.006907227924952, 0.2], ['2012-04-15 21:15:00', 1.7290348885253817, 0.2], ['2012-04-15 21:30:00', 1.6976570107006188, 0.2], ['2012-04-15 21:45:00', 1.0480186703854224, 0.2], ['2012-04-15 22:00:00', 0.7679815464994469, 0.2], ['2012-04-15 22:15:00', 0.7860852386587964, 0.2], ['2012-04-15 22:30:00', 0.5, 0.2], ['2012-04-15 22:45:00', 0.7977569495277679, 0.2], ['2012-04-15 23:00:00', 0.5, 0.2], ['2012-04-15 23:15:00', 0.5, 0.2], ['2012-04-15 23:30:00', 0.5, 0.2], ['2012-04-15 23:45:00', 0.9081188782961862, 0.2]]","[['2012-04-15 15:00:00', 0.3206905052897302, 0.2]]",0.03848286063476762,0.3595005989062755
prosumer_s1_2,[],[],"[['2012-04-15 03:30:00', 0.9998079112184857, 0.18], ['2012-04-15 03:45:00', 0.849110984361491, 0.18], ['2012-04-15 04:00:00', 0.9801788080732505, 0.18], ['2012-04-15 04:15:00', 1.4401200880123506, 0.18], ['2012-04-15 04:30:00', 1.5251050917943463, 0.18], ['2012-04-15 04:45:00', 1.5490362216944473, 0.18], ['2012-04-15 05:00:00', 1.4584923615256913, 0.18], ['2012-04-15 05:15:00', 0.9366302598748302, 0.18], ['2012-04-15 05:30:00', 1.6199030100264946, 0.18], ['2012-04-15 05:45:00', 0.9264583374937283, 0.18], ['2012-04-15 06:00:00', 0.37504818456027955, 0.18], ['2012-04-15 06:15:00', 0.4933380326254797, 0.18], ['2012-04-15 06:30:00', 0.8716304471584264, 0.18], ['2012-04-15 06:45:00', 1.2929071817604023, 0.18], ['2012-04-15 07:00:00', 2.2701178859725686, 0.18], ['2012-04-15 07:15:00', 2.10534830327955, 0.18], ['2012-04-15 07:30:00', 1.8078342593339465, 0.18], ['2012-04-15 07:45:00', 2.1937998273818087, 0.18], ['2012-04-15 08:00:00', 1.8580930540216456, 0.18], ['2012-04-15 08:15:00', 1.7061880358448702, 0.18], ['2012-04-15 08:30:00', 1.5483175870512313, 0.18], ['2012-04-15 08:45:00', 1.2121249202210151, 0.18], ['2012-04-15 09:00:00', 1.3684625024287866, 0.18], ['2012-04-15 09:15:00', 1.573024292628765, 0.18], ['2012-04-15 09:30:00', 1.7927943226387144, 0.18], ['2012-04-15 09:45:00', 1.1438930786728556, 0.18], ['2012-04-15 10:00:00', 0.7556554263865063, 0.18], ['2012-04-15 10:15:00', 0.6621577642477399, 0.18], ['2012-04-15 10:30:00', 0.2216430321232412, 0.18], ['2012-04-15 10:45:00', 0.9139307351878438, 0.18], ['2012-04-15 11:00:00', 0.3496727386546623, 0.18], ['2012-04-15 11:15:00', 0.5803986316127361, 0.18], ['2012-04-15 16:00:00', 1.7312667650729665, 0.18], ['2012-04-15 16:15:00', 2.1709137180708717, 0.18], ['2012-04-15 16:30:00', 1.4318777139922265, 0.18], ['2012-04-15 16:45:00', 1.262567733249048, 0.18], ['2012-04-15 17:00:00', 0.8292881923596127, 0.18], ['2012-04-15 17:15:00', 1.440245921740532, 0.18], ['2012-04-15 17:30:00', 1.2872384262397838, 0.18], ['2012-04-15 17:45:00', 0.8899147387561213, 0.18], ['2012-04-15 18:00:00', 0.2530132855190448, 0.18], ['2012-04-15 18:15:00', 0.35544121322382227, 0.18], ['2012-04-15 18:30:00', 0.15495289220571462, 0.18], ['2012-04-15 18:45:00', 0.7528120836781564, 0.18], ['2012-04-15 19:00:00', 1.665100399064664, 0.18], ['2012-04-15 19:15:00', 1.6390063756966713, 0.18], ['2012-04-15 19:30:00', 2.271169862935161, 0.18], ['2012-04-15 19:45:00', 1.9721504545766146, 0.18], ['2012-04-15 20:00:00', 2.1379943261449665, 0.18], ['2012-04-15 20:15:00', 1.7056641910148094, 0.18], ['2012-04-15 20:30:00', 1.2132762451299355, 0.18], ['2012-04-15 20:45:00', 1.7973133747327354, 0.18], ['2012-04-15 21:00:00', 2.0234623083028405, 0.18], ['2012-04-15 21:15:00', 1.6276318848124878, 0.18], ['2012-04-15 21:30:00', 1.9692657423258448, 0.18], ['2012-04-15 21:45:00', 1.6542309755779483, 0.18], ['2012-04-15 22:00:00', 1.6600481183372127, 0.18], ['2012-04-15 22:15:00', 2.4999007658557066, 0.18], ['2012-04-15 22:30:00', 2.5135865753317232, 0.18], ['2012-04-15 22:45:00', 3.173933782854191, 0.18], ['2012-04-15 23:00:00', 2.5421676839764142, 0.18], ['2012-04-15 23:15:00', 3.0834569102673983, 0.18], ['2012-04-15 23:30:00', 2.9177772042418106, 0.18], ['2012-04-15 23:45:00', 3.275233506308978, 0.18]]",[],0,0
prosumer_s1_3,"[['2012-04-15 11:00:00', 0.0016035311337438962, 0], ['2012-04-15 11:15:00', 0.432766146003137, 0], ['2012-04-15 11:30:00', 0.9673673470814914, 0], ['2012-04-15 11:45:00', 1.1018237020297514, 0], ['2012-04-15 12:00:00', 0.06244084043957665, 0], ['2012-04-15 12:15:00', 1.246452174508625, 0], ['2012-04-15 12:30:00', 0.5500832032075534, 0], ['2012-04-15 12:45:00', 0.4844428140494432, 0], ['2012-04-15 13:00:00', 0.4213354421722797, 0], ['2012-04-15 13:30:00', 0.7768517570395468, 0], ['2012-04-15 14:00:00', 0.2047509399956271, 0], ['2012-04-15 14:15:00', 0.5726532002511404, 0], ['2012-04-15 14:30:00', 0.1589029291101296, 0], ['2012-04-15 14:45:00', 0.5868762933582101, 0], ['2012-04-15 15:00:00', 0.6346822338740599, 0], ['2012-04-15 15:15:00', 0.8784853663890495, 0], ['2012-04-15 15:30:00', 0.6895537722127056, 0], ['2012-04-15 15:45:00', 0.2720656001494325, 0], ['2012-04-15 17:15:00', 0.2500670351064128, 0]]","[['2012-04-15 12:15:00', 1.246452174508625, 0], ['2012-04-15 13:00:00', 0.4213354421722797, 0], ['2012-04-15 13:30:00', 0.7768517570395468, 0], ['2012-04-15 14:00:00', 0.2047509399956271, 0], ['2012-04-15 15:00:00', 0.6346822338740599, 0], ['2012-04-15 15:30:00', 0.6895537722127056, 0]]","[['2012-04-15 00:30:00', 0.5868934541076727, 0.5], ['2012-04-15 00:45:00', 0.8902508282871309, 0.5], ['2012-04-15 01:00:00', 1.2368363705215504, 0.5], ['2012-04-15 01:15:00', 0.7591156561057744, 0.5], ['2012-04-15 01:30:00', 0.559667956281553, 0.5], ['2012-04-15 01:45:00', 0.5, 0.5], ['2012-04-15 02:00:00', 0.6503982468692975, 0.5], ['2012-04-15 02:15:00', 0.5, 0.5], ['2012-04-15 02:30:00', 0.5, 0.5], ['2012-04-15 02:45:00', 0.5, 0.5], ['2012-04-15 03:00:00', 0.5, 0.5], ['2012-04-15 03:15:00', 0.5656960566441644, 0.5], ['2012-04-15 03:30:00', 0.864658649158831, 0.5], ['2012-04-15 03:45:00', 0.8509021501875584, 0.5], ['2012-04-15 04:00:00', 0.5, 0.5], ['2012-04-15 04:15:00', 0.5, 0.5], ['2012-04-15 04:30:00', 1.1571096858798164, 0.5], ['2012-04-15 04:45:00', 1.56694245901994, 0.5], ['2012-04-15 05:00:00', 1.689763194860711, 0.5], ['2012-04-15 05:15:00', 2.086639208524109, 0.5], ['2012-04-15 05:30:00', 2.1404289423405465, 0.5], ['2012-04-15 05:45:00', 2.305546244521425, 0.5], ['2012-04-15 06:00:00', 1.6913872670500982, 0.5], ['2012-04-15 06:15:00', 2.292341478941106, 0.5], ['2012-04-15 06:30:00', 2.340628734202782, 0.5], ['2012-04-15 06:45:00', 2.4096309718296856, 0.5], ['2012-04-15 07:00:00', 2.149915752093736, 0.5], ['2012-04-15 07:15:00', 2.542067879914357, 0.5], ['2012-04-15 07:30:00', 2.5123822379763734, 0.5], ['2012-04-15 07:45:00', 2.297899228975559, 0.5], ['2012-04-15 08:00:00', 2.7449414159497327, 0.5], ['2012-04-15 08:15:00', 2.1094951235209063, 0.5], ['2012-04-15 08:30:00', 1.5409929800395952, 0.5], ['2012-04-15 08:45:00', 1.3803702297171196, 0.5], ['2012-04-15 09:00:00', 0.9245115765417874, 0.5], ['2012-04-15 09:15:00', 0.8630705709708558, 0.5], ['2012-04-15 09:30:00', 0.5593045446030291, 0.5], ['2012-04-15 09:45:00', 0.3979113203521776, 0.5], ['2012-04-15 10:00:00', 0.3833741200446523, 0.5], ['2012-04-15 10:15:00', 0.03498188773012312, 0.5], ['2012-04-15 10:30:00', 0.48766166736214434, 0.5], ['2012-04-15 10:45:00', 0.11960700780089795, 0.5], ['2012-04-15 13:15:00', 0.13975531172306765, 0.5], ['2012-04-15 13:45:00', 0.09837482019302679, 0.5], ['2012-04-15 16:00:00', 0.4850145102479746, 0.5], ['2012-04-15 16:15:00', 0.8101917211806895, 0.5], ['2012-04-15 16:30:00', 0.15886904866150142, 0.5], ['2012-04-15 16:45:00', 0.02288894185555923, 0.5], ['2012-04-15 17:00:00', 0.12670837694932646, 0.5], ['2012-04-15 17:30:00', 0.35038305348108534, 0.5], ['2012-04-15 17:45:00', 0.9263621389817122, 0.5], ['2012-04-15 18:00:00', 1.4628518619832138, 0.5], ['2012-04-15 18:15:00', 1.8261658597868595, 0.5], ['2012-04-15 18:30:00', 2.191851745049326, 0.5], ['2012-04-15 18:45:00', 2.8683751910084854, 0.5], ['2012-04-15 19:00:00', 2.753743710448811, 0.5], ['2012-04-15 19:15:00', 2.3452085065721144, 0.5], ['2012-04-15 19:30:00', 2.8592586134730804, 0.5], ['2012-04-15 19:45:00', 2.854467753416839, 0.5], ['2012-04-15 20:00:00', 2.77596745507246, 0.5], ['2012-04-15 20:15:00', 3.084114342008277, 0.5], ['2012-04-15 20:30:00', 3.704578529157607, 0.5], ['2012-04-15 20:45:00', 3.256196679179402, 0.5], ['2012-04-15 21:00:00', 2.8162268541351425, 0.5], ['2012-04-15 21:15:00', 3.445792379831098, 0.5], ['2012-04-15 21:30:00', 4.0, 0.5], ['2012-04-15 21:45:00', 4.0, 0.5], ['2012-04-15 22:00:00', 3.513757263086813, 0.5], ['2012-04-15 22:15:00', 3.23490408488836, 0.5], ['2012-04-15 22:30:00', 3.1421666051250368, 0.5], ['2012-04-15 22:45:00', 3.826879164718665, 0.5], ['2012-04-15 23:00:00', 4.0, 0.5], ['2012-04-15 23:15:00', 3.762230810013058, 0.5], ['2012-04-15 23:30:00', 3.889701186927845, 0.5], ['2012-04-15 23:45:00', 4.0, 0.5]]","[['2012-04-15 13:45:00', 0.09837482019302679, 0.5], ['2012-04-15 17:30:00', 0.35038305348108534, 0.5]]",0.12466845642682114,0.7270033008784771
