iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[0.65]
7,[1.]
8,[1.]
9,[0.88]
10,[1.]
11,[1.]
12,[1.]
12,[0.99999996]
13,[0.92]
14,[1.]
14,[0.99999998]
15,[0.95]
16,[1.]
16,[0.99999999]
17,[0.99]
18,[1.]
19,[1.]
20,[0.96]
21,[1.]
21,[0.99999999]
22,[0.98]
23,[1.]
23,[1.]
24,[1.]
24,[1.]
25,[0.99]
26,[1.]
26,[1.]
27,[0.99]
28,[1.]
28,[1.]
29,[1.]
30,[0.98]
31,[1.]
31,[1.]
32,[0.99]
33,[1.]
33,[1.]
34,[0.99]
35,[1.]
35,[1.]
36,[0.99]
37,[1.]
37,[1.]
38,[0.99]
39,[1.]
39,[1.]
40,[1.]
40,[1.]
41,[1.]
41,[1.]
42,[0.99]
