iter,grad
1,[-1.24]
2,[-1.23]
3,[0.17]
4,[0.02]
5,[0.17]
5,[0.16999999]
6,[0.09]
7,[0.17]
7,[0.17]
8,[0.13]
9,[0.17]
9,[0.17]
10,[0.16]
11,[0.17]
11,[0.17]
12,[0.16]
13,[0.17]
13,[0.17]
14,[0.17]
14,[0.17]
15,[0.17]
15,[0.17]
16,[0.16]
17,[0.17]
18,[0.17]
19,[0.14]
20,[0.17]
20,[0.17]
21,[0.16]
22,[0.17]
22,[0.17]
23,[0.16]
24,[0.17]
24,[0.17]
25,[0.16]
26,[0.17]
26,[0.17]
27,[0.17]
27,[0.17]
28,[0.16]
29,[0.17]
30,[0.16]
31,[0.17]
31,[0.17]
32,[0.16]
33,[0.17]
33,[0.17]
34,[0.16]
35,[0.17]
35,[0.17]
36,[0.16]
37,[0.17]
37,[0.17]
38,[0.17]
38,[0.17]
39,[0.16]
40,[0.17]
40,[0.17]
41,[0.16]
42,[0.17]
42,[0.17]
