date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-dump,H2_controller-0.time-based_0-desired_out,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-soc
2012-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,5667.304343892666,80.0
2012-01-01 00:15:00,0.0,104.0,104.0,0.0,0.0,0.0,104.0,104.0,5688.304343892663,79.92589069255605
2012-01-01 00:30:00,0.0,104.0,104.0,104.0,0.0,0.0,104.0,104.0,5700.304343892665,79.88354251687379
2012-01-01 00:45:00,127.0,104.0,200.0,104.0,0.0,0.0,231.0,200.0,5818.304343892666,79.46711878933156
2012-01-01 01:00:00,127.0,104.0,200.0,90.04329004329004,109.95670995670996,0.0,231.0,200.0,5922.304343892668,79.10010126675198
2012-01-01 01:15:00,127.0,104.0,200.0,90.04329004329004,109.95670995670996,0.0,231.0,200.0,6041.304343892666,78.68014852456957
2012-01-01 01:30:00,127.0,0.0,127.0,90.04329004329004,109.95670995670996,0.0,127.0,127.0,6069.304343892666,78.5813361146443
2012-01-01 01:45:00,127.0,0.0,127.0,0.0,127.0,0.0,127.0,127.0,6103.304343892667,78.4613496168779
2012-01-01 02:00:00,0.0,129.0,129.0,0.0,127.0,0.0,129.0,129.0,6140.304343892668,78.33077607519093
2012-01-01 02:15:00,0.0,129.0,129.0,129.0,0.0,0.0,129.0,129.0,6186.30434389267,78.16844140174226
2012-01-01 02:30:00,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,6103.304343892671,78.46134961687788
2012-01-01 02:45:00,135.5,0.0,135.5,0.0,0.0,0.0,135.5,135.5,6140.804343892671,78.32901156787082
2012-01-01 03:00:00,135.5,129.0,200.0,0.0,135.5,0.0,264.5,200.0,6254.80434389267,77.92670389888936
2012-01-01 03:15:00,0.0,129.0,129.0,97.54253308128544,102.45746691871456,0.0,129.0,129.0,6287.804343892669,77.81024641576315
2012-01-01 03:30:00,0.0,129.0,129.0,129.0,0.0,0.0,129.0,129.0,6327.80434389267,77.66908583015561
2012-01-01 03:45:00,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,6228.804343892668,78.01845827953426
2012-01-01 04:00:00,107.0,0.0,107.0,0.0,0.0,0.0,107.0,107.0,6244.804343892667,77.96199404529125
2012-01-01 04:15:00,107.0,0.0,107.0,0.0,107.0,0.0,107.0,107.0,6254.804343892665,77.92670389888937
2012-01-01 04:30:00,107.0,102.33333333333331,200.0,0.0,107.0,0.0,209.3333333333333,200.0,6372.804343892666,77.51028017134715
2012-01-01 04:45:00,0.0,102.33333333333331,102.33333333333331,97.77070063694268,102.22929936305734,0.0,102.33333333333331,102.33333333333331,6378.137677226,77.49145875993281
2012-01-01 05:00:00,0.0,102.33333333333331,102.33333333333331,102.33333333333331,0.0,0.0,102.33333333333331,102.33333333333331,6381.471010559333,77.47969537779885
2012-01-01 05:15:00,0.0,102.33333333333331,102.33333333333331,102.33333333333331,0.0,0.0,102.33333333333331,102.33333333333331,6390.804343892669,77.44675790782375
2012-01-01 05:30:00,109.66666666666669,102.33333333333331,200.0,102.33333333333331,0.0,0.0,212.0,200.0,6508.804343892669,77.03033418028153
2012-01-01 05:45:00,109.66666666666669,102.33333333333331,200.0,96.54088050314463,103.45911949685537,0.0,212.0,200.0,6624.804343892668,76.62096848201969
2012-01-01 06:00:00,109.66666666666669,0.0,109.66666666666669,96.54088050314463,103.45911949685537,0.0,109.66666666666669,109.66666666666669,6653.471010559335,76.51980339566762
2012-01-01 06:15:00,109.66666666666669,0.0,109.66666666666669,0.0,109.66666666666669,0.0,109.66666666666669,109.66666666666669,6671.137677226003,76.45745747035762
2012-01-01 06:30:00,109.66666666666669,0.0,109.66666666666669,0.0,109.66666666666669,0.0,109.66666666666669,109.66666666666669,6688.804343892672,76.39511154504763
2012-01-01 06:45:00,109.66666666666669,115.8,200.0,0.0,109.66666666666669,0.0,225.46666666666667,200.0,6790.80434389267,76.03515205174843
2012-01-01 07:00:00,0.0,115.8,115.8,102.72028385570668,97.27971614429332,0.0,115.8,115.8,6823.604343892669,75.91940037155025
2012-01-01 07:15:00,0.0,115.8,115.8,115.8,0.0,0.0,115.8,115.8,6855.40434389267,75.80717770599226
2012-01-01 07:30:00,0.0,115.8,115.8,115.8,0.0,0.0,115.8,115.8,6886.20434389267,75.69848405507446
2012-01-01 07:45:00,127.0,115.8,200.0,115.8,0.0,0.0,242.8,200.0,7001.204343892671,75.2926473714528
2012-01-01 08:00:00,127.0,0.0,127.0,95.38714991762768,104.6128500823723,0.0,127.0,127.0,7041.204343892672,75.15148678584526
2012-01-01 08:15:00,127.0,0.0,127.0,0.0,127.0,0.0,127.0,127.0,7076.20434389267,75.02797127343868
2012-01-01 08:30:00,127.0,113.4,200.0,0.0,127.0,0.0,240.4,200.0,7194.204343892671,74.61154754589646
2012-01-01 08:45:00,0.0,113.4,113.4,94.34276206322797,105.65723793677203,0.0,113.4,113.4,7213.604343892672,74.5430846618768
2012-01-01 09:00:00,0.0,113.4,113.4,113.4,0.0,0.0,113.4,113.4,7234.004343892673,74.47109276321696
2012-01-01 09:15:00,97.5,113.4,200.0,113.4,0.0,0.0,210.9,200.0,7350.00434389267,74.06172706495512
