iter,fitness,solution
1,-91.93041145397669,0.244135,0.244135
2,-55.61369379712613,0.244135,-1.54947
3,-57.077141184949134,0.244135,-0.3107483578483966
4,-181.29137500398838,0.244135,0.09501043361635136
5,-150.22377916380958,0.244135,-0.01017776947918242
6,-173.068000708482,0.244135,0.06328201458577828
7,-156.00019751432083,0.2130116247640014,0.12118292271724893
8,-176.15741112610962,0.23921504535685817,0.07243493709638263
9,-176.40420467548006,0.24135876559983277,0.07739566740580718
10,-176.93667831021295,0.24993364657173117,0.09723858864350539
11,-176.40420467548006,0.2417447581589537,0.07828888329697523
12,-178.17994774495642,0.2472225431027624,0.09096489076031625
13,-176.86667290193012,0.24389939041591305,0.08327486482968248
14,-177.99060162896652,0.2462092078914257,0.08861995666130817
