date,PV1-0.time-based_0-pv_gen,PV2-0.time-based_0-pv_gen,PV3-0.time-based_0-pv_gen,PV4-0.time-based_0-pv_gen,PV5-0.time-based_0-pv_gen,Load1-0.time-based_0-load_dem,Load2-0.time-based_0-load_dem,Load3-0.time-based_0-load_dem,Load4-0.time-based_0-load_dem,Load5-0.time-based_0-load_dem,CSV_EV_presence-0.time-based_0-ev5,CSV_EV_presence-0.time-based_0-ev1,CSV_EV_presence-0.time-based_0-ev3,CSV_EV_presence-0.time-based_0-ev4,CSV_EV_presence-0.time-based_0-ev2,EV1-0.time-based_0-demand,EV2-0.time-based_0-demand,EV3-0.time-based_0-demand,EV4-0.time-based_0-demand,EV5-0.time-based_0-demand,Battery1-0.time-based_0-soc,Battery1-0.time-based_0-p_out,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-dump,Controller1-0.time-based_0-res_load,CSV_cost-0.time-based_0-Price_Surplus,CSV_cost-0.time-based_0-Price_Shortage
2007-01-01 04:30:00,0.0,0.0,0.0,0.0,0.0,2.438133333,2.474648461,2.436449109,2.469907494,2.316516089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.135654486,12.135654486,-0.02118,-0.02118
2007-01-01 04:45:00,0.0,0.0,0.0,0.0,0.0,2.535333333,2.55645377,2.603813255,2.52455631,2.56535055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.785507218,12.785507218,-0.03162,-0.03162
2007-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,2.4644,2.446237084,2.356639414,2.448336748,2.572105144,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.28771839,12.28771839,-0.04467,-0.04467
2007-01-01 05:15:00,0.0,0.0,0.0,0.0,0.0,2.562133333,2.58445257,2.642027919,2.597115067,2.552900684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.938629573,12.938629573,-0.03093,-0.03093
2007-01-01 05:30:00,0.0,0.0,0.0,0.0,0.0,2.4848,2.517616864,2.417058041,2.507648785,2.44467882,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.37180251,12.37180251,-0.02066,-0.02066
2007-01-01 05:45:00,0.0,0.0,0.0,0.0,0.0,2.3936,2.314089828,2.405370045,2.47258168,2.408055121,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-11.993696674,11.993696674,-0.02064,-0.02064
2007-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,2.512266667,2.404197375,2.551385468,2.558304358,2.444806296,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.470960163999997,12.470960163999997,-0.03691,-0.03691
2007-01-01 06:15:00,0.0,0.0,0.0,0.0,0.0,2.390533333,2.380880951,2.479640643,2.452697928,2.465915818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.169668673,12.169668673,-0.01485,-0.01485
2007-01-01 06:30:00,0.0,0.0,0.0,0.0,0.0,2.444133333,2.427543755,2.539913314,2.510679958,2.559274322,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.481544682,12.481544682,-0.01062,-0.01062
2007-01-01 06:45:00,0.0,0.0,0.0,0.0,0.0,2.476266667,2.376802399,2.475204148,2.361365768,2.385996092,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.075635074000001,12.075635074000001,-0.3575,-0.3575
2007-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,2.372933333,2.456576232,2.333232783,2.320184809,2.296155818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-11.779082975000001,11.779082975000001,-0.30167,-0.30167
2007-01-01 07:15:00,0.0,0.0,0.0,0.0,0.0,2.4696,2.373810927,2.443267773,2.383004408,2.360474644,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.030157752,12.030157752,-0.14794,-0.14794
2007-01-01 07:30:00,0.0,0.0,0.0,0.0,0.0,2.454266667,2.514152922,2.506380526,2.387288313,2.476787906,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.338876334,12.338876334,-0.05918,-0.05918
2007-01-01 07:45:00,0.0,0.0,0.0,0.0,0.0,2.492,2.506178288,2.464955939,2.588814345,2.396219025,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.448167597000001,12.448167597000001,-0.0541,-0.0541
2007-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,2.458,2.414494432,2.384990865,2.412753086,2.3775209,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.047759283,12.047759283,-0.13181,-0.13181
2007-01-01 08:15:00,0.0,0.0,0.0,0.0,0.0,2.398133333,2.347435661,2.507870481,2.428222045,2.446231057,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.127892577,12.127892577,-0.04519,-0.04519
2007-01-01 08:30:00,0.0,0.0,0.0,0.0,0.0,2.477866667,2.509104194,2.594207348,2.361344824,2.572386776,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.514909808999999,12.514909808999999,-0.02769,-0.02769
2007-01-01 08:45:00,0.0,0.0,0.0,0.0,0.0,2.432933333,2.371480822,2.367760626,2.375156713,2.34029364,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-11.887625134,11.887625134,-0.03669,-0.03669
2007-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,2.4112,2.401360978,2.349078733,2.522106364,2.489383723,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.173129798,12.173129798,-0.18389,-0.18389
2007-01-01 09:15:00,0.2772695977946527,0.2772695977946527,0.2772695977946527,0.2772695977946527,0.2772695977946527,3.178533333,3.188983484,3.08619977,3.11665924,3.042613418,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-14.226641256026738,14.226641256026738,-0.02097,-0.02097
2007-01-01 09:30:00,0.4849702082500586,0.4849702082500586,0.4849702082500586,0.4849702082500586,0.4849702082500586,3.480533333,3.351590867,3.42084933,3.513070738,3.521540071,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-14.862733297749706,14.862733297749706,-0.01062,-0.01062
2007-01-01 09:45:00,0.623423362926684,0.623423362926684,0.623423362926684,0.623423362926684,0.623423362926684,3.514266667,3.567224976,3.526048803,3.473449537,3.687775344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-14.651648512366581,14.651648512366581,-0.01562,-0.01562
2007-01-01 10:00:00,0.5886102781219985,0.5886102781219985,0.5886102781219985,0.5886102781219985,0.5886102781219985,3.053066667,3.084772212,3.159824682,2.951487376,2.935587672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-12.241687218390007,12.241687218390007,-0.02562,0.06706
2007-01-01 10:15:00,0.8307150534440858,0.8307150534440858,0.8307150534440858,0.8307150534440858,0.8307150534440858,2.435466667,2.484829592,2.555089836,2.476387545,2.521507788,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,0,0,-8.319706160779571,8.319706160779571,-0.02562,-0.02562
