date,CSVP-0.time-based_0-input_p,CSVP-0.time-based_0-h2_in,H2pipeline1-0.time-based_0-press_out,H2pipeline1-0.time-based_0-flow_out
2012-01-01 00:00:00,50.0,12.5,4999999.999792654,-1007418.1852927952
2012-01-01 00:15:00,50.0,18.75,4999999.999533473,-1007411.9352927952
2012-01-01 00:30:00,50.0,25.0,4999999.999170617,-1007405.6852927952
2012-01-01 00:45:00,50.0,50.0,4999999.996682469,-1007380.6852927952
2012-01-01 01:00:00,500.0,75.0,49999999.94163829,-47450458.76600556
2012-01-01 01:15:00,50.0,125.0,4999999.979265431,-1007305.6852927952
2012-01-01 01:30:00,50.0,100.0,4999999.986729876,-1007330.6852927952
2012-01-01 01:45:00,50.0,62.5,4999999.994816358,-1007368.1852927951
