iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[1.]
7,[-0.74]
8,[1.]
9,[1.]
10,[0.56]
11,[1.]
12,[1.]
13,[1.]
14,[1.]
15,[1.]
16,[0.78]
17,[1.]
18,[1.]
19,[0.9]
20,[1.]
21,[1.]
22,[1.]
23,[0.87]
24,[1.]
24,[0.99999997]
25,[0.92]
26,[1.]
26,[0.99999999]
27,[0.95]
28,[1.]
28,[0.99999999]
29,[0.96]
30,[1.]
30,[1.]
31,[0.98]
32,[1.]
32,[1.]
33,[0.99]
34,[1.]
35,[0.98]
36,[1.]
36,[1.]
37,[0.99]
38,[1.]
38,[1.]
39,[1.]
39,[1.]
40,[0.99]
41,[1.]
41,[1.]
42,[0.99]
43,[1.]
43,[1.]
44,[0.99]
45,[1.]
45,[1.]
46,[0.99]
47,[1.]
48,[0.97]
49,[1.]
49,[1.]
50,[0.99]
51,[1.]
51,[1.]
52,[0.99]
53,[1.]
53,[1.]
54,[0.99]
55,[1.]
55,[1.]
56,[0.99]
57,[1.]
57,[1.]
58,[0.99]
59,[1.]
59,[1.]
60,[0.99]
61,[1.]
