iter,fitness,timestep,solution
1,16400.557505871606,10:27:48.479,400.5575058716044
2,17399.717505871606,10:29:13.697,399.71750587160443
3,16400.557407062428,10:30:42.208,400.5574070624265
4,17400.137456467015,10:32:03.415,400.13745646701545
5,16400.55738236909,10:33:17.617,400.5573823690905
6,17400.347407072837,10:35:04.879,400.347407072837
7,16400.55735150717,10:36:13.046,400.55735150716936
8,16400.45237620444,10:38:02.324,400.4523762044401
9,16400.383096053083,10:39:43.629,400.3830960530839
10,16400.35954126549,10:41:19.966,400.359541265492
11,17399.51954126549,10:42:32.185,399.519541265492
12,16400.359442456313,10:43:40.398,400.35944245631407
13,17399.939442467938,10:45:23.958,399.9394424679378
14,16400.359318982853,10:46:29.356,400.35931898285384
15,17400.149368383085,10:48:08.731,400.1493683830837
16,16400.35928812819,10:49:18.000,400.35928812819196
17,17400.2543251708,10:51:03.421,400.2543251708004
18,16400.35928041624,10:52:20.632,400.3592804162383
19,17400.306802022402,10:54:01.958,400.30680202240256
20,16400.359278488464,10:55:04.150,400.3592784884637
21,17400.333040062666,10:56:42.483,400.3330400626655
22,16400.35927800655,10:57:46.011,400.35927800654684
23,17400.346158986416,10:59:10.074,400.3461589864157
24,16400.35927788607,11:00:05.004,400.35927788607097
