iter,fitness,timestep,solution
1,267129.0418060841,10:27:48.269,129.04180608409973
2,266130.7118060841,10:29:13.462,130.71180608409972
3,11407.931806084101,10:30:41.855,407.9318060841018
4,96311.17659039782,10:32:03.097,311.1765903978266
5,11407.915459144402,10:33:17.322,407.9154591444013
6,11407.899117729618,10:34:31.562,407.8991177296178
7,48359.537854063725,10:35:37.771,359.5378540637222
8,11407.88973673192,10:36:51.024,407.8897367319211
9,11407.880359374185,10:38:01.306,407.8803593741846
10,28383.709106718954,10:39:05.570,383.70910671895336
11,11407.875259226861,10:40:07.826,407.8752592268606
12,11407.870161232058,10:41:11.041,407.8701612320592
13,20395.789633975506,10:42:18.316,395.7896339755063
14,11407.867755007492,10:43:27.585,407.8677550074926
15,15401.827491858538,10:45:11.741,401.82749185853794
16,11407.863997286218,10:46:16.999,407.8639972862186
17,13404.845068648065,10:47:57.935,404.8450686480638
18,11407.861969822396,10:49:06.180,407.86196982239494
19,12406.353181579134,10:50:51.616,406.35318157913423
20,11407.860957006758,10:52:03.402,407.86095700675844
21,11407.041806084102,10:53:15.715,407.04180608410184
22,14403.481806084103,10:54:19.951,403.4818060841019
23,11407.041179245372,10:55:20.219,407.0411792453726
24,13405.261179355753,10:56:57.568,405.26117935575314
25,11407.040317747733,10:58:01.895,407.04031774773296
26,12406.15063114295,10:59:23.587,406.15063114294935
27,11407.039965552667,11:00:17.001,407.03996555266644
28,12406.595239674572,11:01:36.258,406.59523967457255
29,11407.03981888073,11:02:24.604,407.03981888072985
30,12406.817514616854,11:03:47.995,406.8175146168542
31,11407.039782230131,11:04:36.180,407.03978223013047
32,12406.928644759231,11:05:48.437,406.9286447592314
33,11407.039773069651,11:06:37.754,407.0397730696522
34,12406.984207998494,11:07:56.085,406.98420799849384
