iter,fitness,timestep,solution
1,533.0880728874677,10:27:48.611,533.0880728874677
2,532.0880728874677,10:29:13.849,532.0880728874677
3,531.0880728874677,10:30:42.372,531.0880728874677
4,527.0880728874677,10:32:04.652,527.0880728874677
5,511.08807288746766,10:33:20.947,511.08807288746766
6,447.08807288746766,10:34:36.232,447.08807288746766
7,204191.08807288748,10:35:44.408,191.08807288746766
8,447.03447345773077,10:36:58.667,447.03447345773077
9,446.9808964820968,10:38:08.981,446.9808964820968
10,91319.03448468479,10:39:15.226,319.0344846847822
11,446.95089445027924,10:40:20.448,446.95089445027924
12,446.9209064917575,10:41:27.679,446.9209064917575
13,29382.97769558827,10:42:37.933,382.97769558826985
14,446.8973943650341,10:43:46.159,446.8973943650341
15,446.87389953112336,10:45:00.295,446.87389953112336
16,6414.925797559697,10:46:03.501,414.9257975596966
17,446.8455190454472,10:47:07.893,446.8455190454472
18,446.8171889849752,10:48:13.468,446.8171889849752
19,430.8714932723359,10:49:22.868,430.8714932723359
20,430.86442684290955,10:50:33.850,430.86442684290955
21,430.85736667670955,10:51:46.304,430.85736667670955
22,422.8915821182031,10:53:04.552,422.8915821182031
