iter,fitness,timestep,solution
1,216177.9972601681,10:27:48.270,177.99726016810132
2,212179.1572601681,10:29:13.485,179.15726016810132
3,189211.6372601681,10:30:41.903,211.6372601681013
4,76337.32073842897,10:32:03.097,337.3207384289707
5,97310.62690233816,10:33:17.311,310.62690233816653
6,76337.3193796675,10:34:31.479,337.3193796675039
7,85323.9724616913,10:36:12.883,323.9724616913016
8,76337.3172284958,10:37:28.151,337.3172284957943
9,80330.64444886635,10:39:10.478,330.6444488663587
10,76337.31599028248,10:40:15.661,337.3159902824786
11,78333.97999672478,10:41:52.051,333.9799967247875
12,76337.31532176581,10:43:03.336,337.315321765815
13,77335.64754785152,10:44:44.156,335.6475478515173
14,76337.31498759995,10:45:51.766,337.31498759995003
15,76336.48121204405,10:47:33.777,336.48121204404094
16,77335.93098421869,10:49:14.219,335.9309842186956
17,76336.48117211141,10:50:22.867,336.48117211141454
18,76337.08073842897,10:52:14.718,337.0807384289707
19,76336.12073842897,10:53:24.061,336.12073842897064
20,79332.28073842898,10:54:27.323,332.2807384289705
21,76336.12054161691,10:55:29.545,336.12054161691543
22,78334.20054162701,10:57:04.929,334.20054162700757
23,76336.12027105503,10:58:07.694,336.1202710550299
24,77335.16036945886,10:59:29.931,335.1603694588504
25,76336.12016041148,11:00:22.170,336.12016041147575
26,77335.64024649697,11:01:39.490,335.64024649697313
27,76336.12011432026,11:02:30.742,336.12011432026435
28,77335.88017580139,11:03:55.165,335.8801758013801
29,76336.1201028027,11:04:42.356,336.1201028027004
30,77336.00013815051,11:05:56.739,336.000138150519
31,76336.12010049965,11:06:46.960,336.12010049965784
32,77335.88010049966,11:07:38.223,335.88010049965783
33,76336.12009819521,11:08:30.484,336.12009819521353
34,77336.00009819523,11:09:44.778,336.00009819523564
35,76336.12009531478,11:10:36.014,336.1200953147801
36,77336.060096467,11:11:48.397,336.06009646699397
37,76336.12009459475,11:12:40.652,336.1200945947536
38,77336.09009545887,11:13:53.005,336.09009545887477
39,76336.12009441476,11:14:43.153,336.12009441475715
40,77336.10509491882,11:15:59.455,336.1050949188168
41,76336.12009436976,11:16:50.610,336.12009436975933
42,76336.1125946398,11:26:41.629,336.11259463978837
43,76336.10764482318,11:27:46.819,336.10764482318217
