iter,grad
1,[0.         0.         0.         0.         0.38369565]
2,[0.         0.         0.         0.         0.38369565]
3,[0.         0.         0.         0.         0.38369565]
4,[0.         0.         0.         0.         0.38369565]
5,[0.         0.         0.         0.         0.38369565]
6,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
7,[0.         0.         0.         0.         0.38369565]
