iter,grad
1,[-0.21787076 -0.9         1.1         0.          0.        ]
2,[-1.07589014 -1.07589014  1.1         0.          0.        ]
3,[-0.21787076 -0.9         1.1         0.          0.        ]
4,[-0.21787076 -0.9         1.1         0.          0.        ]
5,[-0.21787076 -0.9         1.1         0.          0.        ]
6,[-0.21787076 -0.9         1.1         0.          0.        ]
7,[-0.21787076 -0.9         1.1         0.          0.        ]
7,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
8,[-0.21787076 -0.9         1.1         0.          0.        ]
