Column1;Column2;Column3;Column4;Column5;Column6
Time;Player;Sell;Buy;Total Costs;Total Revenue
2012-04-15 02:15:00;prosumer_s1_3;0.0;-0.5;-0.1766274713159454;0.0
2012-04-15 02:15:00;prosumer_s1_4;0.0;-0.6637215286837389;-0.5121765161245626;0.7635652013895008
2012-04-15 02:15:00;prosumer_s1_5;0.0;-4.0;-2.4528597979989017;0.0
2012-04-15 02:30:00;prosumer_s1_0;0.0;-2.3825926350244555;-2.4751898384791566;0.3338864109975913
2012-04-15 02:30:00;prosumer_s1_1;0.0;-1.3517531798115066;-0.9063414733636013;0.0
2012-04-15 02:30:00;prosumer_s1_2;0;-5.083977767009211;-5.568737541037807;0.0
2012-04-15 02:30:00;prosumer_s1_3;0.0;-0.5;-0.28845967256077065;0.0
2012-04-15 02:30:00;prosumer_s1_4;0.0;-0.9380476074381744;-0.7219843737490681;0.7635652013895008
2012-04-15 02:30:00;prosumer_s1_5;0.0;-3.645178398712861;-3.268156446515195;0.0
2012-04-15 02:45:00;prosumer_s1_0;0.0;-3.060863381859562;-3.0136395059554593;0.3338864109975913
2012-04-15 02:45:00;prosumer_s1_1;0.0;-1.9945192296575536;-1.257205945900676;0.0
2012-04-15 02:45:00;prosumer_s1_2;0;-5.731529652198047;-6.576995620652484;0.0
2012-04-15 02:45:00;prosumer_s1_3;0.0;-0.5;-0.3764168271772533;0.0
2012-04-15 02:45:00;prosumer_s1_4;0.0;-0.9781082141859332;-0.8940476046026757;0.7635652013895008
2012-04-15 02:45:00;prosumer_s1_5;0.0;-3.852978554541332;-3.9459505074267622;0.0
2012-04-15 03:00:00;prosumer_s1_0;0.0;-3.0688424158393217;-3.9342922307072556;0.3338864109975913
2012-04-15 03:00:00;prosumer_s1_1;0.0;-1.8457075276073265;-1.8109182041828737;0.0
2012-04-15 03:00:00;prosumer_s1_2;0;-5.950809747581984;-8.362238544927079;0.0
2012-04-15 03:00:00;prosumer_s1_3;0.0;-0.5;-0.5264168271772532;0.0
2012-04-15 03:00:00;prosumer_s1_4;0.0;-0.9872864526154482;-1.19023354038731;0.7635652013895008
2012-04-15 03:00:00;prosumer_s1_5;0.0;-4.0;-5.145950507426762;0.0
2012-04-15 03:15:00;prosumer_s1_0;0.0;-2.647748057628424;-4.728616647995783;0.3338864109975913
2012-04-15 03:15:00;prosumer_s1_1;0.0;-1.165404898644914;-2.160539673776348;0.0
2012-04-15 03:15:00;prosumer_s1_2;0;-5.51272811475426;-10.016056979353356;0.0
2012-04-15 03:15:00;prosumer_s1_3;0.0;-0.5656960566441644;-0.6961256441705026;0.0
2012-04-15 03:15:00;prosumer_s1_4;0.0;-1.328926314163212;-1.5889114346362736;0.7635652013895008
2012-04-15 03:15:00;prosumer_s1_5;0.0;-4.0;-6.345950507426762;0.0
2012-04-15 03:30:00;prosumer_s1_0;0.0;-2.1070898496912447;-5.117184801603947;0.3338864109975913
2012-04-15 03:30:00;prosumer_s1_1;0.0;-1.249629195582107;-2.3909836243716893;0.0
2012-04-15 03:30:00;prosumer_s1_2;0;-5.82627047671529;-11.090478728331338;0.0
2012-04-15 03:30:00;prosumer_s1_3;0.0;-0.864658649158831;-0.8555772284748965;0.0
2012-04-15 03:30:00;prosumer_s1_4;0.0;-1.3546777623227777;-1.8387273771870543;0.7635652013895008
2012-04-15 03:30:00;prosumer_s1_5;0.0;-4.0;-7.08358996530769;0.0
2012-04-15 03:45:00;prosumer_s1_0;0.0;-2.6205894102069154;-5.476357516580573;0.3338864109975913
2012-04-15 03:45:00;prosumer_s1_1;0.0;-0.981753535133859;-2.525540789747736;0.0
2012-04-15 03:45:00;prosumer_s1_2;0;-5.527408547311384;-11.84805422909095;0.0
2012-04-15 03:45:00;prosumer_s1_3;0.0;-0.8509021501875584;-0.9722001661514184;0.0
2012-04-15 03:45:00;prosumer_s1_4;0.0;-1.030565183699676;-1.9799745689631105;0.7635652013895008
2012-04-15 03:45:00;prosumer_s1_5;0.0;-4.0;-7.631821921947195;0.0
2012-04-15 04:00:00;prosumer_s1_0;0.4090872288400979;0.0;-5.476357516580573;0.37977993484436134
2012-04-15 04:00:00;prosumer_s1_1;0.0;-0.8315252904720342;-2.432255976492451;0.0
2012-04-15 04:00:00;prosumer_s1_2;0;0.0;-11.84805422909095;0.0
2012-04-15 04:00:00;prosumer_s1_3;0.0;-0.5;-0.9161075768314171;0.0
2012-04-15 04:00:00;prosumer_s1_4;1.890054320143008;0.0;-1.9799745689631105;0.9756012829340528
2012-04-15 04:00:00;prosumer_s1_5;0.0;-4.0;-7.183081207387185;0.0
2012-04-15 04:15:00;prosumer_s1_0;0.0;-0.1405989304797232;-5.426614520705353;0.37977993484436134
2012-04-15 04:15:00;prosumer_s1_1;0.0;-0.5680162543047735;-2.2312954848405244;0.0
2012-04-15 04:15:00;prosumer_s1_2;0;0.0;-11.84805422909095;0.0
2012-04-15 04:15:00;prosumer_s1_3;0.0;-0.5;-0.7392107977965521;0.0
2012-04-15 04:15:00;prosumer_s1_4;1.7106654803211143;0.0;-1.9799745689631105;1.5808237098839233
2012-04-15 04:15:00;prosumer_s1_5;0.0;-4.0;-5.767906975108265;0.0
2012-04-15 04:30:00;prosumer_s1_0;0.4552963150023026;0.0;-5.426614520705353;0.5908626707783283
2012-04-15 04:30:00;prosumer_s1_1;0.0;-0.9789489255319632;-1.7774389287208927;0.0
2012-04-15 04:30:00;prosumer_s1_2;0;0.0;-11.84805422909095;0.0
2012-04-15 04:30:00;prosumer_s1_3;0.0;-1.1571096858798164;-0.2027560314759208;0.0
2012-04-15 04:30:00;prosumer_s1_4;1.4915343248875474;0.0;-1.9799745689631105;2.27232314807967
2012-04-15 04:30:00;prosumer_s1_5;0.0;-4.0;-3.9134422761537;0.0
