generation,solution,fitness
6,"[33.206311307543004, 11.08506168084103, 72.90091941813829, 52.0552983997388, 50.809767599202225]",[1191.271703545267]
7,"[33.26372711762694, 10.270387699675656, 72.98914449498758, 52.127024143699046, 47.60593774992749]",[1191.2370440753718]
7,"[33.51895676164975, 15.519620531942785, 52.21265706995964, 66.95473178574758, 24.85571305757943]",[1192.8654895482234]
7,"[34.70086565612711, 5.945602910586011, 54.04635245023343, 53.44771983721155, 25.119481439841657]",[1193.5697174758302]
7,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
7,"[33.64749593822435, 9.364738568840634, 72.96132087783548, 52.68624518015564, 50.731964199727564]",[1191.310813161612]
7,"[33.87680585220335, 12.134578090140636, 72.99562299294132, 52.46827650256902, 50.19112848272601]",[1191.3058632240609]
7,"[32.843792176439585, 11.04561751324657, 72.6851914856615, 52.00924039914075, 61.6926667253836]",[1191.271703545267]
7,"[32.596445174897106, 9.404765063294093, 71.27994718747014, 53.81879136420742, 51.485243617087306]",[1191.310813161612]
7,"[33.206311307543004, 11.08506168084103, 72.90091941813829, 52.0552983997388, 50.809767599202225]",[1191.271703545267]
8,"[33.26372711762694, 10.270387699675656, 72.98914449498758, 52.127024143699046, 47.60593774992749]",[1191.2370440753718]
8,"[33.51895676164975, 15.519620531942785, 52.21265706995964, 66.95473178574758, 24.85571305757943]",[1192.8654895482234]
8,"[32.500865656127104, 4.668951868432881, 68.64635245023342, 52.228290790365335, 39.71948143984166]",[1193.2553099723066]
8,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
8,"[33.14900228641319, 10.190917200191087, 72.98192863170651, 52.42458436930814, 47.86305634136579]",[1191.2370440753718]
8,"[33.590167972749285, 10.717658899258197, 72.9976287255466, 52.48853219617878, 45.00059882218393]",[1191.2370440753716]
8,"[32.843792176439585, 11.04561751324657, 72.6851914856615, 52.00924039914075, 61.6926667253836]",[1191.271703545267]
8,"[32.60769807880217, 10.501828701368792, 71.80348903482147, 52.01827082661501, 46.27992180368298]",[1191.237044075372]
8,"[33.206311307543004, 11.08506168084103, 72.90091941813829, 52.0552983997388, 50.809767599202225]",[1191.271703545267]
9,"[33.63468049842253, 10.41630285437347, 72.99797697286, 52.241232419754844, 44.292247267384184]",[1191.2370440753716]
9,"[33.51895676164975, 15.519620531942785, 52.21265706995964, 66.95473178574758, 24.85571305757943]",[1192.8654895482234]
9,"[33.27050265468962, 13.001052757174014, 69.3429014058292, 52.10577148218043, 50.15595334323941]",[1192.0802628017207]
9,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
9,"[33.14900228641319, 10.190917200191087, 72.98192863170651, 52.42458436930814, 47.86305634136579]",[1191.2370440753718]
9,"[33.590167972749285, 10.717658899258197, 72.9976287255466, 52.48853219617878, 45.00059882218393]",[1191.2370440753716]
9,"[33.40187537445842, 10.634477689170891, 72.99484652339359, 52.57641720337327, 52.67150840143897]",[1191.2370440753716]
9,"[32.60769807880217, 10.501828701368792, 71.80348903482147, 52.01827082661501, 46.27992180368298]",[1191.237044075372]
9,"[33.206311307543004, 11.08506168084103, 72.90091941813829, 52.0552983997388, 50.809767599202225]",[1191.271703545267]
10,"[33.63468049842253, 10.41630285437347, 72.99797697286, 52.241232419754844, 44.292247267384184]",[1191.2370440753716]
10,"[33.26813155590597, 14.937292793923637, 71.29424096096119, 60.95473178574758, 35.99133626175147]",[1191.7099328163597]
10,"[34.119927982254374, 13.992415924577065, 71.66473689557314, 52.201946191391286, 52.08935944755555]",[1191.3552703362761]
10,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
10,"[33.22676523996977, 10.576830853765761, 72.99612438229315, 52.357079895366915, 48.94575756971764]",[1191.2370440753716]
10,"[33.590167972749285, 10.717658899258197, 72.9976287255466, 52.48853219617878, 45.00059882218393]",[1191.2370440753716]
10,"[33.40187537445842, 10.634477689170891, 72.99484652339359, 52.57641720337327, 52.67150840143897]",[1191.2370440753716]
10,"[32.60769807880217, 10.501828701368792, 71.80348903482147, 52.01827082661501, 46.27992180368298]",[1191.237044075372]
10,"[33.54807648485447, 10.91090839417826, 72.99887388913602, 52.032833756555796, 48.92174852751861]",[1191.2370440753716]
11,"[33.63468049842253, 10.41630285437347, 72.99797697286, 52.241232419754844, 44.292247267384184]",[1191.2370440753716]
11,"[33.409642146675864, 7.640426385249385, 72.82166248174244, 57.95473178574758, 42.98522093878903]",[1191.5289166895898]
11,"[33.70391311364437, 10.906579203415584, 72.84326741745518, 52.24036060751583, 48.1787484099549]",[1191.2370440753716]
11,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
11,"[33.22676523996977, 10.576830853765761, 72.99612438229315, 52.357079895366915, 48.94575756971764]",[1191.2370440753716]
11,"[33.590167972749285, 10.717658899258197, 72.9976287255466, 52.48853219617878, 45.00059882218393]",[1191.2370440753716]
11,"[33.40187537445842, 10.634477689170891, 72.99484652339359, 52.57641720337327, 52.67150840143897]",[1191.2370440753716]
11,"[32.16693046193208, 10.553307110054831, 71.89382565808877, 52.15182387431746, 43.42439554887173]",[1191.2370440753718]
11,"[33.54807648485447, 10.91090839417826, 72.99887388913602, 52.032833756555796, 48.92174852751861]",[1191.2370440753716]
12,"[33.63468049842253, 10.41630285437347, 72.99797697286, 52.241232419754844, 44.292247267384184]",[1191.2370440753716]
12,"[33.409642146675864, 7.640426385249385, 72.82166248174244, 57.95473178574758, 42.98522093878903]",[1191.5289166895898]
12,"[33.70391311364437, 10.906579203415584, 72.84326741745518, 52.24036060751583, 48.1787484099549]",[1191.2370440753716]
12,"[40.58337850392209, 44.98643104413539, 15.981894801493805, 63.563906084287055, 61.47549304470641]",[1193.4106917106126]
12,"[33.22676523996977, 10.576830853765761, 72.99612438229315, 52.357079895366915, 48.94575756971764]",[1191.2370440753716]
12,"[33.590167972749285, 10.717658899258197, 72.9976287255466, 52.48853219617878, 45.00059882218393]",[1191.2370440753716]
12,"[33.40187537445842, 10.634477689170891, 72.99484652339359, 52.57641720337327, 52.67150840143897]",[1191.2370440753716]
12,"[32.14944896050165, 10.7126444102723, 72.54379095080391, 52.225618479775775, 42.08972753541764]",[1191.2370440753716]
12,"[33.54807648485447, 10.91090839417826, 72.99887388913602, 52.032833756555796, 48.92174852751861]",[1191.2370440753716]
