date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-desired_out,H2_controller-0.time-based_0-dump,H2Buffer1-0.time-based_0-soc,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-free_capacity
2012-01-01 00:00:00,0.0,173.33333333333334,100.0,0.0,0.0,100.0,0,80.0,100.0,52428.17150674708
2012-01-01 00:15:00,0.0,173.33333333333334,173.33333333333334,100.0,0.0,173.33333333333334,0,79.97202521803611,173.33333333333334,52501.504840080415
2012-01-01 00:30:00,211.66666666666663,173.33333333333334,200.0,173.33333333333337,0.0,385.0,0,79.93387778808535,200.0,52601.50484008041
2012-01-01 00:45:00,211.66666666666663,0.0,200.0,90.04329004329004,109.95670995670994,211.66666666666663,0,79.8957303581346,200.0,52701.50484008039
2012-01-01 01:00:00,211.66666666666663,258.0,200.0,0.0,200.0,469.6666666666666,0,79.85758292818385,200.0,52801.50484008038
2012-01-01 01:15:00,0.0,0.0,0.0,109.86515259048971,90.1348474095103,0.0,0,79.8957303581346,0.0,52701.50484008039
2012-01-01 01:30:00,0.0,193.5,193.5,0.0,0.0,193.5,0,79.86006251113064,193.5,52795.00484008041
2012-01-01 01:45:00,271.0,193.5,200.0,193.5,0.0,464.5,0,79.82191508117988,200.0,52895.00484008039
2012-01-01 02:00:00,0.0,0.0,0.0,83.31539289558665,116.68460710441336,0.0,0,79.86006251113064,0.0,52795.00484008041
2012-01-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,79.89820994108139,0.0,52695.004840080415
2012-01-01 02:30:00,160.5,153.5,200.0,0.0,0.0,314.0,0,79.86006251113064,200.0,52795.00484008041
2012-01-01 02:45:00,160.5,153.5,200.0,97.77070063694268,102.22929936305734,314.0,0,79.82191508117988,200.0,52895.00484008039
2012-01-01 03:00:00,0.0,153.5,153.5,97.77070063694268,102.22929936305734,153.5,0,79.80150620615622,153.5,52948.50484008041
2012-01-01 03:15:00,0.0,153.5,153.5,153.5,0.0,153.5,0,79.78109733113256,153.5,53002.00484008043
2012-01-01 03:30:00,164.5,0.0,164.5,153.5,0.0,164.5,0,79.75649223881432,164.5,53066.50484008043
2012-01-01 03:45:00,164.5,0.0,164.5,0.0,164.5,164.5,0,79.73188714649608,164.5,53131.00484008043
2012-01-01 04:00:00,164.5,0.0,164.5,0.0,164.5,164.5,0,79.70728205417784,164.5,53195.50484008043
2012-01-01 04:15:00,164.5,158.5,200.0,0.0,164.5,323.0,0,79.66913462422708,200.0,53295.504840080415
2012-01-01 04:30:00,0.0,158.5,158.5,98.14241486068111,101.85758513931889,158.5,0,79.64681837770588,158.5,53354.00484008044
2012-01-01 04:45:00,0.0,158.5,158.5,158.5,0.0,158.5,0,79.62450213118468,158.5,53412.504840080444
2012-01-01 05:00:00,0.0,158.5,158.5,158.5,0.0,158.5,0,79.60218588466348,158.5,53471.00484008047
2012-01-01 05:15:00,165.0,0.0,165.0,158.5,0.0,165.0,0,79.5773900551955,165.0,53536.00484008046
2012-01-01 05:30:00,165.0,162.25,200.0,0.0,165.0,327.25,0,79.53924262524474,200.0,53636.00484008045
2012-01-01 05:45:00,0.0,162.25,162.25,99.15966386554622,100.84033613445378,162.25,0,79.5154958501004,162.25,53698.254840080444
2012-01-01 06:00:00,181.0,162.25,200.0,162.25,0.0,343.25,0,79.47734842014964,200.0,53798.25484008044
2012-01-01 06:15:00,181.0,162.25,200.0,94.5375091041515,105.46249089584852,343.25,0,79.43920099019888,200.0,53898.254840080415
2012-01-01 06:30:00,181.0,0.0,181.0,94.5375091041515,105.46249089584852,181.0,0,79.40830157193876,181.0,53979.25484008044
2012-01-01 06:45:00,0.0,0.0,0.0,0.0,181.0,0.0,0,79.44644900188952,0.0,53879.254840080444
2012-01-01 07:00:00,146.25,0.0,146.25,0.0,0.0,146.25,0,79.42880581553729,146.25,53925.50484008046
2012-01-01 07:15:00,146.25,213.5,200.0,0.0,146.25,359.75,0,79.39065838558653,200.0,54025.50484008045
2012-01-01 07:30:00,146.25,213.5,200.0,118.69353717859626,81.30646282140376,359.75,0,79.35251095563578,200.0,54125.50484008044
2012-01-01 07:45:00,146.25,220.0,200.0,118.69353717859626,81.30646282140376,366.25,0,79.31436352568502,200.0,54225.50484008042
2012-01-01 08:00:00,180.0,220.0,200.0,120.13651877133108,79.86348122866895,400.0,0,79.27621609573427,200.0,54325.504840080415
2012-01-01 08:15:00,180.0,232.0,200.0,110.0,90.0,412.0,0,79.23806866578352,200.0,54425.50484008041
2012-01-01 08:30:00,0.0,273.0,200.0,112.62135922330096,87.37864077669903,273.0,0,79.19992123583276,200.0,54525.50484008039
2012-01-01 08:45:00,150.66666666666666,192.0,200.0,200.0,0.0,342.66666666666663,0,79.161773805882,200.0,54625.50484008038
2012-01-01 09:00:00,150.66666666666666,192.0,200.0,112.06225680933852,87.9377431906615,342.66666666666663,0,79.12362637593125,200.0,54725.50484008037
2012-01-01 09:15:00,150.66666666666666,192.0,200.0,112.06225680933852,87.9377431906615,342.66666666666663,0,79.0854789459805,200.0,54825.50484008036
2012-01-01 09:30:00,168.5,0.0,168.5,112.06225680933852,87.9377431906615,168.5,0,79.05934795646422,168.5,54894.00484008038
2012-01-01 09:45:00,168.5,0.0,168.5,0.0,168.5,168.5,0,79.03321696694795,168.5,54962.50484008039
