iter,fitness,timestep,solution
1,-23.183710108370192,13:09:55.690,0.8914499312392312,0.22283941344448155
2,-10.905289856524297,13:11:36.629,0.8914499312392312,-1.54947
3,-11.924338342064909,13:12:59.167,0.8914499312392312,-0.18967081516785672
4,-29.519312204888237,13:14:09.598,0.8914499312392312,0.17035184600520004
5,-37.39745362956491,13:15:18.167,0.8914499312392312,0.11542628919548223
6,-15.691718046856295,13:16:24.570,0.8914499312392312,-0.03712226298618726
7,-40.66611988103767,13:17:31.013,0.8914499312392312,0.09011604693775094
8,-36.03328663895918,13:18:41.488,0.8914499312392312,0.006138762387951718
9,-39.99091183436326,13:20:02.075,0.8914499312392312,0.05719262645450198
10,-36.03328663895918,13:21:18.513,0.8914499312392312,0.011040785476580224
11,-39.62771744518069,13:22:30.963,0.8914499312392312,0.05166107750907998
12,-39.99091183436326,13:23:46.442,0.8914499312392312,0.056588353099972996
13,-36.03328663895918,13:25:10.000,0.8914499312392312,0.011262318184595922
14,-39.62771744518069,13:26:42.000,0.8914499312392312,0.051433568129385404
15,-39.62771744518069,13:28:11.639,0.8914499312392312,0.05606712843736811
16,-39.99091183436326,13:29:34.283,0.8914499312392312,0.05657846653382475
17,-39.99091183436326,13:30:48.731,0.8914499312392312,0.05658626667529264
18,-39.99091183436326,13:31:55.169,0.8914499312392312,0.056587912788556315
19,-10.905289856524297,13:42:43.528,0.8914499312392312,-1.54947
20,-11.324743703480047,13:43:39.938,0.8914499312392312,-0.32194125972062315
21,-36.03328663895918,13:44:38.367,0.8914499312392312,0.010411444660123108
22,-39.62771744518069,13:45:33.779,0.8914499312392312,0.05127013591755172
23,-39.62771744518069,13:46:29.183,0.8914499312392312,0.056042281453420655
24,-39.99091183436326,13:47:24.620,0.8914499312392312,0.056577549151631476
25,-39.99091183436326,13:48:18.999,0.8914499312392312,0.05658607307431727
26,-39.99091183436326,13:49:15.382,0.8914499312392312,0.05658787193171612
