date,Wind-0.wind_0-wind_gen,PV-0.pv_0-pv_gen,Load-0.load_0-load_dem,Controller-0.ctrl_0-flow2b,Controller-0.ctrl_0-flow2e,Controller-0.ctrl_0-dump,Electrolyser-0.electro_0-h2_gen,Battery-0.Battery_0-p_out,Battery-0.Battery_0-p_in,Battery-0.Battery_0-mod,Battery-0.Battery_0-flag,Battery-0.Battery_0-soc,H2storage-0.h2storage_0-h2_given,H2storage-0.h2storage_0-h2_stored,H2storage-0.h2storage_0-h2_soc,Fuelcell-0.fc_0-fc_gen
2012-06-01,35.76452525450019,0.0,97.4522125,-61.68768724549981,0,0,0,-61.68768724549981,-61.68768724549981,-1,0,17.858,0,0,50,0.0
2012-06-01 00:15:00,30.101308509079523,0.0,94.55696049999999,-64.45565199092047,0,0,0,-64.45565199092047,-64.45565199092047,-1,0,15.62,0,0,50,0.0
2012-06-01 00:30:00,32.33016156040354,0.0,97.95850775000001,-65.62834618959647,0,0,0,-65.62834618959647,-65.62834618959647,-1,0,13.341,0,0,50,0.0
2012-06-01 00:45:00,97.17626025,0.0,31.917001586796687,-65.25925866320331,0,0,0,-65.25925866320331,-65.25925866320331,-1,0,11.075,0,0,50,0.0
2012-06-01 01:00:00,100.652273,0.0,31.71174818810342,-68.94052481189658,0,0,0,-38.22222222222219,-68.94052481189658,-1,-1,10,0,0,50,0.0
2012-06-01 01:15:00,81.96689074999999,0.0,22.861674995762083,0,0,0,0,0,0,0,-1,10,-3.333627510109301,0,49.993,14.776303938559476
2012-06-01 01:30:00,76.67834800000001,0.0,21.728249901040478,0,0,0,0,0,0,0,-1,10,-3.099272312406065,0,49.986,13.737524524739882
2012-06-01 01:45:00,76.4726895,0.0,22.61555860937605,0,0,0,0,0,0,0,-1,10,-3.037627235793793,0,49.98,13.464282722655987
2012-06-01 02:00:00,51.948584249999996,0.0,21.569456987831963,0,0,0,0,0,0,0,-1,10,-1.7134307536473792,0,49.976,7.594781815542008
2012-06-01 02:15:00,34.9237685,0.0,24.721304640046643,0,0,0,0,0,0,0,-1,10,-0.5754350738834382,0,49.975,2.5506159649883395
2012-06-01 02:30:00,42.44526975,0.0,27.695674065146253,0,0,0,0,0,0,0,-1,10,-0.8319004898394669,0,49.973,3.6873989212134366
2012-06-01 02:45:00,43.435086749999996,0.0,21.64875638280169,0,0,0,0,0,0,0,-1,10,-1.2287834386462666,0,49.97,5.446582591799577
2012-06-01 03:00:00,36.857875,0.0,21.96789756851643,0,0,0,0,0,0,0,-1,10,-0.8398182420464506,0,49.968,3.7224943578708922
2012-06-01 03:15:00,16.113101500000003,0.0,24.721304640046643,8.60820314004664,0,0,0,8.60820314004664,8.60820314004664,1,0,10.242,0,0,49.968,0.0
2012-06-01 03:30:00,21.25230025,0.0,24.98244303490758,3.730142784907578,0,0,0,3.730142784907578,3.730142784907578,1,0,10.347,0,0,49.968,0.0
2012-06-01 03:45:00,14.60111425,0.0,23.27582579700007,8.67471154700007,0,0,0,8.67471154700007,8.67471154700007,1,0,10.591,0,0,49.968,0.0
2012-06-01 04:00:00,15.057287500000001,0.0,15.260444374942015,0.20315687494201384,0,0,0,0.20315687494201384,0.20315687494201384,1,0,10.597,0,0,49.968,0.0
2012-06-01 04:15:00,24.605057,0.0,9.937133399773279,-14.66792360022672,0,0,0,-14.66792360022672,-14.66792360022672,-1,0,10.088,0,0,49.968,0.0
2012-06-01 04:30:00,21.654398500000003,0.0,8.933567437692412,-12.72083106230759,0,0,0,-3.12888888888886,-12.72083106230759,-1,-1,10,0,0,49.968,0.0
2012-06-01 04:45:00,20.62347875,0.0,8.164610758280814,0,0,0,0,0,0,0,-1,10,-0.7026998303282114,0,49.967,3.1147169979297966
2012-06-01 05:00:00,26.043643250000002,0.0,9.842943191700193,0,0,0,0,0,0,0,-1,10,-0.9137450681500174,0,49.965,4.050175014574952
2012-06-01 05:15:00,30.962540999999998,17.701372389566405,11.526929247793102,0,0,0,0,0,0,0,-1,10,-0.09781383884041121,0,49.965,0.43355984066012265
2012-06-01 05:30:00,43.76605225,31.125634031392703,12.11023949286952,0,0,0,0,0,0,0,-1,10,-0.02990291741329818,0,49.965,0.1325446814344442
2012-06-01 05:45:00,26.824248500000003,213.06564549874648,13.39279978905828,199.63419678780474,0,0,0,199.63419678780474,199.63419678780474,1,0,15.615,0,0,49.965,0.0
2012-06-01 06:00:00,31.45552925,57.79288200280834,16.48674222623513,42.824094979043466,0,0,0,42.824094979043466,42.824094979043466,1,0,16.819,0,0,49.965,0.0
2012-06-01 06:15:00,38.8828835,33.3835124700914,17.707503965089543,12.208132935180942,0,0,0,12.208132935180942,12.208132935180942,1,0,17.162,0,0,49.965,0.0
2012-06-01 06:30:00,47.9189945,342.8453139927262,21.41143961844171,316.3377591111679,0,0,0,316.3377591111679,316.3377591111679,1,0,26.059,0,0,49.965,0.0
2012-06-01 06:45:00,64.99497775,77.89516063586485,15.76908467740246,28.66926756326731,0,0,0,28.66926756326731,28.66926756326731,1,0,26.865,0,0,49.965,0.0
2012-06-01 07:00:00,56.325227,157.341222169919,10.27152856889632,111.28752373881532,0,0,0,111.28752373881532,111.28752373881532,1,0,29.995,0,0,49.965,0.0
2012-06-01 07:15:00,57.7793925,380.35450349582845,6.544704998982271,329.1198159948108,0,0,0,329.1198159948108,329.1198159948108,1,0,39.251,0,0,49.965,0.0
2012-06-01 07:30:00,33.589715999999996,88.03271624025432,6.725155590333484,61.16815583058781,0,0,0,61.16815583058781,61.16815583058781,1,0,40.971,0,0,49.965,0.0
2012-06-01 07:45:00,44.90621975,297.22984936328197,4.884960659625227,257.2085902729072,0,0,0,257.2085902729072,257.2085902729072,1,0,48.205,0,0,49.965,0.0
2012-06-01 08:00:00,53.05677225,118.5350513965194,4.159096893698424,69.63737604021782,0,0,0,69.63737604021782,69.63737604021782,1,0,50.164,0,0,49.965,0.0
2012-06-01 08:15:00,55.587278999999995,52.40132464873126,6.22808199708421,3.0421276458154765,0,0,0,3.0421276458154765,3.0421276458154765,1,0,50.25,0,0,49.965,0.0
2012-06-01 08:30:00,64.03148025,447.0993475478892,5.402499425605091,388.47036672349424,0,0,0,388.47036672349424,388.47036672349424,1,0,61.176,0,0,49.965,0.0
2012-06-01 08:45:00,54.409687749999996,96.91474617404022,5.03358025576729,47.53863867980751,0,0,0,47.53863867980751,47.53863867980751,1,0,62.513,0,0,49.965,0.0
2012-06-01 09:00:00,46.131764,135.52077638405348,6.40269109177492,95.7917034758284,0,0,0,95.7917034758284,95.7917034758284,1,0,65.207,0,0,49.965,0.0
2012-06-01 09:15:00,52.717708,483.36389810224654,9.380910430615765,440.0271005328623,0,0,0,440.0271005328623,440.0271005328623,1,0,77.583,0,0,49.965,0.0
2012-06-01 09:30:00,56.45302025,72.43200766533042,7.877920314617755,23.85690772994817,0,0,0,23.85690772994817,23.85690772994817,1,0,78.254,0,0,49.965,0.0
2012-06-01 09:45:00,41.0425445,134.59077411215878,6.946037494284026,100.4942671064428,0,0,0,100.4942671064428,100.4942671064428,1,0,81.08,0,0,49.965,0.0
2012-06-01 10:00:00,21.042413,473.8899765233873,16.288903442535922,469.1364669659232,0,0,0,317.1555555555556,469.1364669659232,1,1,90,0,0,49.965,0.0
2012-06-01 10:15:00,60.003608,162.57075852589827,12.164222650555097,0,114.73137317645337,0,0.4366677664371086,0,0,0,1,90,0,0.4366677664371086,49.966,0.0
2012-06-01 10:30:00,171.430568,108.14868458055827,16.887212597474946,-46.394670821966784,0,0,0,-46.394670821966784,-46.394670821966784,-1,0,88.389,0,0,49.966,0.0
2012-06-01 10:45:00,176.40641100000002,579.9161254834177,17.43118903045535,420.94090351387297,0,0,0,57.28000000000015,420.94090351387297,1,1,90,0,0,49.966,0.0
2012-06-01 11:00:00,152.382524,131.648996949136,28.071628344524374,0,7.338101293660401,0,0.027928823765264354,0,0,0,1,90,0,0.027928823765264354,49.966,0.0
2012-06-01 11:15:00,147.30110925,130.3877079411406,23.863996085028973,0,6.950594776169595,0,0.02645397341886181,0,0,0,1,90,0,0.02645397341886181,49.966,0.0
2012-06-01 11:30:00,162.21558975,160.61860915594409,29.21987365128263,0,27.62289305722672,0,0.10513276952834229,0,0,0,1,90,0,0.10513276952834229,49.966,0.0
2012-06-01 11:45:00,173.7816785,194.93116412649263,39.197513394592804,0,60.34699902108542,0,0.2296807624989532,0,0,0,1,90,0,0.2296807624989532,49.966,0.0
2012-06-01 12:00:00,173.65506275,243.59209991259948,29.316949564243362,0,99.25398672684281,0,0.37776081200851397,0,0,0,1,90,0,0.37776081200851397,49.967,0.0
2012-06-01 12:15:00,69.79713125,210.37020651966526,26.406287061109243,0,166.9793623307745,0,0.6355236860795841,0,0,0,1,90,0,0.6355236860795841,49.968,0.0
2012-06-01 12:30:00,45.8287375,191.32254094703302,23.694948337219877,0,169.18875178425287,0,0.6439326254231089,0,0,0,1,90,0,0.6439326254231089,49.969,0.0
2012-06-01 12:45:00,42.80469825,264.1150014385639,23.359251616667443,0,244.66955480523137,0,0.931212667067503,0,0,0,1,90,0,0.931212667067503,49.971,0.0
2012-06-01 13:00:00,44.06581225,273.5311060537622,24.98244303490758,0,254.44773683866978,0,0.968428441533918,0,0,0,1,90,0,0.968428441533918,49.973,0.0
2012-06-01 13:15:00,43.91017625,145.35248798553044,21.41143961844171,0,122.85375135397214,0,0.4675815491169322,0,0,0,1,90,0,0.4675815491169322,49.974,0.0
2012-06-01 13:30:00,46.68825825,330.3924277071239,23.694948337219877,0,307.3991177943438,0,1.1699614713540483,0,0,0,1,90,0,1.1699614713540483,49.976,0.0
2012-06-01 13:45:00,136.660541,237.49044363102877,25.510223860056925,0,126.34012649108567,0,0.48085069775462747,0,0,0,1,90,0,0.48085069775462747,49.977,0.0
2012-06-01 14:00:00,215.44237925000002,234.76018479924969,18.841962880920963,0,38.15976843017063,0,0.14523613190380363,0,0,0,1,90,0,0.14523613190380363,49.977,0.0
2012-06-01 14:15:00,226.70307325,260.34973105253323,38.962093524662656,0,72.60875132719588,0,0.27634900888941116,0,0,0,1,90,0,0.27634900888941116,49.978,0.0
2012-06-01 14:30:00,159.24421225,246.95781585252965,38.145549550921025,0,125.85915315345065,0,0.47902011256030685,0,0,0,1,90,0,0.47902011256030685,49.979,0.0
2012-06-01 14:45:00,52.207507,280.5084605829591,30.101308509079523,0,258.4022620920386,0,0.9834793701674657,0,0,0,1,90,0,0.9834793701674657,49.981,0.0
2012-06-01 15:00:00,73.6346665,138.03980154781465,33.48470301887081,0,97.88983806668547,0,0.3725688603040492,0,0,0,1,90,0,0.3725688603040492,49.982,0.0
2012-06-01 15:15:00,76.5145345,173.19797968522695,29.123012270638835,0,125.8064574558658,0,0.47881955266175297,0,0,0,1,90,0,0.47881955266175297,49.983,0.0
2012-06-01 15:30:00,94.44444150000001,203.08668432860833,27.695674065146253,0,136.33791689375457,0,0.5189023019808356,0,0,0,1,90,0,0.5189023019808356,49.984,0.0
2012-06-01 15:45:00,95.1589425,204.03957458300968,28.546335875818997,0,137.42696795882867,0,0.5230472318544671,0,0,0,1,90,0,0.5230472318544671,49.985,0.0
2012-06-01 16:00:00,114.81819675,79.72869815713369,18.411032717710054,-16.67846587515625,0,0,0,-16.67846587515625,-16.67846587515625,-1,0,89.421,0,0,49.985,0.0
2012-06-01 16:15:00,75.5651165,304.07656517873374,26.95386561193015,255.4653142906639,0,0,0,20.586666666666435,255.4653142906639,1,1,90,0,0,49.985,0.0
2012-06-01 16:30:00,75.60664799999999,168.5204773150205,23.02674060609553,0,115.94056992111605,0,0.44126997093493847,0,0,0,1,90,0,0.44126997093493847,49.986,0.0
