iter,grad
1,[ 0.12414115  0.          0.         -0.2863085   0.        ]
2,[ 0.12414115  0.          0.         -0.2863085   0.        ]
3,[ 0.12414115  0.          0.         -0.2863085   0.        ]
4,[ 0.12414115  0.          0.         -0.2863085   0.        ]
5,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
6,[ 0.12414115  0.          0.         -0.2863085   0.        ]
