iter,fitness,timestep,solution
1,255146.1692973844,00:38:08.589,146.1692973843989
2,256145.16929559066,00:39:16.872,145.16929559067162
3,255146.16913068906,00:40:26.221,146.1691306890484
4,255145.66921313986,00:41:29.572,145.66921313986
5,255146.04923728577,00:43:04.262,146.04923728576577
6,255145.75639356574,00:44:11.750,145.75639356574328
7,255145.68919138252,00:45:15.447,145.68919138252068
8,255145.67376972619,00:46:12.718,145.67376972617336
9,255145.67023075424,00:47:11.920,145.67023075424348
