iter,fitness,timestep,solution
1,460.16224672107904,00:38:08.587,460.16224672107904
2,459.1622467236038,00:39:22.003,459.1622467236038
3,458.16224672612856,00:40:34.256,458.16224672612856
4,454.1622467362276,00:41:38.580,454.1622467362276
5,438.1622467766237,00:42:46.143,438.1622467766237
6,35374.162246938205,00:43:54.674,374.16224693820817
7,438.1427360669364,00:45:00.201,438.1427360669364
8,438.12323725311757,00:46:03.630,438.12323725311757
9,12406.142742095662,00:47:01.803,406.14274209566287
10,438.10902604823735,00:47:59.952,438.10902604823735
11,438.09482747345197,00:49:03.393,438.09482747345197
12,422.1187847845574,00:50:03.756,422.1187847845574
13,459.0577624785127,00:51:07.936,459.0577624785127
14,434.37743511755957,00:51:47.036,434.37743511755957
15,426.18538917689995,00:52:25.132,426.18538917689995
16,423.4662349407379,00:53:03.227,423.4662349407379
17,422.5636765550648,00:53:41.325,422.5636765550648
18,422.26409382884816,00:54:19.455,422.26409382884816
19,422.16465448974736,00:54:51.606,422.16465448974736
20,422.13164797495443,00:55:21.703,422.13164797495443
21,422.1206922550943,00:55:53.790,422.1206922550943
22,422.11561762465055,00:56:40.933,422.11561762465055
