iter,grad
1,[1.00000179]
2,[1.00000179]
3,[0.99999888]
4,[0.99999888]
4,[-3.16563528]
5,[0.99999888]
6,[0.99999888]
7,[1.00000179]
8,[0.99999888]
9,[0.99999888]
9,[-80.20773821]
9,[-104.52220158]
9,[-104.92633155]
9,[-104.9270737]
9,[-104.9270737]
