iter,grad
1,[   0.         -828.90044119]
2,[0. 0.]
3,[0. 0.]
4,[  0.         213.89800217]
5,[  0.         331.17507623]
6,[   0.         -877.49829333]
7,[  0.        466.8196148]
8,[  0.         481.78119113]
9,[  0.         460.95269461]
10,[ 0.         63.43854643]
11,[    0.         -1003.54877569]
12,[ 0.         63.43854643]
13,[ 0.         63.43854643]
14,[ 0.         63.43854643]
15,[ 0.         63.43854643]
16,[ 0.         63.43854643]
17,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
18,[ 0.         63.43854643]
19,[0. 0.]
20,[  0.        -87.4053628]
21,[ 0.         63.20551963]
22,[ 0.         47.40525077]
23,[  0.         -37.48373076]
24,[ 0.         31.01536321]
25,[ 0.         47.40525077]
26,[ 0.         47.40525077]
27,[ 0.         47.40525077]
27,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
28,[ 0.         47.40525077]
29,[0. 0.]
30,[   0.        -313.2361398]
31,[ 0.         29.27477012]
32,[ 0.         47.40525077]
33,[ 0.         47.40525077]
34,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
35,[ 0.         47.40525077]
