date,GPController-0.gpctrl_0-demand[0],GPController-0.gpctrl_1-demand[0],GPController-0.gpctrl_2-demand[0],GPController-0.gpctrl_3-demand[0],GPController-0.gpctrl_4-demand[0],GPController-0.gpctrl_5-demand[0],GPController-0.gpctrl_0-generator[0],GPController-0.gpctrl_1-generator[0],GPController-0.gpctrl_2-generator[0],GPController-0.gpctrl_3-generator[0],GPController-0.gpctrl_4-generator[0],GPController-0.gpctrl_5-generator[0],GPController-0.gpctrl_0-generator[1],GPController-0.gpctrl_2-generator[1],GPController-0.gpctrl_4-generator[1],GPController-0.gpctrl_0-net,GPController-0.gpctrl_1-net,GPController-0.gpctrl_2-net,GPController-0.gpctrl_3-net,GPController-0.gpctrl_4-net,GPController-0.gpctrl_5-net,GPController-0.gpctrl_0-excess,GPController-0.gpctrl_1-excess,GPController-0.gpctrl_2-excess,GPController-0.gpctrl_3-excess,GPController-0.gpctrl_4-excess,GPController-0.gpctrl_5-excess,GPController-0.gpctrl_0-deficit,GPController-0.gpctrl_1-deficit,GPController-0.gpctrl_2-deficit,GPController-0.gpctrl_3-deficit,GPController-0.gpctrl_4-deficit,GPController-0.gpctrl_5-deficit,GPController-0.gpctrl_2-storage[0],GPController-0.gpctrl_2-flow2b[0]
2012-04-15,67.6969475,67.6969475,67.6969475,67.6969475,67.6969475,67.6969475,83.14199313521927,0.0,83.14199313521927,0.0,83.14199313521927,0.0,0.0,0.0,0.0,15.445045635219273,-67.6969475,15.445045635219273,-67.6969475,15.445045635219273,-67.6969475,15.445045635219273,0,0,0,15.445045635219273,0,0,-67.6969475,0,-67.6969475,0,-67.6969475,20,15.445045635219273
2012-04-15 00:15:00,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,84.31574524281307,0.0,84.31574524281307,0.0,84.31574524281307,0.0,0.0,0.0,0.0,6.542737492813075,-77.77300774999999,6.542737492813075,-77.77300774999999,6.542737492813075,-77.77300774999999,6.542737492813075,0,0,0,6.542737492813075,0,0,-77.77300774999999,0,-77.77300774999999,0,-77.77300774999999,20,6.542737492813075
2012-04-15 00:30:00,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,89.73443608369288,0.0,89.73443608369288,0.0,89.73443608369288,0.0,0.0,0.0,0.0,22.31157883369289,-67.42285724999999,22.31157883369289,-67.42285724999999,22.31157883369289,-67.42285724999999,22.31157883369289,0,0,0,22.31157883369289,0,0,-67.42285724999999,0,-67.42285724999999,0,-67.42285724999999,20,22.31157883369289
2012-04-15 00:45:00,72.922606,72.922606,72.922606,72.922606,72.922606,72.922606,87.09734808633782,0.0,87.09734808633782,0.0,87.09734808633782,0.0,0.0,0.0,0.0,14.174742086337815,-72.922606,14.174742086337815,-72.922606,14.174742086337815,-72.922606,14.174742086337815,0,0,0,14.174742086337815,0,0,-72.922606,0,-72.922606,0,-72.922606,20,14.174742086337815
2012-04-15 01:00:00,76.4356795,76.4356795,76.4356795,76.4356795,76.4356795,76.4356795,82.55922428364467,0.0,82.55922428364467,0.0,82.55922428364467,0.0,0.0,0.0,0.0,6.123544783644661,-76.4356795,6.123544783644661,-76.4356795,6.123544783644661,-76.4356795,6.123544783644661,0,0,0,6.123544783644661,0,0,-76.4356795,0,-76.4356795,0,-76.4356795,20,6.123544783644661
2012-04-15 01:15:00,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,77.80835886021384,0.0,77.80835886021384,0.0,77.80835886021384,0.0,0.0,0.0,0.0,14.065875110213852,-63.74248374999999,14.065875110213852,-63.74248374999999,14.065875110213852,-63.74248374999999,14.065875110213852,0,0,0,14.065875110213852,0,0,-63.74248374999999,0,-63.74248374999999,0,-63.74248374999999,20,14.065875110213852
2012-04-15 01:30:00,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,85.50049260627833,0.0,85.50049260627833,0.0,85.50049260627833,0.0,0.0,0.0,0.0,12.362553856278339,-73.13793874999999,12.362553856278339,-73.13793874999999,12.362553856278339,-73.13793874999999,12.362553856278339,0,0,0,12.362553856278339,0,0,-73.13793874999999,0,-73.13793874999999,0,-73.13793874999999,20,12.362553856278339
2012-04-15 01:45:00,76.6581375,76.6581375,76.6581375,76.6581375,76.6581375,76.6581375,80.44570960428378,0.0,80.44570960428378,0.0,80.44570960428378,0.0,0.0,0.0,0.0,3.7875721042837824,-76.6581375,3.7875721042837824,-76.6581375,3.7875721042837824,-76.6581375,3.7875721042837824,0,0,0,3.7875721042837824,0,0,-76.6581375,0,-76.6581375,0,-76.6581375,20,3.7875721042837824
2012-04-15 02:00:00,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,91.17620150839382,0.0,91.17620150839382,0.0,91.17620150839382,0.0,0.0,0.0,0.0,47.72946325839382,-43.446738249999996,47.72946325839382,-43.446738249999996,47.72946325839382,-43.446738249999996,47.72946325839382,0,0,0,47.72946325839382,0,0,-43.446738249999996,0,-43.446738249999996,0,-43.446738249999996,20,47.72946325839382
2012-04-15 02:15:00,45.869702,45.869702,45.869702,45.869702,45.869702,45.869702,88.51080165269651,0.0,88.51080165269651,0.0,88.51080165269651,0.0,0.0,0.0,0.0,42.64109965269652,-45.869702,42.64109965269652,-45.869702,42.64109965269652,-45.869702,42.64109965269652,0,0,0,42.64109965269652,0,0,-45.869702,0,-45.869702,0,-45.869702,20,42.64109965269652
