date,GPController-0.gpctrl_0-demand[0],GPController-0.gpctrl_1-demand[0],GPController-0.gpctrl_2-demand[0],GPController-0.gpctrl_3-demand[0],GPController-0.gpctrl_4-demand[0],GPController-0.gpctrl_5-demand[0],GPController-0.gpctrl_0-generator[0],GPController-0.gpctrl_1-generator[0],GPController-0.gpctrl_2-generator[0],GPController-0.gpctrl_3-generator[0],GPController-0.gpctrl_4-generator[0],GPController-0.gpctrl_5-generator[0],GPController-0.gpctrl_0-generator[1],GPController-0.gpctrl_2-generator[1],GPController-0.gpctrl_4-generator[1],GPController-0.gpctrl_0-net,GPController-0.gpctrl_1-net,GPController-0.gpctrl_2-net,GPController-0.gpctrl_3-net,GPController-0.gpctrl_4-net,GPController-0.gpctrl_5-net,GPController-0.gpctrl_0-excess,GPController-0.gpctrl_1-excess,GPController-0.gpctrl_2-excess,GPController-0.gpctrl_3-excess,GPController-0.gpctrl_4-excess,GPController-0.gpctrl_5-excess,GPController-0.gpctrl_0-deficit,GPController-0.gpctrl_1-deficit,GPController-0.gpctrl_2-deficit,GPController-0.gpctrl_3-deficit,GPController-0.gpctrl_4-deficit,GPController-0.gpctrl_5-deficit,Battery-0.Battery_0-soc,Battery-0.Battery_0-flow2b,GPController-0.gpctrl_2-storage[0],GPController-0.gpctrl_2-flow2b[0],RTprice-0.rtprice_0-buy_price,RTprice-0.rtprice_0-sell_price,Prosumer-0.prosumer_s1_0-rt_buy,Prosumer-0.prosumer_s1_1-rt_buy,Prosumer-0.prosumer_s1_2-rt_buy,Prosumer-0.prosumer_s1_3-rt_buy,Prosumer-0.prosumer_s1_4-rt_buy,Prosumer-0.prosumer_s1_5-rt_buy,Prosumer-0.prosumer_s1_0-rt_sell,Prosumer-0.prosumer_s1_1-rt_sell,Prosumer-0.prosumer_s1_2-rt_sell,Prosumer-0.prosumer_s1_3-rt_sell,Prosumer-0.prosumer_s1_4-rt_sell,Prosumer-0.prosumer_s1_5-rt_sell,Emarket-0.emarket_0-market_price,Emarket-0.emarket_0-market_quantity,Prosumer-0.prosumer_s1_0-p2em,Prosumer-0.prosumer_s1_1-p2em,Prosumer-0.prosumer_s1_2-p2em,Prosumer-0.prosumer_s1_3-p2em,Prosumer-0.prosumer_s1_4-p2em,Prosumer-0.prosumer_s1_5-p2em,P2Ptrading-0.p2ptrading_0-quantity_traded,Prosumer-0.prosumer_s1_0-p2p2p,Prosumer-0.prosumer_s1_1-p2p2p,Prosumer-0.prosumer_s1_2-p2p2p,Prosumer-0.prosumer_s1_3-p2p2p,Prosumer-0.prosumer_s1_4-p2p2p,Prosumer-0.prosumer_s1_5-p2p2p,Wind-0.wind_0-wind_gen,Wind-0.wind_1-wind_gen,Wind-0.wind_2-wind_gen,PV-0.pv_0-pv_gen,PV-0.pv_1-pv_gen,PV-0.pv_2-pv_gen,PV-0.pv_3-pv_gen,PV-0.pv_4-pv_gen,PV-0.pv_5-pv_gen,Load-0.load_0-load_dem,Load-0.load_1-load_dem,Load-0.load_2-load_dem,Load-0.load_3-load_dem,Load-0.load_4-load_dem,Load-0.load_5-load_dem
2012-04-15,67.6969475,67.6969475,67.6969475,67.6969475,67.6969475,67.6969475,83.14199313521927,0.0,83.14199313521927,0.0,83.14199313521927,0.0,0.0,0.0,0.0,15.445045635219273,-67.6969475,15.445045635219273,-67.6969475,15.445045635219273,-67.6969475,15.445045635219273,0,0,0,15.445045635219273,0,0,-67.6969475,0,-67.6969475,0,-67.6969475,20,,20,15.445045635219273,0.9319784802559989,0.46598924012799947,0.0,-67.6969475,0,-67.6969475,0.0,-67.6969475,15.445045635219271,0.0,0,0.0,15.445045635219271,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,83.14199313521927,83.14199313521927,83.14199313521927,0.0,0.0,0.0,0.0,0.0,0.0,67.6969475,67.6969475,67.6969475,67.6969475,67.6969475,67.6969475
2012-04-15 00:15:00,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,84.31574524281307,0.0,84.31574524281307,0.0,84.31574524281307,0.0,0.0,0.0,0.0,6.542737492813075,-77.77300774999999,6.542737492813075,-77.77300774999999,6.542737492813075,-77.77300774999999,6.542737492813075,0,0,0,6.542737492813075,0,0,-77.77300774999999,0,-77.77300774999999,0,-77.77300774999999,20,,20,6.542737492813075,1.0,0.5,0.0,-77.77300774999999,0,-77.77300774999999,0.0,-77.77300774999999,6.542737492813075,0.0,0,0.0,6.542737492813075,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,77.77300774999999,84.31574524281307,84.31574524281307,84.31574524281307,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 00:30:00,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,89.73443608369288,0.0,89.73443608369288,0.0,89.73443608369288,0.0,0.0,0.0,0.0,22.31157883369289,-67.42285724999999,22.31157883369289,-67.42285724999999,22.31157883369289,-67.42285724999999,22.31157883369289,0,0,0,22.31157883369289,0,0,-67.42285724999999,0,-67.42285724999999,0,-67.42285724999999,20,,20,22.31157883369289,0.9809857257425048,0.4904928628712524,0.0,-67.42285724999999,0,-22.7997,0.0,-67.42285724999999,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,44.62315766738578,22.31157883369289,0,0,-22.31157883369289,22.31157883369289,0,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,67.42285724999999,89.73443608369288,89.73443608369288,89.73443608369288,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 00:45:00,72.922606,72.922606,72.922606,72.922606,72.922606,72.922606,87.09734808633782,0.0,87.09734808633782,0.0,87.09734808633782,0.0,0.0,0.0,0.0,14.174742086337815,-72.922606,14.174742086337815,-72.922606,14.174742086337815,-72.922606,14.174742086337815,0,0,0,14.174742086337815,0,0,-72.922606,0,-72.922606,0,-72.922606,20,,20,14.174742086337815,0.8499680437891786,0.4249840218945893,0.0,-72.922606,0,-44.57312,0.0,-72.922606,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,28.34948417267563,14.174742086337815,0,0,-14.174742086337815,14.174742086337815,0,72.922606,72.922606,72.922606,72.922606,72.922606,72.922606,87.09734808633782,87.09734808633782,87.09734808633782,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 01:00:00,76.4356795,76.4356795,76.4356795,76.4356795,76.4356795,76.4356795,82.55922428364467,0.0,82.55922428364467,0.0,82.55922428364467,0.0,0.0,0.0,0.0,6.123544783644661,-76.4356795,6.123544783644661,-76.4356795,6.123544783644661,-76.4356795,6.123544783644661,0,0,0,6.123544783644661,0,0,-76.4356795,0,-76.4356795,0,-76.4356795,20,,20,6.123544783644661,0.9093787598858107,0.45468937994290537,0.0,-76.4356795,0,-64.18859,0.0,-76.4356795,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.247089567289322,6.123544783644661,0,0,-6.123544783644661,6.123544783644661,0,76.4356795,76.4356795,76.4356795,76.4356795,76.4356795,76.4356795,82.55922428364467,82.55922428364467,82.55922428364467,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 01:15:00,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,77.80835886021384,0.0,77.80835886021384,0.0,77.80835886021384,0.0,0.0,0.0,0.0,14.065875110213852,-63.74248374999999,14.065875110213852,-63.74248374999999,14.065875110213852,-63.74248374999999,14.065875110213852,0,0,0,14.065875110213852,0,0,-63.74248374999999,0,-63.74248374999999,0,-63.74248374999999,20,,20,14.065875110213852,1.0,0.5,0.0,-63.74248374999999,0,-35.61073,0.0,-63.74248374999999,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,28.131750220427705,14.065875110213852,0,0,-14.065875110213852,14.065875110213852,0,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,63.74248374999999,77.80835886021384,77.80835886021384,77.80835886021384,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 01:30:00,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,85.50049260627833,0.0,85.50049260627833,0.0,85.50049260627833,0.0,0.0,0.0,0.0,12.362553856278339,-73.13793874999999,12.362553856278339,-73.13793874999999,12.362553856278339,-73.13793874999999,12.362553856278339,0,0,0,12.362553856278339,0,0,-73.13793874999999,0,-73.13793874999999,0,-73.13793874999999,20,,20,12.362553856278339,0.8517642816643692,0.4258821408321846,0.0,-73.13793874999999,0,-48.41283,0.0,-73.13793874999999,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,24.725107712556678,12.362553856278339,0,0,-12.362553856278339,12.362553856278339,0,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,73.13793874999999,85.50049260627833,85.50049260627833,85.50049260627833,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 01:45:00,76.6581375,76.6581375,76.6581375,76.6581375,76.6581375,76.6581375,80.44570960428378,0.0,80.44570960428378,0.0,80.44570960428378,0.0,0.0,0.0,0.0,3.7875721042837824,-76.6581375,3.7875721042837824,-76.6581375,3.7875721042837824,-76.6581375,3.7875721042837824,0,0,0,3.7875721042837824,0,0,-76.6581375,0,-76.6581375,0,-76.6581375,20,,20,3.7875721042837824,0.8887771988050557,0.44438859940252784,0.0,-76.6581375,0,-69.083,0.0,-76.6581375,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7.575144208567565,3.7875721042837824,0,0,-3.7875721042837824,3.7875721042837824,0,76.6581375,76.6581375,76.6581375,76.6581375,76.6581375,76.6581375,80.44570960428378,80.44570960428378,80.44570960428378,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 02:00:00,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,91.17620150839382,0.0,91.17620150839382,0.0,91.17620150839382,0.0,0.0,0.0,0.0,47.72946325839382,-43.446738249999996,47.72946325839382,-43.446738249999996,47.72946325839382,-43.446738249999996,47.72946325839382,0,0,0,47.72946325839382,0,0,-43.446738249999996,0,-43.446738249999996,0,-43.446738249999996,20,,20,47.72946325839382,0.8183239163388449,0.40916195816942247,0.0,0.0,0,0.0,0.0,-34.88129,-0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,95.45892651678763,8.565450016787622,-39.16401324160619,0,-43.44673825,4.282725008393811,-8.565450016787622,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,43.446738249999996,91.17620150839382,91.17620150839382,91.17620150839382,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-15 02:15:00,45.869702,45.869702,45.869702,45.869702,45.869702,45.869702,88.51080165269651,0.0,88.51080165269651,0.0,88.51080165269651,0.0,0.0,0.0,0.0,42.64109965269652,-45.869702,42.64109965269652,-45.869702,42.64109965269652,-45.869702,42.64109965269652,0,0,0,42.64109965269652,0,0,-45.869702,0,-45.869702,0,-45.869702,20,,20,42.64109965269652,0.6905869491661156,0.3452934745830578,0.0,-6.4572,0,0.0,0.0,-45.869702,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,85.28219930539304,39.41249730539304,-39.41249730539304,0,-3.228602347303479,42.64109965269652,0,45.869702,45.869702,45.869702,45.869702,45.869702,45.869702,88.51080165269651,88.51080165269651,88.51080165269651,0.0,0.0,0.0,0.0,0.0,0.0
