iter,grad
1,[29.42089904  0.        ]
2,[0. 0.]
3,[0. 0.]
4,[-28.84730071   0.        ]
5,[24.1677086  0.       ]
6,[29.42089904  0.        ]
7,[29.42089904  0.        ]
8,[29.42089904  0.        ]
9,[29.42089904  0.        ]
10,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
11,[29.42089904  0.        ]
