iter,fitness,timestep,solution
1,-24.666147896715366,14:29:34.792,-0.05352449451087948,0.38337877638418205
2,-20.109573185544562,14:31:08.941,-1.54947,0.38337877638418205
3,-20.109573185544562,14:32:28.425,-0.46663435636938744,0.38337877638418205
4,-22.477308502801918,14:33:42.879,-0.13222096057791616,0.38337877638418205
5,-24.140828853108534,14:34:47.330,-0.06496620620362088,0.38337877638418205
6,-24.666147896715366,14:35:51.775,-0.0543451186824179,0.38337877638418205
7,-24.666147896715366,14:36:56.230,-0.053697676028013494,0.38337877638418205
8,-24.666147896715366,14:37:56.619,-0.05356104210345236,0.38337877638418205
9,-24.666147896715366,14:38:53.098,-0.05353220738084954,0.38337877638418205
10,-24.666147896715366,14:39:53.489,-0.05352612220668617,0.38337877638418205
11,-24.666147896715366,14:40:52.907,-0.053524838013836146,0.38337877638418205
