iter,fitness,solution
1,63350.0,350.0
2,63349.63,349.63
3,63349.26,349.26
4,64347.78,347.78
5,63349.259864786254,349.25986478625134
6,63349.25972959722,349.25972959722077
7,63348.51986479861,348.51986479861034
8,63348.51983102492,348.5198310249152
9,63348.51982799148,348.51982799147714
10,64348.14991399574,348.1499139957386
11,63348.51981955107,348.51981955106476
12,63348.51981879298,348.51981879297534
13,64348.334866394354,348.33486639435694
14,63348.51981668325,348.51981668324845
15,63348.51981649376,348.51981649376035
16,64348.42734144406,348.42734144405864
17,63348.51981649376,348.51981649376035
18,64348.14981649376,348.14981649376034
19,63348.51980804942,348.51980804942224
20,63348.51980729098,348.5198072909806
21,64348.33481189237,348.3348118923705
22,63348.51980518027,348.5198051802726
23,63348.5198049907,348.51980499069555
24,64348.42730844153,348.427308441533
25,63348.51980446307,348.51980446306555
26,63348.51980393544,348.5198039354416
27,64348.47355618849,348.4735561884873
28,63348.51980380354,348.5198038035414
29,63348.51980367164,348.51980367164185
30,64348.49667993007,348.4966799300646
31,63348.519803638665,348.5198036386677
32,63348.5198036057,348.51980360569365
33,63348.50824176788,348.5082417678791
34,63348.508241759635,348.5082417596357
35,63348.50824175139,348.5082417513923
36,64348.502460840726,348.5024608407284
37,63348.50824174933,348.50824174933143
