iter,grad
1,[1.]
2,[1.]
3,[1.]
4,[1.]
5,[1.]
6,[1.]
7,[1.00000179]
8,[1.]
9,[1.]
10,[0.99999997]
11,[1.]
12,[1.]
13,[1.]
14,[1.]
15,[1.]
16,[0.99999997]
17,[1.]
18,[1.]
19,[1.]
20,[1.]
21,[1.]
22,[1.00000016]
23,[1.]
24,[1.]
25,[1.]
25,[-132.177799]
26,[1.]
27,[1.]
28,[1.]
29,[1.]
30,[1.]
31,[1.]
32,[1.]
33,[1.]
33,[-364.70712432]
34,[1.]
34,[0.83528624]
34,[0.9628436]
34,[0.99204227]
34,[0.99831535]
34,[0.99964424]
34,[0.99992491]
34,[0.99998415]
34,[0.99999666]
34,[0.99999929]
34,[0.99999755]
34,[0.99999696]
34,[0.99999743]
34,[0.99999712]
34,[0.99999737]
