date,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-res_load,Controller1-0.time-based_0-dump,Battery1-0.time-based_0-soc,Battery1-0.time-based_0-p_in,Battery1-0.time-based_0-p_out,PV1-0.time-based_0-pv_gen,Wind1-0.time-based_0-wind_gen,Load1-0.time-based_0-load_dem
2012-07-06 00:00:00,0.0,0.1396816644245961,-0.1396816644245961,10.0,0.0,0.0,0.0,0.0944043595754038,0.234086024
2012-07-06 00:15:00,0.0,0.1738473864953628,-0.1738473864953628,10.0,0.0,0.0,0.0,0.0558813155046371,0.229728702
2012-07-06 00:15:00,0.0,0.1738473864953628,-0.1738473864953628,10.0,0.0,0.0,0.0,0.0558813155046371,0.229728702
2012-07-06 00:30:00,0.0,0.1899533901754769,-0.1899533901754769,10.0,0.0,0.0,0.0,0.041599836824523,0.231553227
2012-07-06 00:45:00,0.0,0.3115117597230699,-0.3115117597230699,10.0,0.0,0.0,0.0,0.0386929772769301,0.350204737
2012-07-06 01:15:00,0.0,0.7690714487537971,-0.7690714487537971,10.0,0.0,0.0,0.0,0.0282263342462028,0.797297783
2012-07-06 01:30:00,0.0,0.7240211952001873,-0.7240211952001873,10.0,0.0,0.0,0.0,0.0354766667998127,0.759497862
2012-07-06 01:30:00,0.0,0.7240211952001873,-0.7240211952001873,10.0,0.0,0.0,0.0,0.0354766667998127,0.759497862
2012-07-06 01:45:00,0.0,0.4385039584944056,-0.4385039584944056,10.0,0.0,0.0,0.0,0.0481159915055943,0.48661995
2012-07-06 02:00:00,0.0,0.1323201267434118,-0.1323201267434118,10.0,0.0,0.0,0.0,0.0577133462565881,0.190033473
2012-07-06 02:15:00,0.0,0.1261843021876902,-0.1261843021876902,10.0,0.0,0.0,0.0,0.0667934008123097,0.192977703
2012-07-06 02:30:00,0.0,0.132545821531858,-0.132545821531858,10.0,0.0,0.0,0.0,0.0589566794681419,0.191502501
2012-07-06 02:45:00,0.0,0.1647680963595454,-0.1647680963595454,10.0,0.0,0.0,0.0,0.0478431226404545,0.212611219
2012-07-06 03:00:00,0.0,0.1362677170423586,-0.1362677170423586,10.0,0.0,0.0,0.0,0.0595849869576413,0.195852704
2012-07-06 03:15:00,0.0,0.0976757649116098,-0.0976757649116098,10.0,0.0,0.0,0.0,0.0637781110883901,0.161453876
2012-07-06 03:30:00,0.0,0.007322463695235,-0.007322463695235,10.0,0.0,0.0,0.0,0.0523343893047649,0.059656853
2012-07-06 03:45:00,0.0,0.0430948617478676,-0.0430948617478676,10.0,0.0,0.0,0.0,0.0433608912521323,0.086455753
001,,,,,,,,,
2012-07-06 04:00:00,0.0,0.1235736483821406,-0.1235736483821406,10.0,0.0,0.0,0.0,0.0372917606178594,0.160865409
2012-07-06 04:15:00,0.0,0.5762965171747567,-0.5762965171747567,10.0,0.0,0.0,0.0,0.0303866118252432,0.606683129
2012-07-06 04:30:00,0.0,0.7672919381381511,-0.7672919381381511,10.0,0.0,0.0,0.0,0.0350322878618489,0.802324226
2012-07-06 04:45:00,0.0,0.7874109858284827,-0.7874109858284827,10.0,0.0,0.0,0.0,0.0592702781715173,0.846681264
