iter,fitness,timestep,solution
1,575.3571532049581,23:19:20.391,575.3571532049581
2,574.3571532074828,23:20:21.660,574.3571532074828
3,573.3571532100076,23:21:18.821,573.3571532100076
4,569.3571532201066,23:22:22.090,569.3571532201066
5,553.3571532605027,23:23:29.309,553.3571532605027
6,489.3571534220872,23:24:35.509,489.3571534220872
7,174233.35715406842,23:25:38.927,233.35715406842507
8,489.2943640758591,23:26:29.070,489.2943640758591
9,489.23160553042794,23:27:23.224,489.23160553042794
10,44361.29437979942,23:28:13.389,361.2943797994265
11,489.1695757067377,23:29:05.646,489.1695757067377
12,489.1076060328436,23:29:53.835,489.1076060328436
13,425.2009929161351,23:30:36.941,425.2009929161351
14,425.1855192634938,23:31:17.061,425.1855192634938
15,425.1700531040966,23:32:01.204,425.1700531040966
16,22393.23221645176,23:32:45.332,393.23221645176153
17,425.1623237682974,23:33:27.453,425.1623237682974
18,425.15459817368037,23:34:10.560,425.15459817368037
19,10409.193407312721,23:34:51.668,409.193407312721
20,425.15459817368037,23:35:31.778,425.15459817368037
21,424.1545981762051,23:36:11.897,424.1545981762051
22,420.15459818630416,23:36:52.025,420.15459818630416
23,13404.1545982267,23:37:29.127,404.1545982267003
24,420.1513154615293,23:38:07.216,420.1513154615293
25,425.1393406676126,23:38:59.357,425.1393406676126
26,421.80422136617614,23:39:33.452,421.80422136617614
27,420.6975852586388,23:40:07.535,420.6975852586388
28,420.3303889566949,23:40:41.625,420.3303889566949
29,420.2085484322744,23:41:16.728,420.2085484322744
30,420.1681201577082,23:41:50.816,420.1681201577082
31,420.1547055330127,23:42:26.910,420.1547055330127
32,420.15025439874177,23:43:01.007,420.15025439874177
