iter,grad
1,[-1.16]
2,[-1.12]
3,[-0.89]
4,[0.24]
5,[0.03]
6,[0.24]
6,[0.23999999]
7,[0.15]
8,[0.24]
8,[0.23999999]
9,[0.2]
10,[0.24]
10,[0.24]
11,[0.22]
12,[0.24]
12,[0.24]
13,[0.23]
14,[0.24]
14,[0.24]
15,[0.24]
15,[0.24]
16,[0.23]
17,[0.24]
17,[0.24]
18,[0.24]
19,[0.24]
20,[0.21]
21,[0.24]
21,[0.24]
22,[0.22]
23,[0.24]
23,[0.24]
24,[0.23]
25,[0.24]
25,[0.24]
26,[0.23]
27,[0.24]
27,[0.24]
28,[0.23]
29,[0.24]
29,[0.24]
30,[0.23]
31,[0.24]
32,[0.23]
33,[0.24]
33,[0.24]
34,[0.23]
35,[0.24]
35,[0.24]
36,[0.23]
37,[0.24]
37,[0.24]
38,[0.23]
39,[0.24]
39,[0.24]
40,[0.24]
40,[0.24]
41,[0.24]
41,[0.24]
42,[0.23]
43,[0.24]
43,[0.24]
43,[0.23999998]
