iter,fitness,timestep,solution
1,216177.9972601681,16:14:20.961,177.99726016810132
2,212179.1572601681,16:15:36.120,179.15726016810132
3,189211.6372601681,16:16:46.623,211.6372601681013
4,76337.32073842897,16:17:51.953,337.3207384289707
5,97310.62690233816,16:19:05.330,310.62690233816653
6,76337.3193796675,16:20:18.505,337.3193796675039
7,85323.9724616913,16:22:10.948,323.9724616913016
8,76337.3172284958,16:23:21.463,337.3172284957943
9,80330.64444886635,16:25:10.805,330.6444488663587
10,76337.31599028248,16:26:23.482,337.3159902824786
11,78333.97999672478,16:28:13.366,333.9799967247875
12,76337.31532176581,16:29:24.033,337.315321765815
13,77335.64754785152,16:31:17.201,335.6475478515173
14,76337.31498759995,16:32:37.066,337.31498759995003
15,76336.48121204405,16:34:47.946,336.48121204404094
16,77335.93098421869,16:36:58.155,335.9309842186956
17,76336.48117211141,16:38:20.732,336.48117211141454
18,76337.08073842897,16:40:42.892,337.0807384289707
19,76336.12073842897,16:42:19.994,336.12073842897064
20,79332.28073842898,16:43:30.249,332.2807384289705
21,76336.12054161691,16:44:40.435,336.12054161691543
22,78334.20054162701,16:46:40.857,334.20054162700757
23,76336.12027105503,16:47:55.082,336.1202710550299
24,77335.16036945886,16:49:39.422,335.1603694588504
25,76336.12016041148,16:51:01.514,336.12016041147575
26,77335.64024649697,16:53:09.534,335.64024649697313
27,76336.12011432026,16:54:12.887,336.12011432026435
28,77335.88017580139,16:55:47.508,335.8801758013801
29,76336.1201028027,16:56:48.767,336.1201028027004
30,77336.00013815051,16:58:27.079,336.000138150519
31,76336.12010049965,16:59:34.272,336.12010049965784
32,77335.88010049966,17:00:37.484,335.88010049965783
33,76336.12009819521,17:01:36.625,336.12009819521353
34,77336.00009819523,17:02:39.835,336.00009819523564
35,76336.12009531478,17:03:23.957,336.1200953147801
36,77336.060096467,17:04:30.171,336.06009646699397
37,76336.12009459475,17:05:14.333,336.1200945947536
38,77336.09009545887,17:06:20.523,336.09009545887477
39,76336.12009441476,17:07:03.651,336.12009441475715
40,77336.10509491882,17:08:07.838,336.1050949188168
41,76336.12009436976,17:08:53.995,336.12009436975933
42,76336.1125946398,17:09:59.158,336.11259463978837
43,76336.10764482318,17:11:03.378,336.10764482318217
