generation,solution,fitness
11,"[0.06402192349368314, 0.11338709300359162]",[-231.06490891747225]
11,"[0.06594335562866466, 0.09842262218841036]",[-225.00720685340266]
11,"[0.06594335562866466, 0.09842135117345334]",[-225.00720685340266]
11,"[0.04166065122393992, 0.09844434801073393]",[-219.30051446190294]
11,"[0.04378805350030957, 0.09844434801073393]",[-219.30051446190294]
11,"[0.06594335562866466, 0.09739720874676548]",[-218.4999737595317]
11,"[0.015195406481437336, 0.11338709300359162]",[-217.80181801368252]
11,"[0.014156000724706342, 0.11338709300359162]",[-217.80181801368252]
11,"[0.011486615454226749, 0.1134599075130567]",[-217.80181801368252]
12,"[0.06594335562866466, 0.1348691627132268]",[-231.49399656915733]
12,"[0.06402192349368314, 0.11338709300359162]",[-231.06490891747225]
12,"[0.06402192349368314, 0.11345658030399457]",[-231.06490891747225]
12,"[0.043029724523311934, 0.11338709300359162]",[-227.77265110281976]
12,"[0.06594335562866466, 0.09842262218841036]",[-225.00720685340266]
12,"[0.06594335562866466, 0.09842135117345334]",[-225.00720685340266]
12,"[0.04166065122393992, 0.09844434801073393]",[-219.30051446190294]
12,"[0.04378805350030957, 0.09844434801073393]",[-219.30051446190294]
12,"[0.06594335562866466, 0.09739720874676548]",[-218.4999737595317]
13,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
13,"[0.06594335562866466, 0.1348691627132268]",[-231.49399656915733]
13,"[0.06402192349368314, 0.11338709300359162]",[-231.06490891747225]
13,"[0.06402192349368314, 0.11345658030399457]",[-231.06490891747225]
13,"[0.06395253164340381, 0.1356828142511916]",[-230.99894206234836]
13,"[0.043029724523311934, 0.11338709300359162]",[-227.77265110281976]
13,"[0.06594335562866466, 0.09842262218841036]",[-225.00720685340266]
13,"[0.06594335562866466, 0.09842135117345334]",[-225.00720685340266]
13,"[0.04166065122393992, 0.09844434801073393]",[-219.30051446190294]
14,"[0.1047058227281211, 0.1269816534353445]",[-234.7995334338171]
14,"[0.10552613820377271, 0.1272337984509367]",[-233.02372002327567]
14,"[0.06594335562866466, 0.1348691627132268]",[-231.49399656915733]
14,"[0.06402192349368314, 0.11338709300359162]",[-231.06490891747225]
14,"[0.06402192349368314, 0.11345658030399457]",[-231.06490891747225]
