generation,solution,fitness
11,"[0.14888896751384256, 0.07871920269561414]",[-52.196558147389865]
11,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
11,"[0.07242060837344616, 0.12204810372402072]",[-57.836561399410044]
11,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
11,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
11,"[0.10272621351328311, 0.13158983450525552]",[-57.9850415116843]
11,"[0.16620322467230098, 0.02641776195809431]",[-46.21133690409831]
11,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
12,"[0.06834785355222567, 0.08948294261787121]",[-54.72130597703026]
12,"[0.14888896751384256, 0.07871920269561414]",[-52.196558147389865]
12,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
12,"[0.07242060837344616, 0.12204810372402072]",[-57.836561399410044]
12,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
12,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
12,"[0.07954674745438586, 0.13158983450525552]",[-59.52128296612054]
12,"[0.16620322467230098, 0.02641776195809431]",[-46.21133690409831]
12,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
13,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
13,"[0.14888896751384256, 0.07871920269561414]",[-52.196558147389865]
13,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
13,"[0.07242060837344616, 0.12204810372402072]",[-57.836561399410044]
13,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
13,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
13,"[0.07954674745438586, 0.13158983450525552]",[-59.52128296612054]
13,"[0.07069732632843244, 0.08822348146133106]",[-54.72130597703026]
13,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
14,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
14,"[0.14888896751384256, 0.07871920269561414]",[-52.196558147389865]
14,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
14,"[0.1252749057675084, 0.12459172394498325]",[-58.996073310962885]
14,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
14,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
14,"[0.07954674745438586, 0.13158983450525552]",[-59.52128296612054]
14,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
14,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
15,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
15,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
15,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
15,"[0.1252749057675084, 0.12459172394498325]",[-58.996073310962885]
15,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
15,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
15,"[0.08250057618836532, 0.13431405828814355]",[-59.54609661129808]
15,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
15,"[0.14457217648269485, 0.08952241199517469]",[-53.196573017278794]
16,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
16,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
16,"[0.03136639992413226, 0.09171030418155507]",[-51.70671503968019]
16,"[0.10060544478575728, 0.12239742724899877]",[-59.09147098208906]
16,"[0.051361543089130546, -1.1629413104254618]",[-37.518221555693955]
16,"[0.11146040627170173, 0.016701397333136775]",[-52.01583450506016]
16,"[0.08366057837365241, 0.12683957696812487]",[-60.139480788147125]
16,"[0.0844540838338382, 0.12396803180706334]",[-60.086797252528164]
16,"[0.06143591846626384, 0.09837431725515257]",[-55.91395775029386]
17,"[0.12706387737029612, 0.1277299189569697]",[-58.190780061034495]
17,"[0.0367122343482737, 0.11399216774670769]",[-56.94316277570494]
