generation,solution,fitness
1,"[0.7263768525175944, 0.0411194097369707]",[-164.86236676743712]
1,"[1.0106994824949953, -1.2750261999309012]",[-43.621159426097186]
1,"[-0.5599052780021375, -1.1175722489037192]",[-48.67567335320467]
1,"[1.8677561526599895, -0.45234017071782695]",[-44.602055967862185]
1,"[-1.2988809659330929, 0.4705831648655816]",[-80.43829274217825]
1,"[1.2657451526538006, 1.7012079072450654]",[-50.658144959179594]
1,"[0.07664955442417698, 1.548324866764859]",[-51.03632074824975]
1,"[-0.7871807841036375, 1.1499813601002447]",[-49.71203383115787]
1,"[-0.08045832678783138, 0.3737664556306526]",[-93.15642681738206]
2,"[0.7263768525175944, 0.0411194097369707]",[-164.86236676743712]
2,"[1.0106994824949953, -1.2750261999309012]",[-43.621159426097186]
2,"[0.13170424655134438, -0.4001302489037192]",[-114.57499029060226]
2,"[1.9082971805841535, -0.3319777186562701]",[-45.29897481392019]
2,"[-1.2988809659330929, 0.4705831648655816]",[-80.43829274217825]
2,"[1.0208886241032746, 0.9837659072450654]",[-65.32436750389654]
2,"[0.794091554424177, 0.830882866764859]",[-78.8205037170483]
2,"[-0.06973878410363743, 0.43253936010024463]",[-95.72142565036503]
2,"[-0.08045832678783138, 0.3737664556306526]",[-93.15642681738206]
3,"[0.7263768525175944, 0.0411194097369707]",[-164.86236676743712]
3,"[0.8271058466303565, -0.4870633377518276]",[-51.688202961092074]
3,"[0.8491462465513444, 0.1354122995184831]",[-139.59907634579028]
3,"[1.1908551805841534, -0.13303307178621743]",[-49.415455931336304]
3,"[0.0010215511325794013, 0.3528026913715755]",[-87.16939037207001]
3,"[0.8380721435338009, 0.73049742844273]",[-79.9093261242701]
3,"[0.984116681378723, 0.11344086676485898]",[-147.86644442809285]
3,"[-0.06973878410363743, 0.43253936010024463]",[-95.72142565036503]
3,"[0.29501459801402785, 0.20940607701308267]",[-95.6251731696317]
4,"[0.7263768525175944, 0.0411194097369707]",[-164.86236676743712]
4,"[0.664235359471433, 0.23037866224817244]",[-92.73484043348077]
4,"[0.8491462465513444, 0.1354122995184831]",[-139.59907634579028]
4,"[0.533769046716705, -0.033614104452756574]",[-76.32656249695054]
4,"[0.7184635511325794, -0.007599236844221036]",[-145.43475658318337]
4,"[0.632765938892249, 0.01305542844273]",[-151.21929354906663]
4,"[0.984116681378723, 0.11344086676485898]",[-147.86644442809285]
4,"[-0.06973878410363743, 0.43253936010024463]",[-95.72142565036503]
4,"[0.29501459801402785, 0.20940607701308267]",[-95.6251731696317]
5,"[0.7263768525175944, 0.0411194097369707]",[-164.86236676743712]
5,"[0.664235359471433, 0.23037866224817244]",[-92.73484043348077]
5,"[0.6978199607781295, 0.09679007245066587]",[-172.77770952995877]
5,"[0.30393323814110085, 0.07963048734248465]",[-174.184953607294]
5,"[0.7184635511325794, -0.007599236844221036]",[-145.43475658318337]
5,"[0.632765938892249, 0.01305542844273]",[-151.21929354906663]
5,"[0.984116681378723, 0.11344086676485898]",[-147.86644442809285]
5,"[0.6803142262743371, 0.18615299716306777]",[-115.56122098771014]
5,"[0.3576799418424059, 0.15640484382840808]",[-125.69407059732771]
6,"[0.24529469741733345, 0.08147322204494567]",[-176.86667290193012]
6,"[0.3851704257633959, -0.00683055760879675]",[-149.36125478567553]
6,"[0.6978199607781295, 0.09679007245066587]",[-172.77770952995877]
6,"[0.30393323814110085, 0.07963048734248465]",[-174.184953607294]
6,"[0.2660143612005733, 0.008007408634520569]",[-154.78069903660088]
6,"[0.632765938892249, 0.01305542844273]",[-151.21929354906663]
6,"[0.984116681378723, 0.11344086676485898]",[-147.86644442809285]
6,"[0.2585387662086771, 0.0011614282403314968]",[-154.78069903660088]
6,"[0.3576799418424059, 0.15640484382840808]",[-125.69407059732771]
7,"[0.24529469741733345, 0.08147322204494567]",[-176.86667290193012]
7,"[0.21286616344947534, 0.04009129840424651]",[-177.95701137660566]
7,"[0.6978199607781295, 0.09679007245066587]",[-172.77770952995877]
7,"[0.30393323814110085, 0.07963048734248465]",[-174.184953607294]
7,"[-0.020429446721240474, 0.08507533598240827]",[-166.61705794305823]
7,"[0.632765938892249, 0.01305542844273]",[-151.21929354906663]
7,"[0.689117194245062, 0.024484832814249985]",[-152.7362386490503]
7,"[0.2585387662086771, 0.0011614282403314968]",[-154.78069903660088]
7,"[0.42282720719248423, 0.036299303081442136]",[-165.5533796809992]
8,"[0.14539272211130055, 0.08411816404083403]",[-211.0659623082915]
8,"[0.21286616344947534, 0.04009129840424651]",[-177.95701137660566]
8,"[0.6978199607781295, 0.09679007245066587]",[-172.77770952995877]
8,"[0.141755422235523, 0.08944855483944024]",[-214.77024841773883]
8,"[-0.020429446721240474, 0.08507533598240827]",[-166.61705794305823]
8,"[0.5623637203019536, 0.06910414976872492]",[-167.18637077510363]
8,"[0.689117194245062, 0.024484832814249985]",[-152.7362386490503]
8,"[0.37657889005325385, 0.038743626366523384]",[-169.09203796853345]
8,"[0.42282720719248423, 0.036299303081442136]",[-165.5533796809992]
9,"[0.09575003898623957, 0.08921808881230164]",[-222.0727797254955]
9,"[0.1592411814850903, 0.12876377777490478]",[-192.7650418181348]
9,"[0.3613048806412422, 0.08617930024913324]",[-175.33034330901623]
9,"[0.09205373902967834, 0.08944855483944024]",[-222.0727797254955]
9,"[0.20718329051187057, 0.0720149064815028]",[-183.4923166237404]
9,"[0.5623637203019536, 0.06910414976872492]",[-167.18637077510363]
9,"[0.09433343073460093, 0.052191333956649495]",[-214.25394824869232]
9,"[0.37657889005325385, 0.038743626366523384]",[-169.09203796853345]
9,"[0.39140064619694437, 0.09745789885784772]",[-173.29140167017135]
10,"[0.09575003898623957, 0.08921808881230164]",[-222.0727797254955]
10,"[0.09894498462407803, 0.1197600576971404]",[-236.52736999610585]
10,"[0.024356566861527262, 0.09333542915650138]",[-206.17344378665945]
10,"[0.09205373902967834, 0.08944855483944024]",[-222.0727797254955]
10,"[0.12142050983574579, 0.07867064433831211]",[-223.01859594496688]
10,"[0.5623637203019536, 0.06910414976872492]",[-167.18637077510363]
10,"[0.019896042017191348, 0.10519349928434488]",[-217.12935215508995]
10,"[0.37657889005325385, 0.038743626366523384]",[-169.09203796853345]
10,"[-0.006669103134108512, 0.13665193771230116]",[-219.25259024285376]
11,"[0.09575003898623957, 0.08921808881230164]",[-222.0727797254955]
11,"[0.09894498462407803, 0.1197600576971404]",[-236.52736999610585]
11,"[0.03325668340645227, 0.13285923759989748]",[-228.9040529788925]
11,"[0.09205373902967834, 0.08944855483944024]",[-222.0727797254955]
11,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
11,"[0.22980103624416268, 0.08984394325202053]",[-178.17994774495642]
11,"[0.019896042017191348, 0.10519349928434488]",[-217.12935215508995]
11,"[0.5024696272871978, 0.07809498816614671]",[-170.25279279768102]
11,"[-0.006669103134108512, 0.13665193771230116]",[-219.25259024285376]
12,"[0.09575003898623957, 0.08921808881230164]",[-222.0727797254955]
12,"[0.09894498462407803, 0.1197600576971404]",[-236.52736999610585]
12,"[0.12068048764916865, 0.13574832388875976]",[-229.23876032327257]
12,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
12,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
12,"[0.022327703028149487, 0.1324633896202468]",[-219.16467610419454]
12,"[0.019896042017191348, 0.10519349928434488]",[-217.12935215508995]
12,"[0.030915153540813645, 0.09419545336718896]",[-206.64349207762257]
12,"[0.13359097715509843, 0.09801343583639514]",[-233.0176955415904]
13,"[0.09575003898623957, 0.08921808881230164]",[-222.0727797254955]
13,"[0.09894498462407803, 0.1197600576971404]",[-236.52736999610585]
13,"[0.12068048764916865, 0.13574832388875976]",[-229.23876032327257]
13,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
13,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
13,"[0.022327703028149487, 0.1324633896202468]",[-219.16467610419454]
13,"[0.07143364400992938, 0.08713889008090454]",[-218.88522390812105]
13,"[0.030915153540813645, 0.09419545336718896]",[-206.64349207762257]
13,"[0.11761554894371307, 0.09932707883490671]",[-239.10556707414707]
14,"[0.08485922860759869, 0.09922127472611734]",[-234.1889242498816]
14,"[0.12319861741671738, 0.10626722936229274]",[-240.88070977392107]
14,"[0.12068048764916865, 0.13574832388875976]",[-229.23876032327257]
14,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
14,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
14,"[0.022327703028149487, 0.1324633896202468]",[-219.16467610419454]
14,"[0.09258400522144063, 0.14123624540181706]",[-223.78773243117993]
14,"[0.031959689180562925, 0.10347833199073656]",[-217.39741023489677]
14,"[0.11761554894371307, 0.09932707883490671]",[-239.10556707414707]
15,"[0.11378069727764394, 0.11938753583001863]",[-237.5859432953408]
15,"[0.12319861741671738, 0.10626722936229274]",[-240.88070977392107]
15,"[0.12068048764916865, 0.13574832388875976]",[-229.23876032327257]
15,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
15,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
15,"[0.05658036911636874, 0.1280672171963478]",[-230.5535112656205]
15,"[0.09258400522144063, 0.14123624540181706]",[-223.78773243117993]
15,"[0.031959689180562925, 0.10347833199073656]",[-217.39741023489677]
15,"[0.11761554894371307, 0.09932707883490671]",[-239.10556707414707]
16,"[0.11378069727764394, 0.11938753583001863]",[-237.5859432953408]
16,"[0.12319861741671738, 0.10626722936229274]",[-240.88070977392107]
16,"[0.12068048764916865, 0.13574832388875976]",[-229.23876032327257]
16,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
16,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
16,"[0.05658036911636874, 0.1280672171963478]",[-230.5535112656205]
16,"[0.10489760244178024, 0.10118112336408988]",[-238.57802717403334]
16,"[0.031959689180562925, 0.10347833199073656]",[-217.39741023489677]
16,"[0.11761554894371307, 0.09932707883490671]",[-239.10556707414707]
17,"[0.11378069727764394, 0.11938753583001863]",[-237.5859432953408]
17,"[0.12319861741671738, 0.10626722936229274]",[-240.88070977392107]
17,"[0.08965885932397538, 0.11928081486972762]",[-235.91829059744515]
17,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
17,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
17,"[0.05658036911636874, 0.1280672171963478]",[-230.5535112656205]
17,"[0.10489760244178024, 0.10118112336408988]",[-238.57802717403334]
17,"[0.031959689180562925, 0.10347833199073656]",[-217.39741023489677]
17,"[0.11761554894371307, 0.09932707883490671]",[-239.10556707414707]
18,"[0.10321379217825163, 0.11111137959955882]",[-238.52015256259492]
18,"[0.12319861741671738, 0.10626722936229274]",[-240.88070977392107]
18,"[0.08965885932397538, 0.11928081486972762]",[-235.91829059744515]
18,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
18,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
18,"[0.05658036911636874, 0.1280672171963478]",[-230.5535112656205]
18,"[0.10489760244178024, 0.10118112336408988]",[-238.57802717403334]
18,"[0.031959689180562925, 0.10347833199073656]",[-217.39741023489677]
18,"[0.11761554894371307, 0.09932707883490671]",[-239.10556707414707]
19,"[0.10321379217825163, 0.11111137959955882]",[-238.52015256259492]
19,"[0.12319861741671738, 0.10626722936229274]",[-240.88070977392107]
19,"[0.08965885932397538, 0.11928081486972762]",[-235.91829059744515]
19,"[0.08217094747593934, 0.12191805346406392]",[-239.90186351875204]
19,"[0.08620085508738767, 0.11781020599040125]",[-239.85778380920075]
19,"[0.05658036911636874, 0.1280672171963478]",[-230.5535112656205]
19,"[0.10489760244178024, 0.10118112336408988]",[-238.57802717403334]
19,"[0.031959689180562925, 0.10347833199073656]",[-217.39741023489677]
19,"[0.125795550789364, 0.10715241929126688]",[-240.88070977392107]
