generation,solution,fitness
1,"[1.3145311682857939, 0.7296619703761236]",[-79.9093261242701]
1,"[1.1934842165230348, 1.7600352747815626]",[-50.658144959179594]
1,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
1,"[0.15044064455069606, 1.3189105746349075]",[-50.658144959179594]
1,"[-1.263304137674835, -0.42445698953800637]",[-48.67567335320467]
1,"[-1.0514914159148447, -1.0738995161163247]",[-48.67567335320467]
1,"[1.6429455610626404, -1.315351806310382]",[-43.621159426097186]
1,"[-0.5020118886151921, 0.9311204070107446]",[-65.84035813797024]
1,"[-0.09099154084789185, -0.32613466510870714]",[-71.69494365076537]
2,"[1.3145311682857939, 0.7296619703761236]",[-79.9093261242701]
2,"[0.4760422165230348, 1.0425932747815625]",[-58.47637388237651]
2,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
2,"[0.40502195546131514, 0.6014685746349074]",[-79.9093261242701]
2,"[-1.03982872680398, 0.12413892456882547]",[-78.63183603341162]
2,"[-1.0514914159148447, -1.0738995161163247]",[-48.67567335320467]
2,"[1.6429455610626404, -1.315351806310382]",[-43.621159426097186]
2,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
2,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
3,"[0.5303082163783622, 0.07321368111716203]",[-170.00599924831056]
3,"[0.22764314047099013, 0.32515127478156247]",[-79.9093261242701]
3,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
3,"[0.40502195546131514, 0.6014685746349074]",[-79.9093261242701]
3,"[-0.32238672680398006, 0.31363917558503523]",[-83.3966129682205]
3,"[-0.5456011174757055, 0.043022530874025244]",[-73.24261105336711]
3,"[0.8154070726917185, -0.20945448302294]",[-52.38512180715008]
3,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
3,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
4,"[0.5303082163783622, 0.07321368111716203]",[-170.00599924831056]
4,"[0.22764314047099013, 0.32515127478156247]",[-79.9093261242701]
4,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
4,"[0.6530605147338238, 0.2548953848866833]",[-86.70290237743495]
4,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
4,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
4,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
4,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
4,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
5,"[0.008362528804150393, 0.008690651445729246]",[-192.92304645660647]
5,"[0.13648506018002673, 0.4643960015443901]",[-80.97934649630716]
5,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
5,"[-0.008045923258484522, 0.28005927114185236]",[-96.67852479105423]
5,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
5,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
5,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
5,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
5,"[0.29288987861566396, 0.3913073348912929]",[-79.9093261242701]
6,"[-0.009192830992936711, 0.1376750215986796]",[-212.4565829991488]
6,"[0.09240391360431555, 0.5264590840308616]",[-81.82346491130241]
6,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
6,"[-0.021800306851891438, 0.1689151146589639]",[-168.8337298547504]
6,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
6,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
6,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
6,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
6,"[-0.13398953163908067, 0.06486920821229542]",[-89.10901184666439]
7,"[-0.009192830992936711, 0.1376750215986796]",[-212.4565829991488]
7,"[-0.08471563794373951, 0.06809124180375059]",[-100.35460187168798]
7,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
7,"[-0.021800306851891438, 0.1689151146589639]",[-168.8337298547504]
7,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
7,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
7,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
7,"[-0.08888002686427782, 0.43425017078312034]",[-93.15642681738206]
7,"[-0.13398953163908067, 0.06486920821229542]",[-89.10901184666439]
8,"[-0.009192830992936711, 0.1376750215986796]",[-212.4565829991488]
8,"[-0.08471563794373951, 0.06809124180375059]",[-100.35460187168798]
8,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
8,"[-0.0096721788122918, 0.15899258083937517]",[-202.26343262054718]
8,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
8,"[-0.26885298501168686, 0.3029911073153411]",[-92.15871477484808]
8,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
8,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
8,"[0.19902339617415804, 0.09756707100379772]",[-184.10686962248394]
9,"[0.08556724768899304, 0.13931339300706502]",[-228.38013148083965]
9,"[0.04523331969764047, 0.16356923904938292]",[-206.27727547418849]
9,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
9,"[0.09368278826055795, 0.14607234024063248]",[-209.32153197344408]
9,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
9,"[-0.07516905667613331, 0.3133239764537264]",[-98.67974587640728]
9,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
9,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
9,"[0.19902339617415804, 0.09756707100379772]",[-184.10686962248394]
10,"[0.08556724768899304, 0.13931339300706502]",[-228.38013148083965]
10,"[0.04523331969764047, 0.16356923904938292]",[-206.27727547418849]
10,"[0.5913199922891925, 0.09368262426173546]",[-175.17411576202545]
10,"[0.11137305949934795, 0.12277920962548818]",[-235.3595450391976]
10,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
10,"[0.06810958839449084, -0.0004305863310141156]",[-197.07510144659574]
10,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
10,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
10,"[0.19902339617415804, 0.09756707100379772]",[-184.10686962248394]
11,"[0.08556724768899304, 0.13931339300706502]",[-228.38013148083965]
11,"[0.04523331969764047, 0.16356923904938292]",[-206.27727547418849]
11,"[0.059742626649850195, 0.17051080338031066]",[-187.4764570023057]
11,"[0.11137305949934795, 0.12277920962548818]",[-235.3595450391976]
11,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
11,"[0.1418444490659904, 0.09361020907666524]",[-219.77658576599282]
11,"[0.4048889630956486, 0.06473501582880697]",[-170.5884526182172]
11,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
11,"[-0.014575147833613467, 0.09891690028457831]",[-190.7142282197807]
12,"[0.04234329808122317, 0.1354339831614047]",[-228.7983193510001]
12,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
12,"[0.059742626649850195, 0.17051080338031066]",[-187.4764570023057]
12,"[0.11137305949934795, 0.12277920962548818]",[-235.3595450391976]
12,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
12,"[0.08880713436647195, 0.13447430257948773]",[-237.94179669506445]
12,"[0.10855547490017302, 0.057981464965143115]",[-220.59668886747363]
12,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
12,"[0.04967417404017857, 0.14980743509765027]",[-207.67346678670125]
13,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
13,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
13,"[0.059742626649850195, 0.17051080338031066]",[-187.4764570023057]
13,"[0.11137305949934795, 0.12277920962548818]",[-235.3595450391976]
13,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
13,"[0.08880713436647195, 0.13447430257948773]",[-237.94179669506445]
13,"[0.10855547490017302, 0.057981464965143115]",[-220.59668886747363]
13,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
13,"[0.13346772772333135, 0.10850435653483231]",[-231.96819571842576]
14,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
14,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
14,"[0.059742626649850195, 0.17051080338031066]",[-187.4764570023057]
14,"[0.11137305949934795, 0.12277920962548818]",[-235.3595450391976]
14,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
14,"[0.08199627496517009, 0.13699653930131564]",[-237.99091602727867]
14,"[0.10855547490017302, 0.057981464965143115]",[-220.59668886747363]
14,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
14,"[0.13346772772333135, 0.10850435653483231]",[-231.96819571842576]
15,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
15,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
15,"[0.0588998394247332, 0.15333475414563308]",[-208.45234013825385]
15,"[0.07995130428897335, 0.13610856982626043]",[-237.68933193838336]
15,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
15,"[0.08199627496517009, 0.13699653930131564]",[-237.99091602727867]
15,"[0.06844754494028017, 0.1080250583451936]",[-230.83251230047836]
15,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
15,"[0.11741934769363806, 0.11098973710079757]",[-242.0383934382524]
16,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
16,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
16,"[0.12291546679420674, 0.08886275981595569]",[-234.0922040803228]
16,"[0.07995130428897335, 0.13610856982626043]",[-237.68933193838336]
16,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
16,"[0.08199627496517009, 0.13699653930131564]",[-237.99091602727867]
16,"[0.10454789999794992, 0.12442350965821214]",[-235.31001659116416]
16,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
16,"[0.11741934769363806, 0.11098973710079757]",[-242.0383934382524]
17,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
17,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
17,"[0.12291546679420674, 0.08886275981595569]",[-234.0922040803228]
17,"[0.07995130428897335, 0.13610856982626043]",[-237.68933193838336]
17,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
17,"[0.08819952197975395, 0.11596428097027528]",[-238.34801058925416]
17,"[0.10454789999794992, 0.12442350965821214]",[-235.31001659116416]
17,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
17,"[0.11741934769363806, 0.11098973710079757]",[-242.0383934382524]
18,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
18,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
18,"[0.12291546679420674, 0.08886275981595569]",[-234.0922040803228]
18,"[0.07995130428897335, 0.13610856982626043]",[-237.68933193838336]
18,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
18,"[0.08819952197975395, 0.11596428097027528]",[-238.34801058925416]
18,"[0.10454789999794992, 0.12442350965821214]",[-235.31001659116416]
18,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
18,"[0.11741934769363806, 0.11098973710079757]",[-242.0383934382524]
19,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
19,"[0.11789842230024475, 0.11737748583618313]",[-239.276611127831]
19,"[0.12291546679420674, 0.08886275981595569]",[-234.0922040803228]
19,"[0.07995130428897335, 0.13610856982626043]",[-237.68933193838336]
19,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
19,"[0.12780415455560998, 0.10717097885633602]",[-240.88070977392107]
19,"[0.0904269764013641, 0.10648754901302909]",[-235.40550760388993]
19,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
19,"[0.11741934769363806, 0.11098973710079757]",[-242.0383934382524]
20,"[0.07836290429642517, 0.12054067640133498]",[-239.76911785894583]
20,"[0.12507529951335677, 0.10942378744569273]",[-240.9291335246425]
20,"[0.12291546679420674, 0.08886275981595569]",[-234.0922040803228]
20,"[0.07860638331921982, 0.13306604046165993]",[-238.07944872556425]
20,"[0.1122942203803644, 0.14272919165746442]",[-205.8559398506709]
20,"[0.12780415455560998, 0.10717097885633602]",[-240.88070977392107]
20,"[0.11218404072649726, 0.10367370797209859]",[-238.37370495866406]
20,"[0.08049177466923105, 0.13495258590999226]",[-238.18438644519233]
20,"[0.11741934769363806, 0.11098973710079757]",[-242.0383934382524]
