date,CSVB-0.time-based_0-flow2b,Battery1-0.time-based_0-soc
2012-01-01 00:00:00,-40.0,40.0
2012-01-01 00:15:00,40.0,45.0
2012-01-01 00:30:00,0.0,45.0
2012-01-01 00:45:00,-40.0,25.0
