date,Controller1-0.time-based_0-dump,Controller1-0.time-based_0-flow2b,Battery1-0.time-based_0-p_out,Battery1-0.time-based_0-p_in,Battery1-0.time-based_0-soc,PV1-0.time-based_0-pv_gen,Wind1-0.time-based_0-wind_gen,Wind1-0.time-based_0-u60,Load1-0.time-based_0-load_dem
2012-06-01 00:00:00,0.0,-0.0942342611198331,0.0,0.0,50.0,0.0,0.2955745888801668,9.002593676875012,0.38980885
2012-06-01 00:15:00,0.0,-0.1294566972968634,-0.0942342611198331,-0.0942342611198331,49.738,0.0,0.2487711447031365,8.499863523254279,0.378227842
2012-06-01 00:30:00,0.0,-0.1246426131454253,-0.1294566972968634,-0.1294566972968634,49.378,0.0,0.2671914178545747,8.704679511766429,0.391834031
2012-06-01 00:45:00,0.0,-0.1249281683818455,-0.1246426131454253,-0.1246426131454253,49.032,0.0,0.2637768726181544,8.667440241127856,0.388705041
2012-06-01 01:00:00,0.0,-0.1405285284619552,-0.1249281683818455,-0.1249281683818455,48.685,0.0,0.2620805635380447,8.648820605808568,0.402609092
2012-06-01 01:15:00,0.0,-0.1389281002251067,-0.1405285284619552,-0.1405285284619552,48.295,0.0,0.1889394627748932,7.755078110482819,0.327867563
2012-06-01 01:30:00,0.0,-0.1271410787682605,-0.1389281002251067,-0.1389281002251067,47.909,0.0,0.1795723132317394,7.624740663247812,0.306713392
2012-06-01 01:45:00,0.0,-0.1189853149473053,-0.1271410787682605,-0.1271410787682605,47.556,0.0,0.1869054430526946,7.727148657503889,0.305890758
2012-06-01 02:00:00,0.0,-0.0295343618939507,-0.1189853149473053,-0.1189853149473053,47.225,0.0,0.1782599751060493,7.606121027928526,0.207794337
2012-06-01 02:15:00,0.0,0.0646132288103028,-0.0295343618939507,-0.0295343618939507,47.143,0.0,0.2043083028103028,7.95989409899497,0.139695074
2012-06-01 02:30:00,0.0,0.0591087893069938,0.0646132288103028,0.0646132288103028,47.288,0.0,0.2288898683069938,8.267118081763197,0.169781079
2012-06-01 02:45:00,0.0,0.0051749950066255,0.0591087893069938,0.0591087893069938,47.421,0.0,0.1789153420066255,7.615430845588169,0.173740347
2012-06-01 03:00:00,0.0,0.0341213724670779,0.0051749950066255,0.0051749950066255,47.433,0.0,0.1815528724670779,7.652670116226743,0.1474315
2012-06-01 03:15:00,0.0,0.1398558968103028,0.0341213724670779,0.0341213724670779,47.51,0.0,0.2043083028103028,7.95989409899497,0.064452406
2012-06-01 03:30:00,0.0,0.1214572703628725,0.1398558968103028,0.1398558968103028,47.825,0.0,0.2064664713628725,7.987823551973899,0.085009201
2012-06-01 03:45:00,0.0,0.1339577396694221,0.1214572703628725,0.1214572703628725,48.098,0.0,0.1923621966694221,7.801627198781035,0.058404457
2012-06-01 04:00:00,0.0,0.0658902249995207,0.1339577396694221,0.1339577396694221,48.399,0.0,0.1261193749995207,6.777547256220278,0.06022915
2012-06-01 04:15:00,0.0,-0.0162951585803861,0.0658902249995207,0.0658902249995207,48.547,0.0,0.0821250694196138,5.874494943234883,0.098420228
2012-06-01 04:30:00,0.0,-0.0127864581513023,-0.0162951585803861,-0.0162951585803861,48.502,0.0,0.0738311358486976,5.669678954722732,0.086617594
2012-06-01 04:45:00,0.0,-0.015017793030737,-0.0127864581513023,-0.0127864581513023,48.466,0.0,0.0674761219692629,5.502102236849154,0.082493915
2012-06-01 05:00:00,0.0,-0.0228279350520645,-0.015017793030737,-0.015017793030737,48.424,0.0,0.0813466379479355,5.855875307915597,0.104174573
2012-06-01 05:15:00,0.0,0.0276085470636851,-0.0228279350520645,-0.0228279350520645,48.361,0.0561948329827504,0.0952638780809347,6.172409108343468,0.123850164
2012-06-01 05:30:00,0.0,0.0238319515156084,0.0276085470636851,0.0276085470636851,48.423,0.0988115366075958,0.1000846239080125,6.274817102599544,0.175064209
2012-06-01 05:45:00,0.0,0.5306182925613939,0.0238319515156084,0.0238319515156084,48.477,0.5272309907840528,0.1106842957773411,6.488942908771337,0.107296994
2012-06-01 06:00:00,0.0,0.1939014176609963,0.5306182925613939,0.5306182925613939,49.671,0.183469466675582,0.1362540679854143,6.954433791753499,0.125822117
2012-06-01 06:15:00,0.0,0.0967908786429034,0.1939014176609963,0.1939014176609963,50.107,0.1059794046669568,0.1463430079759466,7.122010509627079,0.155531534
2012-06-01 06:30:00,0.0,0.8255240274495598,0.0967908786429034,0.0967908786429034,50.325,0.8402459590161572,0.1769540464334025,7.58750139260924,0.191675978
2012-06-01 06:45:00,0.0,0.1176293271036709,0.8,0.8,52.125,0.2472862242408407,0.1303230138628302,6.852025797497424,0.259979911
2012-06-01 07:00:00,0.0,0.2302549284904733,0.1176293271036709,0.1176293271036709,52.39,0.3706671706318261,0.0848886658586472,5.939663666852386,0.225300908
2012-06-01 07:15:00,0.0,0.691903388535466,0.2302549284904733,0.2302549284904733,52.908,0.8689324874694968,0.0540884710659691,5.111089895144138,0.23111757
2012-06-01 07:30:00,0.0,0.2006898747124706,0.691903388535466,0.691903388535466,54.465,0.2794689404452517,0.0555797982672188,5.157638983442355,0.134358864
2012-06-01 07:45:00,0.0,0.6310148526192543,0.2006898747124706,0.2006898747124706,54.917,0.7702681559198722,0.040371575699382,4.636289194502334,0.179624879
2012-06-01 08:00:00,0.0,0.1709033337854839,0.6310148526192543,0.6310148526192543,56.337,0.3487577211846705,0.0343727016008134,4.394233935351608,0.212227089
2012-06-01 08:15:00,0.0,-0.0045239523747079,0.1709033337854839,0.1709033337854839,56.722,0.1663534115832738,0.0514717520420182,5.027301536207349,0.2223491159999999
